"state.rec","zcta","state.fips","state"
"1","26568","54","West Virginia"
"1","25901","54","West Virginia"
"1","24918","54","West Virginia"
"1","26206","54","West Virginia"
"1","25126","54","West Virginia"
"1","26537","54","West Virginia"
"1","25601","54","West Virginia"
"1","25650","54","West Virginia"
"1","24850","54","West Virginia"
"1","26036","54","West Virginia"
"1","24813","54","West Virginia"
"1","25248","54","West Virginia"
"1","25040","54","West Virginia"
"1","24870","54","West Virginia"
"1","25234","54","West Virginia"
"1","25123","54","West Virginia"
"1","25755","54","West Virginia"
"1","24747","54","West Virginia"
"1","26134","54","West Virginia"
"1","26271","54","West Virginia"
"1","26264","54","West Virginia"
"1","24957","54","West Virginia"
"1","25986","54","West Virginia"
"1","26838","54","West Virginia"
"1","26041","54","West Virginia"
"1","25606","54","West Virginia"
"1","26501","54","West Virginia"
"1","26638","54","West Virginia"
"1","25523","54","West Virginia"
"1","25666","54","West Virginia"
"1","25670","54","West Virginia"
"1","25204","54","West Virginia"
"1","25173","54","West Virginia"
"1","25304","54","West Virginia"
"1","24857","54","West Virginia"
"1","26855","54","West Virginia"
"1","26338","54","West Virginia"
"1","26369","54","West Virginia"
"1","25180","54","West Virginia"
"1","25989","54","West Virginia"
"1","25143","54","West Virginia"
"1","25102","54","West Virginia"
"1","25560","54","West Virginia"
"1","25699","54","West Virginia"
"1","25570","54","West Virginia"
"1","26283","54","West Virginia"
"1","26342","54","West Virginia"
"1","25005","54","West Virginia"
"1","24887","54","West Virginia"
"1","26285","54","West Virginia"
"1","26436","54","West Virginia"
"1","25076","54","West Virginia"
"1","26209","54","West Virginia"
"1","26040","54","West Virginia"
"1","24861","54","West Virginia"
"1","25253","54","West Virginia"
"1","25530","54","West Virginia"
"1","26268","54","West Virginia"
"1","26267","54","West Virginia"
"1","26755","54","West Virginia"
"1","26714","54","West Virginia"
"1","26180","54","West Virginia"
"1","24983","54","West Virginia"
"1","26671","54","West Virginia"
"1","26815","54","West Virginia"
"1","26710","54","West Virginia"
"1","24811","54","West Virginia"
"1","24963","54","West Virginia"
"1","25285","54","West Virginia"
"1","24731","54","West Virginia"
"1","26330","54","West Virginia"
"1","25030","54","West Virginia"
"1","26031","54","West Virginia"
"1","26463","54","West Virginia"
"1","25049","54","West Virginia"
"1","24716","54","West Virginia"
"1","26679","54","West Virginia"
"1","25508","54","West Virginia"
"1","26563","54","West Virginia"
"1","26716","54","West Virginia"
"1","26075","54","West Virginia"
"1","26852","54","West Virginia"
"1","25611","54","West Virginia"
"1","26280","54","West Virginia"
"1","25647","54","West Virginia"
"1","25086","54","West Virginia"
"1","25311","54","West Virginia"
"1","25136","54","West Virginia"
"1","26438","54","West Virginia"
"1","25287","54","West Virginia"
"1","24944","54","West Virginia"
"1","26335","54","West Virginia"
"1","25526","54","West Virginia"
"1","26234","54","West Virginia"
"1","26339","54","West Virginia"
"1","26662","54","West Virginia"
"1","26691","54","West Virginia"
"1","25817","54","West Virginia"
"1","26056","54","West Virginia"
"1","24878","54","West Virginia"
"1","26575","54","West Virginia"
"1","25918","54","West Virginia"
"1","25976","54","West Virginia"
"1","26178","54","West Virginia"
"1","25021","54","West Virginia"
"1","26426","54","West Virginia"
"1","26419","54","West Virginia"
"1","26202","54","West Virginia"
"1","24938","54","West Virginia"
"1","26039","54","West Virginia"
"1","25823","54","West Virginia"
"1","25062","54","West Virginia"
"1","26761","54","West Virginia"
"1","25134","54","West Virginia"
"1","24847","54","West Virginia"
"1","25302","54","West Virginia"
"1","25085","54","West Virginia"
"1","24846","54","West Virginia"
"1","26676","54","West Virginia"
"1","25031","54","West Virginia"
"1","25972","54","West Virginia"
"1","26704","54","West Virginia"
"1","25130","54","West Virginia"
"1","26812","54","West Virginia"
"1","26405","54","West Virginia"
"1","26404","54","West Virginia"
"1","24985","54","West Virginia"
"1","25061","54","West Virginia"
"1","26726","54","West Virginia"
"1","25545","54","West Virginia"
"1","26808","54","West Virginia"
"1","24823","54","West Virginia"
"1","26722","54","West Virginia"
"1","26298","54","West Virginia"
"1","25846","54","West Virginia"
"1","25868","54","West Virginia"
"1","26224","54","West Virginia"
"1","25873","54","West Virginia"
"1","25984","54","West Virginia"
"1","26546","54","West Virginia"
"1","25261","54","West Virginia"
"1","25635","54","West Virginia"
"1","24880","54","West Virginia"
"1","26559","54","West Virginia"
"1","25286","54","West Virginia"
"1","25185","54","West Virginia"
"1","26275","54","West Virginia"
"1","26542","54","West Virginia"
"1","26292","54","West Virginia"
"1","25002","54","West Virginia"
"1","25043","54","West Virginia"
"1","24986","54","West Virginia"
"1","25915","54","West Virginia"
"1","25113","54","West Virginia"
"1","25913","54","West Virginia"
"1","25124","54","West Virginia"
"1","25845","54","West Virginia"
"1","24916","54","West Virginia"
"1","26205","54","West Virginia"
"1","25405","54","West Virginia"
"1","26711","54","West Virginia"
"1","25109","54","West Virginia"
"1","26385","54","West Virginia"
"1","26408","54","West Virginia"
"1","26851","54","West Virginia"
"1","25966","54","West Virginia"
"1","26184","54","West Virginia"
"1","25514","54","West Virginia"
"1","24714","54","West Virginia"
"1","25617","54","West Virginia"
"1","25571","54","West Virginia"
"1","26218","54","West Virginia"
"1","26377","54","West Virginia"
"1","25811","54","West Virginia"
"1","25110","54","West Virginia"
"1","24854","54","West Virginia"
"1","25320","54","West Virginia"
"1","26055","54","West Virginia"
"1","25654","54","West Virginia"
"1","26627","54","West Virginia"
"1","25168","54","West Virginia"
"1","25142","54","West Virginia"
"1","26544","54","West Virginia"
"1","25111","54","West Virginia"
"1","26254","54","West Virginia"
"1","26422","54","West Virginia"
"1","26804","54","West Virginia"
"1","26203","54","West Virginia"
"1","26415","54","West Virginia"
"1","25201","54","West Virginia"
"1","25431","54","West Virginia"
"1","25421","54","West Virginia"
"1","26807","54","West Virginia"
"1","25114","54","West Virginia"
"1","24818","54","West Virginia"
"1","25413","54","West Virginia"
"1","24925","54","West Virginia"
"1","25653","54","West Virginia"
"1","25276","54","West Virginia"
"1","25534","54","West Virginia"
"1","24993","54","West Virginia"
"1","25149","54","West Virginia"
"1","25420","54","West Virginia"
"1","25071","54","West Virginia"
"1","25810","54","West Virginia"
"1","26717","54","West Virginia"
"1","24920","54","West Virginia"
"1","25060","54","West Virginia"
"1","25634","54","West Virginia"
"1","25208","54","West Virginia"
"1","26354","54","West Virginia"
"1","26142","54","West Virginia"
"1","24873","54","West Virginia"
"1","25875","54","West Virginia"
"1","25521","54","West Virginia"
"1","26437","54","West Virginia"
"1","25011","54","West Virginia"
"1","24738","54","West Virginia"
"1","25857","54","West Virginia"
"1","25646","54","West Virginia"
"1","24874","54","West Virginia"
"1","24951","54","West Virginia"
"1","26347","54","West Virginia"
"1","24827","54","West Virginia"
"1","25840","54","West Virginia"
"1","26444","54","West Virginia"
"1","26443","54","West Virginia"
"1","26534","54","West Virginia"
"1","24836","54","West Virginia"
"1","26137","54","West Virginia"
"1","26257","54","West Virginia"
"1","26327","54","West Virginia"
"1","25036","54","West Virginia"
"1","26543","54","West Virginia"
"1","24931","54","West Virginia"
"1","24927","54","West Virginia"
"1","25054","54","West Virginia"
"1","26269","54","West Virginia"
"1","24945","54","West Virginia"
"1","25688","54","West Virginia"
"1","25559","54","West Virginia"
"1","26266","54","West Virginia"
"1","25880","54","West Virginia"
"1","26456","54","West Virginia"
"1","26250","54","West Virginia"
"1","25108","54","West Virginia"
"1","26431","54","West Virginia"
"1","26707","54","West Virginia"
"1","24801","54","West Virginia"
"1","26586","54","West Virginia"
"1","24828","54","West Virginia"
"1","25504","54","West Virginia"
"1","25902","54","West Virginia"
"1","25831","54","West Virginia"
"1","25870","54","West Virginia"
"1","26410","54","West Virginia"
"1","26162","54","West Virginia"
"1","25922","54","West Virginia"
"1","26866","54","West Virginia"
"1","26187","54","West Virginia"
"1","25503","54","West Virginia"
"1","26524","54","West Virginia"
"1","24808","54","West Virginia"
"1","26164","54","West Virginia"
"1","24826","54","West Virginia"
"1","25244","54","West Virginia"
"1","26261","54","West Virginia"
"1","25705","54","West Virginia"
"1","26296","54","West Virginia"
"1","26288","54","West Virginia"
"1","25003","54","West Virginia"
"1","24991","54","West Virginia"
"1","25839","54","West Virginia"
"1","25444","54","West Virginia"
"1","25306","54","West Virginia"
"1","25564","54","West Virginia"
"1","25920","54","West Virginia"
"1","26430","54","West Virginia"
"1","25625","54","West Virginia"
"1","26506","54","West Virginia"
"1","25187","54","West Virginia"
"1","25267","54","West Virginia"
"1","24884","54","West Virginia"
"1","25928","54","West Virginia"
"1","26033","54","West Virginia"
"1","25690","54","West Virginia"
"1","25958","54","West Virginia"
"1","25911","54","West Virginia"
"1","25704","54","West Virginia"
"1","26343","54","West Virginia"
"1","25520","54","West Virginia"
"1","26386","54","West Virginia"
"1","25573","54","West Virginia"
"1","26035","54","West Virginia"
"1","26323","54","West Virginia"
"1","24715","54","West Virginia"
"1","26217","54","West Virginia"
"1","25404","54","West Virginia"
"1","25075","54","West Virginia"
"1","26228","54","West Virginia"
"1","25070","54","West Virginia"
"1","24872","54","West Virginia"
"1","25969","54","West Virginia"
"1","25849","54","West Virginia"
"1","26037","54","West Virginia"
"1","26411","54","West Virginia"
"1","25674","54","West Virginia"
"1","25537","54","West Virginia"
"1","25820","54","West Virginia"
"1","25437","54","West Virginia"
"1","25271","54","West Virginia"
"1","24868","54","West Virginia"
"1","26424","54","West Virginia"
"1","24869","54","West Virginia"
"1","25019","54","West Virginia"
"1","25231","54","West Virginia"
"1","24719","54","West Virginia"
"1","26241","54","West Virginia"
"1","26763","54","West Virginia"
"1","24701","54","West Virginia"
"1","24934","54","West Virginia"
"1","25671","54","West Virginia"
"1","25951","54","West Virginia"
"1","25205","54","West Virginia"
"1","26836","54","West Virginia"
"1","25672","54","West Virginia"
"1","25303","54","West Virginia"
"1","25427","54","West Virginia"
"1","26238","54","West Virginia"
"1","26590","54","West Virginia"
"1","24935","54","West Virginia"
"1","26361","54","West Virginia"
"1","25843","54","West Virginia"
"1","26719","54","West Virginia"
"1","26141","54","West Virginia"
"1","26136","54","West Virginia"
"1","25865","54","West Virginia"
"1","26230","54","West Virginia"
"1","26619","54","West Virginia"
"1","25243","54","West Virginia"
"1","25270","54","West Virginia"
"1","25535","54","West Virginia"
"1","26611","54","West Virginia"
"1","26621","54","West Virginia"
"1","26167","54","West Virginia"
"1","25644","54","West Virginia"
"1","25864","54","West Virginia"
"1","26236","54","West Virginia"
"1","24954","54","West Virginia"
"1","25557","54","West Virginia"
"1","24816","54","West Virginia"
"1","26161","54","West Virginia"
"1","25827","54","West Virginia"
"1","25083","54","West Virginia"
"1","26447","54","West Virginia"
"1","26372","54","West Virginia"
"1","26451","54","West Virginia"
"1","25979","54","West Virginia"
"1","25529","54","West Virginia"
"1","25067","54","West Virginia"
"1","26587","54","West Virginia"
"1","26425","54","West Virginia"
"1","25133","54","West Virginia"
"1","26412","54","West Virginia"
"1","26032","54","West Virginia"
"1","26660","54","West Virginia"
"1","24898","54","West Virginia"
"1","26810","54","West Virginia"
"1","24894","54","West Virginia"
"1","25312","54","West Virginia"
"1","25183","54","West Virginia"
"1","24712","54","West Virginia"
"1","26349","54","West Virginia"
"1","24737","54","West Virginia"
"1","25977","54","West Virginia"
"1","25844","54","West Virginia"
"1","25667","54","West Virginia"
"1","26678","54","West Virginia"
"1","25813","54","West Virginia"
"1","26847","54","West Virginia"
"1","26680","54","West Virginia"
"1","25039","54","West Virginia"
"1","25981","54","West Virginia"
"1","25876","54","West Virginia"
"1","26201","54","West Virginia"
"1","25511","54","West Virginia"
"1","26554","54","West Virginia"
"1","25035","54","West Virginia"
"1","26101","54","West Virginia"
"1","25174","54","West Virginia"
"1","25826","54","West Virginia"
"1","25652","54","West Virginia"
"1","25115","54","West Virginia"
"1","25936","54","West Virginia"
"1","25051","54","West Virginia"
"1","26571","54","West Virginia"
"1","25119","54","West Virginia"
"1","25121","54","West Virginia"
"1","26823","54","West Virginia"
"1","26610","54","West Virginia"
"1","26263","54","West Virginia"
"1","26753","54","West Virginia"
"1","25908","54","West Virginia"
"1","25159","54","West Virginia"
"1","26757","54","West Virginia"
"1","26222","54","West Virginia"
"1","25268","54","West Virginia"
"1","25836","54","West Virginia"
"1","25943","54","West Virginia"
"1","25301","54","West Virginia"
"1","24851","54","West Virginia"
"1","25565","54","West Virginia"
"1","24881","54","West Virginia"
"1","25515","54","West Virginia"
"1","26034","54","West Virginia"
"1","26582","54","West Virginia"
"1","25812","54","West Virginia"
"1","25855","54","West Virginia"
"1","25428","54","West Virginia"
"1","25985","54","West Virginia"
"1","24943","54","West Virginia"
"1","24839","54","West Virginia"
"1","25837","54","West Virginia"
"1","26623","54","West Virginia"
"1","24879","54","West Virginia"
"1","25309","54","West Virginia"
"1","25265","54","West Virginia"
"1","26104","54","West Virginia"
"1","24739","54","West Virginia"
"1","25022","54","West Virginia"
"1","24866","54","West Virginia"
"1","25181","54","West Virginia"
"1","25264","54","West Virginia"
"1","25259","54","West Virginia"
"1","26705","54","West Virginia"
"1","26667","54","West Virginia"
"1","25685","54","West Virginia"
"1","26624","54","West Virginia"
"1","26802","54","West Virginia"
"1","25550","54","West Virginia"
"1","25053","54","West Virginia"
"1","24888","54","West Virginia"
"1","26074","54","West Virginia"
"1","26378","54","West Virginia"
"1","25555","54","West Virginia"
"1","25608","54","West Virginia"
"1","24724","54","West Virginia"
"1","26525","54","West Virginia"
