Tax Type,Item,United States,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,DC,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Public Utilities Sales Tax,T15,12776815,699664,4518,22432,X,712691,X,273076,51858,198173,1747862,X,126691,2371,1443634,223409,56212,392,56395,9444,20433,146303,X,37559,51,1676,X,43018,43379,53818,44805,978414,32792,885520,272,51670,1023372,48069,14289,1255372,103042,29077,3236,7974,648614,56445,9020,531464,589724,124500,360211,3874
Tobacco Products Sales Tax,T16,18804554,174293,59677,309128,218651,1979149,189687,357525,122610,28546,1136716,223363,111803,50300,769476,404978,202021,125661,369501,282908,125978,356684,553261,887071,626533,138722,94865,77234,52862,182492,201332,625382,91489,1070667,292846,27382,919669,420769,250156,1303846,137322,28311,45760,245923,1410391,112090,68434,151287,397049,171224,599794,21736
Other Selective Sales and Gross Receipts Taxes,T19,49114494,609993,35693,197126,256562,4754309,1258429,1532256,145233,80130,964361,488218,695450,65106,2298137,1489566,47087,50083,844319,144800,139558,1712805,728756,1609470,2693337,381606,144764,71867,26858,304398,433915,1954731,160274,6026782,1018953,147130,1746505,36361,918342,1734347,226158,522982,113543,245245,5970396,275224,462283,1401599,1005904,497669,442894,2980
License Taxes,TA3,59159086,551815,159757,580141,403627,11041442,697149,411470,1785406,245447,2341679,720874,280311,419487,2779724,767938,990985,433280,523696,438495,291044,912788,1199646,2030560,1495685,512541,628550,388817,184373,700863,462125,1701016,332445,1807412,2336658,228684,1977268,1004786,1312328,2773590,121006,648504,273497,1909972,3643272,353455,126071,939377,1746818,216342,1118129,208741
Alcoholic Beverages License,T20,695058,3994,1298,8917,4870,66748,8260,9572,2440,8428,5601,4508,X,1716,18250,13319,18589,2759,320,X,6702,1344,3830,19998,2711,1268,5617,3028,742,X,17665,4386,0,49089,27786,412,44287,257,5110,44970,1208,14210,1214,1690,74627,0,477,15096,164790,944,2011,X
Amusements License,T21,763565,X,0,X,933,22212,828,230,303,X,16000,X,X,222,16360,12272,29593,7541,316,X,571,1769,15863,X,1137,18116,28,4607,585,103982,339,51343,6492,X,177,1566,40683,151705,2845,209498,196,6166,5851,331,15543,X,23,110,12713,3913,603,X
Corporations in General License,T22,6797095,161298,X,39710,30138,80949,22167,31621,1560527,45096,398800,66937,1920,3447,355316,10234,52940,27635,117710,195847,10760,117506,27913,28408,9275,155657,3055,5435,6195,79606,71789,372335,34630,1303,842349,X,258528,58067,46382,4037,5057,112008,6268,1030934,154534,483,3664,64783,42722,798,25399,14923
Hunting and Fishing License,T23,1709888,23599,37478,38256,26156,116030,99128,5583,4296,93,16780,35899,723,49447,35195,17990,30075,30185,31142,30012,16737,17389,5525,61179,68643,3309,32934,67757,18687,11356,12562,14027,32824,41418,33039,17002,36050,20232,54404,75622,1907,18429,29206,37611,109168,31841,7183,24729,41887,12547,86015,40602
Motor Vehicle License,T24,28019364,237006,37200,265264,168295,4868905,458234,243358,59061,38645,1474100,387076,195972,205568,1738986,348289,685933,229649,223126,78817,116964,516790,448837,1375049,847267,171469,306003,172071,110180,209538,84485,668735,205151,1416050,893598,120192,542323,741917,787383,1153788,29901,306718,84902,372253,2227727,233944,69334,427129,836075,5203,496067,98837
Motor Vehicle Operators License,T25,2953946,41101,X,36419,22696,338008,41896,38712,6036,6467,225800,116455,303,10892,115614,254667,20887,32141,17142,14340,11557,32515,91503,60922,44352,16626,16587,7018,11432,25693,8169,58231,5154,145007,121878,5283,79258,30826,36748,82461,8887,5547,4762,60035,150995,21727,14860,140870,87780,182223,41216,4248
