"fips"|"inactive_win12"|"undergrad_school_prog"|"grad_school_prog"|"hbcu"|"hospital"|"medical_school_prog"|"tribal_school_prog"|"public_college_university"|"post_secondary_institution"|"degree_granting"|"grants_associates_certificate_only"|"not_degree_granting"|"size_lt1k"|"size_1k_10k"|"size_gt10k"|"ft_noninst_academic_staff"|"ft_community_admin_staff"|"total_instructional_staff"|"total_inst_staff_salary"|"no_reported_inst_staff"|"cost_grad_instate"|"cost_grad_outstate"|"cost_oncampus_living"|"cost_undergrad_instate"|"cost_undergrad_outstate"|"est_avg_inst_staff_salary"
"010030103001"|0|1|0|0|0|0|0|1|1|1|1|0|0|1|0|83|0|180|9964974|0|NA|NA|5800|3510|7020|55360.9666666667
"010030107041"|0|1|1|0|0|0|0|1|1|1|0|0|1|0|0|33|9|12|825338|0|17280|17280|NA|14652|14652|68778.1666666667
"010030107051"|0|1|1|0|0|0|0|1|1|1|0|0|1|0|0|33|9|12|825338|0|17280|17280|NA|14652|14652|68778.1666666667
"010030114033"|0|1|1|0|0|0|0|1|1|1|0|0|0|0|1|399|84|282|15555062|0|3480|3480|NA|5280|5280|55159.7943262411
"010030115021"|0|1|0|0|0|0|0|1|1|0|0|1|1|0|0|0|0|0|0|0|NA|NA|NA|NA|NA|NA
"010030115022"|0|1|0|0|0|0|0|1|1|0|0|1|1|0|0|0|0|0|0|0|NA|NA|NA|NA|NA|NA
"010030116014"|0|1|1|0|0|0|0|1|1|1|0|0|0|0|1|399|84|282|15555062|0|3480|3480|NA|5280|5280|55159.7943262411
"010150021011"|0|1|1|0|0|0|0|1|1|1|0|0|0|1|0|593|225|650|41924644|0|9168|18336|7898|9270|18540|64499.4523076923
"010150021012"|0|1|1|0|0|0|0|1|1|1|0|0|0|1|0|593|225|650|41924644|0|9168|18336|7898|9270|18540|64499.4523076923
"010259579023"|0|1|0|0|0|0|0|1|1|0|0|1|1|0|0|0|0|0|0|0|NA|NA|NA|NA|NA|NA
"010310113002"|0|1|0|0|0|0|0|1|1|1|1|0|0|1|0|74|32|104|5893224|0|NA|NA|NA|3570|7140|56665.6153846154
"010330207041"|0|1|0|0|0|0|0|1|1|1|1|0|0|1|0|113|32|146|6432486|0|NA|NA|NA|3570|7080|44058.1232876712
"010359605001"|0|1|0|0|0|0|0|1|1|1|1|0|1|0|0|26|7|38|2075608|0|NA|NA|NA|3570|7140|54621.2631578947
"010399620001"|0|1|0|0|0|0|0|1|1|1|1|0|0|1|0|81|47|104|5937706|0|NA|NA|NA|3570|7140|57093.3269230769
"010439654012"|0|1|0|0|0|0|0|1|1|1|1|0|0|1|0|163|66|248|12958376|0|NA|NA|4600|2856|5712|52251.5161290323
"010450214003"|0|1|0|0|0|0|0|1|1|1|1|0|0|1|0|139|54|262|13868092|0|NA|NA|NA|3570|7140|52931.6488549618
"010479561004"|0|1|0|0|0|0|0|1|1|1|1|0|0|1|0|95|33|116|5042244|0|NA|NA|NA|3570|7140|43467.6206896552
"010479564002"|0|1|0|1|0|0|0|1|1|1|0|0|1|0|0|72|6|46|2488000|0|NA|NA|5700|9920|9920|54086.9565217391
"010479565002"|0|1|0|1|0|0|0|1|1|1|0|0|1|0|0|72|6|46|2488000|0|NA|NA|5700|9920|9920|54086.9565217391
"010479568001"|0|1|1|1|0|0|0|1|1|1|0|0|1|0|0|33|11|8|208800|0|1560|1560|6000|7020|7020|26100
"010510309011"|0|1|0|0|0|0|0|1|1|1|1|0|1|0|0|64|17|80|4285098|0|NA|NA|NA|4284|4284|53563.725
"010550016003"|0|1|0|1|0|0|0|1|1|1|1|0|0|1|0|208|86|280|15714932|0|NA|NA|3600|3570|7140|56124.7571428571
"010690415003"|0|1|0|0|0|0|0|1|1|0|0|1|1|0|0|0|0|0|0|0|NA|NA|NA|NA|NA|NA
"010690416001"|0|0|1|0|0|1|0|1|1|1|0|0|1|0|0|0|0|0|0|0|NA|NA|NA|NA|NA|NA
"010719511003"|0|1|0|0|0|0|0|1|1|1|1|0|0|1|0|68|33|116|6700960|0|NA|NA|NA|3570|7140|57766.8965517241
"010730027001"|0|1|1|0|1|1|0|1|1|1|0|0|0|0|1|3240|712|1764|197589212|0|7866|17910|11682|8328|19032|112012.024943311
"010730030011"|0|1|0|0|0|0|0|1|1|1|0|0|0|1|0|196|87|178|12454064|0|NA|NA|12350|34544|34544|69966.6516853933
"010730037001"|0|1|0|0|0|0|0|1|1|0|0|1|1|0|0|0|0|0|0|0|NA|NA|NA|NA|NA|NA
"010730045001"|0|1|1|0|1|1|0|1|1|1|0|0|0|0|1|3240|712|1764|197589212|0|7866|17910|11682|8328|19032|112012.024943311
"010730051043"|0|1|1|0|0|0|0|1|1|1|0|0|1|0|0|17|4|24|1543580|0|10720|10720|NA|13000|13000|64315.8333333333
"010730058001"|0|1|1|0|0|0|0|1|1|1|0|0|0|1|0|87|58|76|4415028|0|NA|NA|NA|NA|NA|58092.4736842105
"010730106022"|0|1|0|1|0|0|0|1|1|1|0|0|0|1|0|177|87|184|8480088|0|NA|NA|7254|10632|10632|46087.4347826087
"010730106025"|0|1|0|1|0|0|0|1|1|1|0|0|0|1|0|177|87|184|8480088|0|NA|NA|7254|10632|10632|46087.4347826087
