Table 1. State Tax Collections Detailed Table: US and States: 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Dollar amounts are in thousands of dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, 2020 Annual Survey of State Government Tax Collections.  Data users who create their own estimates using data from this report should cite the U.S. Census Bureau as the source of the original data only.  The data in this table are based on information from public records and contain no confidential data.  For more information, see (https://www.census.gov/programs-surveys/stc.html).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax Type,Item,United States,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,DC,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,"New
Hampshire","New
Jersey","New
Mexico",New York,"North
Carolina","North
Dakota",Ohio,Oklahoma,Oregon,Pennsylvania,"Rhode
Island","South
Carolina","South
Dakota",Tennessee,Texas,Utah,Vermont,Virginia,Washington,"West
Virginia",Wisconsin,Wyoming
Public Utilities Sales Tax,T15,12381787,685575,4413,21937,X,702579,X,268919,50905,177703,1660059,X,134640,2066,1370658,187813,71987,348,70648,10274,22167,137713,X,35656,53,1778,X,43351,60211,47372,42245,910079,33791,906990,277,50469,1034460,47048,16995,1109338,105991,27904,3179,7479,658891,51229,9311,518794,585310,137346,350881,4955
Tobacco Products Sales Tax,T16,18559124,173628,58356,307903,228521,2122673,187129,320931,119153,24934,1097766,225531,111920,49464,730407,409215,211564,125636,382071,275055,137331,362901,523963,826928,616192,138923,96760,75486,55394,179895,209201,583839,95080,1035160,288657,26639,914339,458201,245318,1239528,138761,26694,51081,236922,1299014,105047,71189,162294,390317,168750,616240,21223
Other Selective Sales and Gross Receipts Taxes,T19,52091469,617743,35316,160146,273297,5376900,1284348,1323162,134768,76607,993998,513666,661100,64530,3384648,1496850,53723,42121,850980,117398,161148,1583822,693178,1386789,2716502,352872,84275,80608,24078,248745,403769,2105318,161031,6623859,1006880,139280,1960348,68847,1021675,1910475,223980,530455,116588,794971,5551405,322428,464573,1748978,1176555,522336,441442,2958
License Taxes,TA3,59911259,570754,152187,584022,391409,12008966,678829,370415,1851617,202042,2319054,719188,274200,432993,2748276,792545,1021357,432005,542825,417186,284666,799856,1130025,2017443,1578328,487110,634725,453759,186656,637899,420669,1691586,340239,1823176,2199765,220690,1922181,1008620,1610441,2602799,124557,633783,295378,1672204,3875185,351234,140193,972928,1615374,221617,1243553,204750
Alcoholic Beverages License,T20,738374,7411,1429,10326,4540,66660,7639,7953,1468,4979,4927,4124,X,1739,12647,13694,17525,3709,3721,X,7256,1135,3906,19728,2847,1276,4656,5690,994,X,17828,3492,0,55626,24477,408,29957,80,3911,38186,1256,12645,1321,1556,75414,0,411,15604,187534,44688,2001,X
Amusements License,T21,503033,X,X,X,955,26723,756,229,284,X,11000,X,X,218,17348,5442,28064,5932,275,X,470,1657,8976,X,1104,16424,25,4654,593,71820,319,54425,6429,X,234,1191,39832,125771,1148,26825,189,4324,5892,207,13507,X,24,113,14942,4154,449,109
Corporations in General License,T22,7056624,172986,X,25105,27257,84567,23474,32538,1643896,37248,386200,74243,1959,4182,311797,9112,75484,28040,151794,184652,11777,83751,24761,31472,9409,132851,0,5283,15738,76560,75975,374586,36705,2286,751945,X,292349,53085,467279,13920,5266,130868,6675,818243,205061,443,3729,66069,45559,728,23956,15761
Hunting and Fishing License,T23,1844108,20402,36543,45080,27194,115291,112800,5054,4136,96,16932,37969,666,56404,40719,20208,35439,30082,30778,30774,17054,17826,6426,91864,72026,2747,34546,69573,16417,13352,14362,14827,24645,44831,37236,19505,41103,24670,58565,82290,1844,20152,31020,41552,119624,32276,8245,26459,42573,14326,93204,42401
Motor Vehicle License,T24,27542834,237575,33600,255034,170569,4920460,428841,230462,56082,32230,1498596,375639,199182,203051,1764038,366896,698847,225983,205245,76104,109927,471001,416016,1366442,856610,162947,300665,171159,106763,194095,85310,628977,209574,1418248,873708,116847,453563,773448,723098,1150355,29627,303975,84815,353924,2075524,228294,73514,446812,648425,4355,627348,99034
Motor Vehicle Operators License,T25,2788184,45048,X,40734,24089,285557,39744,33585,6645,4717,201600,117406,356,11325,127569,261793,13726,28036,14038,5389,10267,26923,74816,55380,48774,17343,14060,7547,10433,19725,7836,53070,12869,141385,109255,4766,71277,29677,29735,77883,7983,4711,4912,60475,155619,24475,14778,138837,104615,143600,39578,4223
Public Utilities License,T27,1208187,19464,8978,0,8628,628587,13309,X,531,X,23982,X,17491,62471,11823,X,11062,5698,X,7315,X,X,X,32263,642,6863,17979,12,X,X,24138,21565,1710,37088,18946,5,1001,5,12021,62800,2440,13740,X,5937,41767,X,X,635,20778,340,66173,X
"Occupation and Business License, NEC",T28,16507450,67867,71637,205639,127333,5854119,52221,56326,127014,69827,164729,79211,41278,89660,426818,37700,138016,101828,134316,108312,116668,195835,320192,256843,520132,81397,180685,175531,34767,255310,192402,538792,48307,122849,337825,77968,860701,882,303627,1129790,69691,124334,134857,381875,1019775,58401,29028,213191,379875,5918,342929,43222
Other License Taxes,T29,1722465,1,0,2104,844,27002,45,4268,11561,52945,11088,30596,13268,3943,35517,77700,3194,2697,2658,4640,11247,1728,274932,163451,66784,65262,82109,14310,951,7037,2499,1852,0,863,46139,0,132398,1002,11057,20750,6261,19034,25886,8435,168894,7345,10464,65208,171073,3508,47915,0
