"fips","year","per.elig.voted.per.elig.voted","per.elig.voted.per.registered"
"01001",2022,0.719811320754717,0.647457627118644
"01003",2022,0.693037974683544,0.484536082474227
"01005",2022,0.719811320754717,0.647457627118644
"01007",2022,0.719811320754717,0.647457627118644
"01009",2022,0.719811320754717,0.647457627118644
"01011",2022,0.719811320754717,0.647457627118644
"01013",2022,0.595505617977528,0.527777777777778
"01015",2022,0.625,0.333333333333333
"01017",2022,0.757575757575758,0.8
"01019",2022,0.719811320754717,0.647457627118644
"01021",2022,0.719811320754717,0.647457627118644
"01023",2022,0.719811320754717,0.647457627118644
"01025",2022,0.661538461538462,0.227272727272727
"01027",2022,0.719811320754717,0.647457627118644
"01029",2022,0.719811320754717,0.647457627118644
"01031",2022,0.754756871035941,0.491379310344828
"01033",2022,0.741514360313316,0.444444444444444
"01035",2022,0.719811320754717,0.647457627118644
"01037",2022,0.719811320754717,0.647457627118644
"01039",2022,0.719811320754717,0.647457627118644
"01041",2022,0.719811320754717,0.647457627118644
"01043",2022,0.719811320754717,0.647457627118644
"01045",2022,0.719811320754717,0.647457627118644
"01047",2022,0.719811320754717,0.647457627118644
"01049",2022,0.719811320754717,0.647457627118644
"01051",2022,0.719811320754717,0.647457627118644
"01053",2022,0.719811320754717,0.647457627118644
"01055",2022,0.719811320754717,0.647457627118644
"01057",2022,0.719811320754717,0.647457627118644
"01059",2022,0.719811320754717,0.647457627118644
"01061",2022,0.719811320754717,0.647457627118644
"01063",2022,0.719811320754717,0.647457627118644
"01065",2022,0.719811320754717,0.647457627118644
"01067",2022,0.719811320754717,0.647457627118644
"01069",2022,0.719811320754717,0.647457627118644
"01071",2022,0.719811320754717,0.647457627118644
"01073",2022,0.719811320754717,0.647457627118644
"01075",2022,0.719811320754717,0.647457627118644
"01077",2022,0.719811320754717,0.647457627118644
"01079",2022,0.719811320754717,0.647457627118644
"01081",2022,0.719811320754717,0.647457627118644
"01083",2022,0.719811320754717,0.647457627118644
"01085",2022,0.719811320754717,0.647457627118644
"01087",2022,0.719811320754717,0.647457627118644
"01089",2022,0.719811320754717,0.647457627118644
"01091",2022,0.719811320754717,0.647457627118644
"01093",2022,0.719811320754717,0.647457627118644
"01095",2022,0.719811320754717,0.647457627118644
"01097",2022,0.719811320754717,0.647457627118644
"01099",2022,0.719811320754717,0.647457627118644
"01101",2022,0.719811320754717,0.647457627118644
"01103",2022,0.719811320754717,0.647457627118644
"01105",2022,0.719811320754717,0.647457627118644
"01107",2022,0.719811320754717,0.647457627118644
"01109",2022,0.719811320754717,0.647457627118644
"01111",2022,0.719811320754717,0.647457627118644
"01113",2022,0.719811320754717,0.647457627118644
"01115",2022,0.719811320754717,0.647457627118644
"01117",2022,0.719811320754717,0.647457627118644
"01119",2022,0.719811320754717,0.647457627118644
"01121",2022,0.719811320754717,0.647457627118644
"01123",2022,0.719811320754717,0.647457627118644
"01125",2022,0.719811320754717,0.647457627118644
"01127",2022,0.719811320754717,0.647457627118644
"01129",2022,0.719811320754717,0.647457627118644
"01131",2022,0.719811320754717,0.647457627118644
"01133",2022,0.719811320754717,0.647457627118644
"01001",2022,0.719811320754717,0.647457627118644
"01003",2022,0.693037974683544,0.484536082474227
"01005",2022,0.719811320754717,0.647457627118644
"01007",2022,0.719811320754717,0.647457627118644
"01009",2022,0.719811320754717,0.647457627118644
"01011",2022,0.719811320754717,0.647457627118644
"01013",2022,0.595505617977528,0.527777777777778
"01015",2022,0.625,0.333333333333333
"01017",2022,0.757575757575758,0.8
"01019",2022,0.719811320754717,0.647457627118644
"01021",2022,0.719811320754717,0.647457627118644
"01023",2022,0.719811320754717,0.647457627118644
"01025",2022,0.661538461538462,0.227272727272727
"01027",2022,0.719811320754717,0.647457627118644
"01029",2022,0.719811320754717,0.647457627118644
"01031",2022,0.754756871035941,0.491379310344828
"01033",2022,0.741514360313316,0.444444444444444
"01035",2022,0.719811320754717,0.647457627118644
"01037",2022,0.719811320754717,0.647457627118644
"01039",2022,0.719811320754717,0.647457627118644
"01041",2022,0.719811320754717,0.647457627118644
"01043",2022,0.719811320754717,0.647457627118644
"01045",2022,0.719811320754717,0.647457627118644
"01047",2022,0.719811320754717,0.647457627118644
"01049",2022,0.719811320754717,0.647457627118644
"01051",2022,0.719811320754717,0.647457627118644
"01053",2022,0.719811320754717,0.647457627118644
"01055",2022,0.719811320754717,0.647457627118644
"01057",2022,0.719811320754717,0.647457627118644
"01059",2022,0.719811320754717,0.647457627118644
"01061",2022,0.719811320754717,0.647457627118644
"01063",2022,0.719811320754717,0.647457627118644
"01065",2022,0.719811320754717,0.647457627118644
"01067",2022,0.719811320754717,0.647457627118644
"01069",2022,0.719811320754717,0.647457627118644
"01071",2022,0.719811320754717,0.647457627118644
"01073",2022,0.719811320754717,0.647457627118644
