Table with row headers in column A and column headers in rows 4 through 5. (Leading dots indicate subpa2021,,,,,,,
"Table 2. Percent Holding Debt for Households, by Type of Debt and States: 2022",,,,,,,
State,Number of Households (thousands),Any Debt,Secured Debt,,,Unsecured Debt,
,,,Total,Home Debt,Vehicle Debt,Total,Credit Card Debt
Total,134100,72.4,51.9,35.7,31.3,54.4,41.9
State,,,,,,,
Alabama,1991,60.5,41.9,24,28.3,46.2,34.9
Alaska,219,79.4,57.7,47.3,25.1,58.3,45.7
Arizona,2827,73.7,49.6,38.4,25.3,57.1,45.7
Arkansas,1261,64.3,47.8,31.2,34.6,44.5,32.4
California,14460,71,50.2,33.4,26.9,51.4,42.2
Colorado,2374,73.9,53.9,43.9,26.9,51.7,39
Connecticut,1495,73.9,49.2,34,30.3,57.3,47.8
Delaware,430,64.1,38.8,24.7,26.4,49.8,32
District of Columbia,288,69.9,46.7,33.8,20.1,55.1,43.4
Florida,9281,74.6,52.3,35.3,34.1,58.3,47.8
Georgia,4195,78.1,54.5,36.8,32.6,58.1,42.5
Hawaii,538,73.9,64,47,32.3,51.3,49.1
Idaho,815,82.2,62.8,47.7,32,54.5,38.2
Illinois,5100,70.1,45.8,34.9,27.3,53.5,38.6
Indiana,2920,76.2,59,42.5,37.4,60.6,44.5
Iowa,1426,69.3,54.8,39.7,37,55.1,44
Kansas,1128,70.6,59.3,42.1,35.2,39.5,29.5
Kentucky,1830,76.7,58.2,35.7,42.3,57.2,45.2
Louisiana,1861,67.7,42.9,23.7,28.5,52.5,38
Maine,681,66.5,57.3,39.3,34.6,57,48.4
Maryland,2442,81.6,63.7,50.9,35.4,61.3,50.9
Massachusetts,2878,69.7,49.2,37.1,30.4,54.8,45
Michigan,4286,76.3,56.8,39.9,35.2,56,41.1
Minnesota,2458,75.3,61.9,50.5,31.7,52.4,37.4
Mississippi,1193,67.4,43.4,28.5,27.2,55.5,40.7
Missouri,2508,73.4,58.4,39.3,38,54.6,42.4
Montana,534,72.8,50.9,39.4,33.1,58,35.6
Nebraska,866,72.6,57.1,41.2,31.5,53.7,34.6
Nevada,1359,74.9,58.1,37.7,33.7,57,45.9
New Hampshire,680,83.5,40.7,31.5,20.4,72.5,60.4
New Jersey,3578,71.7,52.2,33.2,30,51.6,38.4
New Mexico,904,60.9,45,24.3,35.2,48.3,31
New York,7975,70.7,41.1,27.8,23.4,58,45.3
North Carolina,4377,72.5,53.1,34,33.6,53.3,40.7
North Dakota,387,69,50.2,50.2,29.4,50.7,34.5
Ohio,4749,73.2,52.7,31.7,36.6,53.2,40.4
Oklahoma,1606,72,55.6,34,35.1,47.2,31.8
Oregon,1794,72.7,51.7,38.8,23.6,57.5,39.3
Pennsylvania,5406,68.8,50,35.2,30.7,50,37.8
Rhode Island,418,68.2,45.9,26.6,30.7,39.3,31.5
South Carolina,2185,73.9,52.1,38.7,32,56.4,42
South Dakota,303,85.8,63.2,17.4,47.8,67.4,54
Tennessee,2939,71.8,51.9,33.8,36.1,55.6,43.2
Texas,11210,71.6,51.7,32.4,34.4,55,42.2
Utah,1138,76.6,62.8,44.7,38.4,58.2,46.1
Vermont,305,74.1,57.5,50.8,57.5,62.5,58.6
Virginia,3547,75.5,53.7,40.2,30,56.3,42.8
Washington,3321,73.2,54.6,43.8,26.6,54.4,41.5
West Virginia,785,70,53.8,34.2,39.8,51.6,37.5
Wisconsin,2570,71.5,54,38.8,29.2,49.3,34.1
Wyoming,282,67.4,48.9,33.2,33.1,52.4,39.4
Footnotes:,,,,,,,
"NOTE: Sample excludes group quarters and households in which the household reference person was either living outside the United States in December, living in institutionalized group quarters in December, or was living in a non-permanent accommodation in December. Number of households has been rounded to four significant digits. (D) - Cell suppressed due to a small number of observations. 'Total Secured Debt' includes debt on rental property and real estate in addition to home, vehicle, and business debt. 'Total Unsecured Debt' includes credit card debt, student loans, medical debt, and other debt (such as loans obtained through a bank or credit union, money owed to private individuals, or debt held against mutual funds or stocks). The Census Bureau's Statistical Quality Standards indicate that serious data quality issues related to sampling error occur when the estimated coefficients of variation (defined as a standard error divided by its point estimate) for the majority of the key estimates are larger than 0.3. While this table package meets the Statistical Quality Standards, use caution with estimates having coefficients of variation larger than 0.3 in absolute value as they may suffer from data quality issues. Standard errors for point estimates in this table are in Table 2A. The estimates in this table are based on responses from a sample of the population and may differ from the actual values because of sampling variability and other factors. As a result, apparent differences between the estimates for two or more groups may not be statistically significant. For information on sampling and nonsampling error see: https://www.census.gov/programs-surveys/sipp/methodology/sampling.html. For technical documentation and more information about SIPP data quality, visit the survey's Technical Documentation webpage at https://www.census.gov/programs-surveys/sipp/tech-documentation.html.",,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
"Source: U.S. Census Bureau, Survey of Income and Program Participation, Survey Year 2023, Public Use Data, Project No. P-7516454, Dataset D-0000004561, Approval CBDRB-FY24-0222.",,,,,,,
Internet Release Date: 07/11/2024,,,,,,,
