"UACE10","GEOID10","NAME10","state","ALAND10","report_year.x","report_year.y","agency_voms","mode_voms","service_area_sq_miles","service_area_population","report_year","total_facilities","per_facilities_prior1980","per_facilities_prior2000","bin_bus","bin_demandresponse","bin_light_commuterail","bin_ferry","bin_directly_operated","bin_purchased_transportation","fare_revenues_earned","total_operating_expenses","cost_per_hour","train_miles","train_hours","passengers_per_hour","passenger_miles"
"02629","02629","Anniston--Oxford, AL","AL",224712858,2023,2023,28,24,4992,319979,2023,1,0,0,1,1,0,0,0,2,162689,2105098,113.149,0,0,9.4074,0
"02683","02683","Antioch, CA","CA",209026457,2023,2023,98,52,225,333000,0,4,0,0,1,2,0,0,0,2,1654376,32632453,313.3195,0,0,12.668,6518048
"02764","02764","Appleton, WI","WI",268537555,2023,2023,47,25,117,276683,2023,8,0,100,2,1,0,0,1,2,1113745,8270226,218.2493,0,0,24.0136,3335281
"03034","03034","Arecibo, PR","PR",217696324,2023,2023,9,7,46,38486,2023,1,0,0,2,2,0,0,3,1,0,1596120,534.6181,0,0,2.9758,0
"03358","03358","Asheville, NC","NC",686038200,2023,2023,27,24,657,273589,2023,2,50,100,3,2,0,0,0,5,1489892,16426553,502.9423,0,0,30.0893,6155250
"03763","03763","Athens-Clarke County, GA","GA",254843272,2023,2023,66,58,47,127358,2023,3,33.3333333333333,100,2,2,0,0,4,0,0,14770628,573.2914,0,0,69.1826,7709567
"03817","03817","Atlanta, GA","GA",6853090913,2023,2023,753,384,605,1742072,2023,111,100,100,9,12,1,0,11,12,80746073,686390864,3868.2023,3309959,131294,145.5486,396891232
"04033","04033","Auburn, AL","AL",129268656,2023,2023,26,22,1248,233424,0,0,0,0,1,1,0,0,2,0,0,2161122,103.2164,0,0,7.1397,0
"04222","04222","Augusta-Richmond County, GA--SC","GA",672475992,2023,2023,18,12,25,204484,2023,2,0,50,2,2,0,0,0,4,390944,7538912,513.0877,0,0,18.604,1726132
"04222","04222","Augusta-Richmond County, GA--SC","SC",672475992,2023,2023,7,4,222,88300,0,0,0,0,2,2,0,0,0,4,390944,7538912,513.0877,0,0,18.604,1726132
"04384","04384","Austin, TX","TX",1355592421,2023,2023,657,290,549,1359922,2023,29,0,20.6896551724138,3,3,1,0,0,7,17999745,347311100,2103.8557,422935,20394,61.4845,122011612
"04681","04681","Bakersfield, CA","CA",358552872,2023,2023,89,51,906,500977,2023,12,0,41.6666666666667,2,2,0,0,2,2,4131079,47622221,512.4636,0,0,21.9667,12780142
"04843","04843","Baltimore, MD","MD",1856734366,2023,2023,1550,642,2560,7811145,2023,247,50,70.8502024291498,8,9,2,1,12,7,65992162,965554472,3826.3819,3521736,129518,151.7136,350825781
"04951","04951","Bangor, ME","ME",109704371,2023,2023,93,93,7935,171467,2023,4,100,100,1,2,0,0,3,0,12923489,19212918,345.1686,0,0,15.7226,0
"05167","05167","Barnstable Town, MA","MA",718700832,2023,2023,132,76,2100,445980,2023,17,25,50,2,3,0,2,4,2,66028758,155001403,5581.6218,0,0,198.6786,74094266
"05680","05680","Baton Rouge, LA","LA",949969170,2023,2023,62,43,211,367124,0,4,0,100,1,1,0,0,1,1,1295508,31672671,227.2732,0,0,9.3112,7092247
"05707","05707","Battle Creek, MI","MI",137406261,2023,2023,19,12,73,87735,2023,4,0,75,1,1,0,0,2,0,278297,4613821,279.7116,0,0,11.3913,0
"05869","05869","Bay City, MI","MI",104487607,2023,2023,50,36,442,103856,0,2,0,100,1,1,0,0,2,0,198357,9590402,302.2333,0,0,8.772,2107127
"06058","06058","Beaumont, TX","TX",237552611,2023,2023,18,12,41,82731,2023,2,50,50,1,1,0,0,0,2,330956,6086422,219.5065,0,0,7.5838,1067147
"06139","06139","Beckley, WV","WV",157962317,2023,2023,13,8,38,62637,0,0,0,0,1,1,0,0,0,2,70400,1292212,128.8093,0,0,5.0656,0
"06652","06652","Bellingham, WA","WA",124563225,2023,2023,99,48,776,235629,2023,5,0,40,1,2,0,0,3,0,1663497,43843315,479.4234,0,0,34.3722,11921726
"06760","06760","Beloit, WI--IL","WI",88778590,2023,2023,10,7,16,37137,0,2,0,50,1,1,0,0,1,1,125960,2304521,175.8875,0,0,8.8854,0
"06868","06868","Bend, OR","OR",102857256,2023,2023,40,12,78,156297,0,4,0,0,3,2,0,0,3,2,296960,9096095,654.9994,0,0,42.655,3520617
"07138","07138","Benton Harbor--St. Joseph--Fair Plain, MI","MI",120910282,2023,2023,20,16,14,27000,0,1,0,100,1,1,0,0,2,0,129806,2334915,122.9475,0,0,11.7428,0
"07705","07705","Billings, MT","MT",137093572,2023,2023,29,16,45,117116,2023,3,0,66.6666666666667,1,1,0,0,2,0,566096,6007884,223.4053,0,0,11.0056,1773897
"07732","07732","Binghamton, NY--PA","NY",191728719,2023,2023,53,38,712,198963,2023,2,0,50,1,1,0,0,2,0,2855100,11763412,186.5639,0,0,17.0775,5399291
"07786","07786","Birmingham, AL","AL",1372262260,2023,2023,85,34,392,817550,2023,5,20,20,2,3,0,0,3,2,1539379,36725976,662.5514,0,0,29.0255,11689874
"07921","07921","Bismarck, ND","ND",99711726,2023,2023,22,16,56,103265,2023,1,0,100,1,1,0,0,0,2,317246,4310438,168.8958,0,0,7.6717,0
"08002","08002","Blacksburg, VA","VA",132287164,2023,2023,34,26,36,70032,0,1,0,100,2,1,0,0,2,1,0,13252308,308.5672,0,0,50.1403,6571617
"08380","08380","Bloomington, IN","IN",116023756,2023,2023,51,26,21,86987,2023,3,0,66.6666666666667,1,2,0,0,2,0,2145510,10248653,241.4697,0,0,39.9031,5840341
"08407","08407","Bloomington--Normal, IL","IL",126747529,2023,2023,44,26,46,131416,0,3,0,0,1,1,0,0,2,0,1354613,16877077,234.896,0,0,21.8703,5027621
"08785","08785","Boise City, ID","ID",345745626,2023,2023,92,92,252,813042,2023,5,0,0,2,3,0,0,3,2,1753892,23119047,465.243,0,0,28.698,9555549
"08974","08974","Bonita Springs, FL","FL",482992868,2023,2023,49,30,2025,384902,0,0,0,0,1,1,0,0,0,2,1043401,14613930,202.3893,0,0,11.5294,8431064
"09271","09271","Boston, MA--NH--RI","MA",4852766033,2023,2023,2208,624,3244,5047998,2023,942,24.0976645435244,80,15,6,2,1,7,18,388971715,1973196211,5258.9625,10658532,720215,417.254,1130531365
"09271","09271","Boston, MA--NH--RI","NH",4852766033,2023,2023,16,16,460,530013,2023,9,0,11.1111111111111,15,6,2,1,7,18,388971715,1973196211,5258.9625,10658532,720215,417.254,1130531365
"09298","09298","Boulder, CO","CO",84039714,2023,2023,68,68,2500,2991231,2023,1,0,0,0,1,0,0,1,0,19091,10563341,139.4316,0,0,2.4994,1174833
"09379","09379","Bowling Green, KY","KY",117420731,2023,2023,16,10,15,72294,2023,1,0,0,1,1,0,0,0,2,4936,1507552,208.7838,0,0,6.9997,0
"09514","09514","Bozeman, MT","MT",50498686,2023,2023,23,13,13,57494,0,1,0,0,1,1,0,0,1,1,6715,2536229,160.9344,0,0,9.079,0
"09946","09946","Bremerton, WA","WA",353464688,2023,2023,222,100,396,254183,2023,26,3.84615384615385,23.0769230769231,1,3,0,1,4,0,6574761,68174811,1648.2702,0,0,80.0518,24094434
"10027","10027","Brevard, NC","NC",31410294,2023,2023,6,4,0,0,2023,0,0,0,1,2,0,0,2,0,3660,549941,198.6894,0,0,7.3882,0
