Table with row headers in column A and column headers in rows 4 through 5. (Leading dots indicate subpa2021,,,,,,,
"Table 2. Percent Holding Debt for Households, by Type of Debt and States: 2021",,,,,,,
State,Number of Households (thousands),Any Debt,Secured Debt,,,Unsecured Debt,
,,,Total,Home Debt,Vehicle Debt,Total,Credit Card Debt
Total,132700,73.5,52.9,36.4,32.3,55,41.6
State,,,,,,,
Alabama,2033,64.9,44.3,27.7,27,49.1,33.6
Alaska,256,77.5,61.7,44.4,26.8,56.5,55.5
Arizona,2991,77.7,53.7,40.7,29.4,57.2,47
Arkansas,1258,73.9,58.5,37,41.7,53.2,33.2
California,14350,72.7,52,34.6,29,52.4,42.7
Colorado,2432,76.9,57.3,43.2,31.9,54.9,38.4
Connecticut,1551,77.6,48.7,34.9,24.9,69.4,50
Delaware,357,74.1,51.7,33.2,28,44.6,37
District of Columbia,351,78.7,42.2,26.8,18.2,68.2,44.7
Florida,8980,73.1,52.4,35.6,31.7,55.9,44.9
Georgia,4315,78.6,54,40.8,32,62.4,47
Hawaii,494,77.4,57.4,51.7,23.3,50,41.6
Idaho,759,79.4,63,46.7,39.6,52.6,35.6
Illinois,4958,73.9,54.6,36.2,35.5,51.5,37.3
Indiana,2814,78.6,61.2,42.4,40.6,59.8,45.1
Iowa,1298,76.3,54.5,41.5,34.1,57.9,45.1
Kansas,1205,73.3,58.4,43.4,31.8,53.5,36.7
Kentucky,1892,78.4,54.6,36.4,38.3,62.2,44.2
Louisiana,1857,69.9,48.8,30.1,31.7,50.9,32.9
Maine,658,70,51.6,32.9,35.8,60.3,42.8
Maryland,2358,79.2,62.3,47.7,36.7,58.7,44.1
Massachusetts,2788,72.7,53,36.3,28.4,58.9,44
Michigan,4245,77.1,55.5,40.5,31.7,58.8,42.6
Minnesota,2378,76.5,64.4,49.2,36.9,49.8,37.3
Mississippi,1259,74,50.3,30.8,35.1,57.7,38.6
Missouri,2551,76.2,56.2,35.5,38.8,53.9,40
Montana,498,70.9,49.6,38.1,30.4,53.1,31.7
Nebraska,869,72.3,50.2,31,28.1,51,37.3
Nevada,1306,73.2,51.6,36.1,23.5,54.9,46.5
New Hampshire,646,80.4,49.6,38.3,34.2,62.8,50.1
New Jersey,3489,70.5,45.8,34.6,23.2,57.5,45.4
New Mexico,816,69.8,45.3,27.9,32.1,60.5,45.2
New York,7786,68.4,39.4,25.7,24,57.4,45
North Carolina,4688,68.6,49.3,33.4,34.7,52,38.8
North Dakota,453,54.4,29,16,20.1,48.9,30.5
Ohio,4546,73.6,53.4,35.7,35.7,53.7,38.9
Oklahoma,1596,70.7,49.8,33.2,33.7,48.5,32.8
Oregon,1722,75.3,54.7,42.3,29.4,53.1,40.7
Pennsylvania,5259,68.9,49.6,34.8,31,52.7,40.2
Rhode Island,461,78.2,60.4,40.7,40.2,71.1,69.1
South Carolina,2223,70.6,55.3,38.3,36.3,49.3,37.6
South Dakota,363,80.5,62.4,23.2,47.5,62.7,41.1
Tennessee,2853,76.1,57,36.7,39.7,56.4,41.7
Texas,11040,73.9,54.7,34,36.4,54.9,40.4
Utah,1060,79.2,65.4,46.7,39,59.2,41.6
Vermont,253,83.8,65.2,52,42.8,64.6,49.4
Virginia,3548,74.7,57.6,42.9,31.6,52.7,39.2
Washington,3200,73.8,56,44.2,29.9,54.2,44
West Virginia,748,77.2,53.3,32.2,42.6,52.3,35.1
Wisconsin,2575,69.4,55.3,36.4,34.5,48.5,35.2
Wyoming,274,67.2,49.9,37.9,32.1,45.3,28.9
Footnotes:,,,,,,,
"NOTE: Sample excludes group quarters and households in which the household reference person was either living outside the United States in December, living in institutionalized group quarters in December, or was living in a non-permanent accommodation in December. Number of households has been rounded to four significant digits. (D) - Cell suppressed due to a small number of observations. 'Total Secured Debt' includes debt on rental property and real estate in addition to home, vehicle, and business debt. 'Total Unsecured Debt' includes credit card debt, student loans, medical debt, and other debt (such as loans obtained through a bank or credit union, money owed to private individuals, or debt held against mutual funds or stocks). The Census Bureau's Statistical Quality Standards indicate that serious data quality issues related to sampling error occur when the estimated coefficients of variation (defined as a standard error divided by its point estimate) for the majority of the key estimates are larger than 0.3. While this table package meets the Statistical Quality Standards, use caution with estimates having coefficients of variation larger than 0.3 in absolute value as they may suffer from data quality issues. Standard errors for point estimates in this table are in Table 2A. The estimates in this table are based on responses from a sample of the population and may differ from the actual values because of sampling variability and other factors. As a result, apparent differences between the estimates for two or more groups may not be statistically significant. For information on sampling and nonsampling error see: https://www.census.gov/programs-surveys/sipp/methodology/sampling.html. For technical documentation and more information about SIPP data quality, visit the survey's Technical Documentation webpage at https://www.census.gov/programs-surveys/sipp/tech-documentation.html.",,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
"Source: U.S. Census Bureau, Survey of Income and Program Participation, Survey Year 2022, Public Use Data",,,,,,,
Internet Release Date: 06/27/2023,,,,,,,
