"fips"|"regular_pub"|"alt_pub"|"special_pub"|"votech_pub"|"nat_lunch_participant"|"nat_lunch_CEOprov_eligible"|"pub_prek"|"pub_total_students"|"pub_fte_teachers"|"regular_pri"|"alt_pri"|"special_pri"|"votech_pri"|"other_private_edu"|"private_school"|"religious"|"pri_prek"|"pri_total_students"|"pri_fte_teachers"
"010010202002"|1|0|0|0|1|0|0|681|40|0|0|0|0|2|2|2|1|32|4
"010010203001"|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|12|1
"010010205001"|1|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"010010206001"|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"010010207001"|1|0|0|0|1|0|0|408|28|0|0|0|0|0|0|0|0|0|0
"010010207002"|2|1|0|0|3|0|0|0|62|0|0|0|0|0|0|0|0|0|0
"010010208012"|0|0|0|0|0|0|0|0|0|1|0|0|0|0|1|0|1|284|20.8
"010010208021"|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"010010208022"|1|0|0|1|1|0|0|0|112|0|0|0|0|0|0|0|0|0|0
"010010209003"|1|0|0|0|1|0|0|447|25.5|0|0|0|0|0|0|0|0|0|0
"010010209004"|2|0|0|0|2|0|0|1551|83|0|0|0|0|0|0|0|0|0|0
"010010210002"|1|0|0|0|1|0|0|651|40|0|0|0|0|0|0|0|0|0|0
"010010211001"|1|0|0|0|1|0|0|333|24|0|0|0|0|0|0|0|0|0|0
"01003"|0|0|0|0|0|0|0|0|0|10|0|0|0|2|12|10|10|1901|173.9
"010030102001"|1|0|0|0|1|0|1|462|25.63|0|0|0|0|0|0|0|0|0|0
"010030103002"|1|0|0|0|1|0|1|238|15.13|0|0|0|0|0|0|0|0|0|0
"010030103003"|1|0|0|0|1|0|0|1183|63.75|0|0|0|0|0|0|0|0|0|0
"010030104003"|2|0|0|0|2|0|2|702|40.65|0|0|0|0|0|0|0|0|0|0
"010030105002"|1|0|0|0|1|0|0|477|27.25|0|0|0|0|0|0|0|0|0|0
"010030105003"|1|0|0|0|1|0|1|462|25.63|0|0|0|0|0|0|0|0|0|0
"010030105004"|2|0|0|0|2|0|1|947|53.34|0|0|0|0|0|0|0|0|0|0
"010030107011"|2|0|0|0|2|0|0|1856|102.75|0|0|0|0|0|0|0|0|0|0
"010030107031"|1|0|0|0|1|0|0|1259|67.33|0|0|0|0|0|0|0|0|0|0
"010030107032"|4|0|0|0|4|0|1|3122|167.36|0|0|0|0|0|0|0|0|0|0
"010030107051"|3|0|0|0|3|0|0|2913|153.03|0|0|0|0|0|0|0|0|0|0
"010030108001"|1|0|0|0|1|0|0|513|27.3|0|0|0|0|0|0|0|0|0|0
"010030108002"|1|0|0|0|1|0|0|678|40.7|0|0|0|0|0|0|0|0|0|0
"010030109032"|1|0|0|0|1|0|0|676|35.7|0|0|0|0|0|0|0|0|0|0
"010030109033"|1|0|0|0|1|0|1|429|24.33|0|0|0|0|0|0|0|0|0|0
"010030109041"|1|0|0|0|1|0|1|351|18.34|0|0|0|0|0|0|0|0|0|0
"010030109043"|1|0|0|0|1|0|1|304|18.13|0|0|0|0|0|0|0|0|0|0
"010030109051"|1|0|0|0|1|0|1|431|23.26|0|0|0|0|0|0|0|0|0|0
"010030109052"|2|0|0|0|2|0|1|1800|99.01|0|0|0|0|0|0|0|0|0|0
"010030109062"|1|0|0|0|1|0|1|351|18.34|0|0|0|0|0|0|0|0|0|0
"010030109063"|1|0|0|2|2|0|1|0|0|0|0|0|0|0|0|0|0|0|0
"010030110001"|1|0|0|0|1|0|1|505|30.64|0|0|0|0|0|0|0|0|0|0
"010030111021"|1|0|0|0|1|0|0|634|37.19|0|0|0|0|0|0|0|0|0|0
"010030111022"|2|0|0|0|2|0|0|2378|118.84|0|0|0|0|0|0|0|0|0|0
"010030112011"|1|0|0|0|1|0|1|1090|58.8|0|0|0|0|0|0|0|0|0|0
"010030112012"|1|0|0|0|1|0|0|837|33.93|0|0|0|0|0|0|0|0|0|0
"010030114011"|1|0|0|0|1|0|1|703|40.23|0|0|0|0|0|0|0|0|0|0
"010030114014"|1|0|0|0|1|0|1|281|19.68|0|0|0|0|0|0|0|0|0|0
"010030114051"|1|0|0|0|1|0|0|448|25.05|0|0|0|0|0|0|0|0|0|0
"010030114061"|3|0|0|0|3|0|1|2311|124.95|0|0|0|0|0|0|0|0|0|0
"010030114063"|1|0|0|0|1|0|0|448|25.05|0|0|0|0|0|0|0|0|0|0
"010030114073"|3|0|0|0|3|0|1|2311|124.95|0|0|0|0|0|0|0|0|0|0
"010030115012"|1|0|0|0|1|0|0|1393|74.8|0|0|0|0|0|0|0|0|0|0
"010030115021"|2|0|0|0|2|0|0|2298|121.79|0|0|0|0|0|0|0|0|0|0
"010030116011"|1|0|0|0|1|0|0|568|32.17|0|0|0|0|0|0|0|0|0|0
"010030116012"|1|0|0|0|1|0|0|449|28.35|1|0|0|0|0|1|1|1|145|16.9
"010030116014"|1|0|0|0|1|0|0|449|28.35|1|0|0|0|0|1|1|1|145|16.9
"01005"|0|0|0|0|0|0|0|0|0|1|0|0|0|0|1|0|0|269|29.1
"010059501003"|2|0|0|0|2|0|0|1390|87.1|0|0|0|0|0|0|0|0|0|0
"010059502003"|1|0|0|0|1|1|0|392|23|0|0|0|0|0|0|0|0|0|0
"010059503001"|2|0|0|0|2|2|1|520|27|0|0|0|0|0|0|0|0|0|0
"010059506001"|0|0|0|0|0|0|0|0|0|1|0|0|0|0|1|1|1|73|12
"010059507001"|1|0|0|0|1|0|1|817|44.15|0|0|0|0|0|0|0|0|0|0
"010059508002"|1|0|0|0|1|0|0|635|29.75|0|0|0|0|0|0|0|0|0|0
"010059509002"|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"01007"|0|0|0|0|0|0|0|0|0|1|0|0|0|0|2|1|1|142|18.5
"010070100011"|3|0|0|1|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"010070100012"|3|0|0|1|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"010070100023"|1|0|0|0|1|0|0|311|18|0|0|0|0|0|0|0|0|0|0
"010070100031"|1|0|0|0|1|0|0|459|24|0|0|0|0|0|0|0|0|0|0
"010070100033"|2|0|0|0|2|0|0|639|34|0|0|0|0|0|0|0|0|0|0
"010070100034"|1|0|0|0|1|0|0|180|10|0|0|0|0|0|0|0|0|0|0
"010070100044"|1|0|0|0|1|0|0|636|35|0|0|0|0|0|0|0|0|0|0
"010070100045"|1|0|0|0|1|0|0|636|35|0|0|0|0|0|0|0|0|0|0
"010070100046"|1|0|0|0|1|0|0|516|29.86|0|0|0|0|0|0|0|0|0|0
"01009"|0|0|0|0|0|0|0|0|0|2|0|0|0|0|2|2|2|44|10.2
"010090501013"|1|0|0|0|1|0|0|582|37.02|0|0|0|0|0|0|0|0|0|0
"010090501015"|0|1|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"010090501024"|3|0|0|0|2|0|0|1477|84|0|0|0|0|0|0|0|0|0|0
"010090502001"|2|0|1|1|3|0|1|0|0|0|0|0|0|0|0|0|0|0|0
"010090503002"|2|0|0|0|2|0|0|1205|69.98|0|0|0|0|0|0|0|0|0|0
"010090503003"|2|0|0|0|2|0|0|1205|69.98|0|0|0|0|0|0|0|0|0|0
"010090505001"|2|0|0|0|2|0|0|1206|69.49|0|0|0|0|0|0|0|0|0|0
"010090506023"|2|0|0|0|2|0|0|1436|86.43|0|0|0|0|0|0|0|0|0|0
"010090506025"|1|0|0|0|1|0|0|508|24.22|0|0|0|0|0|0|0|0|0|0
"010090507001"|2|0|0|0|2|0|0|1009|59.2|0|0|0|0|0|0|0|0|0|0
