"fips"|"inactive_win12"|"undergrad_school_prog"|"grad_school_prog"|"hbcu"|"hospital"|"medical_school_prog"|"tribal_school_prog"|"public_college_university"|"post_secondary_institution"|"degree_granting"|"grants_associates_certificate_only"|"not_degree_granting"|"size_lt1k"|"size_1k_10k"|"size_gt10k"|"ft_noninst_academic_staff"|"ft_community_admin_staff"|"total_instructional_staff"|"total_inst_staff_salary"|"no_reported_inst_staff"|"cost_grad_instate"|"cost_grad_outstate"|"cost_oncampus_living"|"cost_undergrad_instate"|"cost_undergrad_outstate"|"est_avg_inst_staff_salary"
"010030103001"|0|1|0|0|0|0|0|1|1|1|1|0|0|1|0|171|18|328|20787170|0|NA|NA|5900|3930|7860|63375.5182926829
"010030107041"|0|1|1|0|0|0|0|1|1|1|0|0|1|0|0|31|7|14|915622|0|19440|19440|NA|17424|17424|65401.5714285714
"010030107051"|0|1|1|0|0|0|0|1|1|1|0|0|1|0|0|31|7|14|915622|0|19440|19440|NA|17424|17424|65401.5714285714
"010030114033"|0|1|1|0|0|0|0|1|1|1|0|0|0|0|1|547|254|558|27200282|0|3780|3780|NA|5520|5520|48746.0250896057
"010030115021"|0|1|0|0|0|0|0|1|1|0|0|1|1|0|0|0|0|0|0|0|NA|NA|NA|NA|NA|NA
"010030115022"|0|1|0|0|0|0|0|1|1|0|0|1|1|0|0|0|0|0|0|0|NA|NA|NA|NA|NA|NA
"010030116014"|0|1|1|0|0|0|0|1|1|1|0|0|0|0|1|547|254|558|27200282|0|3780|3780|NA|5520|5520|48746.0250896057
"010150021011"|0|1|1|0|0|0|0|1|1|1|0|0|0|1|0|617|228|682|45883688|0|9600|19200|8000|9720|19440|67278.1348973607
"010150021012"|0|1|1|0|0|0|0|1|1|1|0|0|0|1|0|617|228|682|45883688|0|9600|19200|8000|9720|19440|67278.1348973607
"010259579023"|0|1|0|0|0|0|0|1|1|0|0|1|1|0|0|0|0|0|0|0|NA|NA|NA|NA|NA|NA
"010310113002"|0|1|0|0|0|0|0|1|1|1|1|0|0|1|0|64|28|92|5543624|0|NA|NA|NA|3930|7860|60256.7826086957
"010330207041"|0|1|0|0|0|0|0|1|1|1|1|0|0|1|0|126|36|164|8912334|0|NA|NA|NA|3930|7860|54343.5
"010359605001"|0|1|0|0|0|0|0|1|1|1|1|0|1|0|0|33|10|32|1969314|0|NA|NA|NA|3930|7860|61541.0625
"010399620001"|0|1|0|0|0|0|0|1|1|1|1|0|0|1|0|60|31|112|6261470|0|NA|NA|5550|3930|7860|55905.9821428571
"010439654012"|0|1|0|0|0|0|0|1|1|1|1|0|0|1|0|154|57|236|13939230|0|NA|NA|4900|3930|7860|59064.5338983051
"010450214003"|0|1|0|0|0|0|0|1|1|1|1|0|0|1|0|139|54|278|15339540|0|NA|NA|NA|3930|7860|55178.2014388489
"010479561004"|0|1|0|0|0|0|0|1|1|1|1|0|0|1|0|84|38|92|5145780|0|NA|NA|NA|3930|7860|55932.3913043478
"010479568001"|0|1|1|1|0|0|0|1|1|1|0|0|1|0|0|34|11|12|291800|0|1800|1800|NA|7200|7200|24316.6666666667
"010510309011"|0|1|0|0|0|0|0|1|1|1|1|0|1|0|0|68|20|110|3231028|0|NA|NA|NA|4716|4716|29372.9818181818
"010550016003"|0|1|0|1|0|0|0|1|1|1|1|0|0|1|0|193|79|266|16029336|0|NA|NA|3600|3930|7860|60260.6616541353
"010690415003"|0|1|0|0|0|0|0|1|1|0|0|1|1|0|0|0|0|0|0|0|NA|NA|NA|NA|NA|NA
"010690416001"|0|0|1|0|0|1|0|1|1|1|0|0|1|0|0|0|0|0|0|0|NA|NA|NA|NA|NA|NA
"010719511003"|0|1|0|0|0|0|0|1|1|1|1|0|0|1|0|72|32|112|6958574|0|NA|NA|NA|3930|7860|62130.125
"010730027001"|0|1|1|0|1|1|0|1|1|1|0|0|0|0|1|3392|700|1812|210689910|0|8100|19188|12307|8568|20400|116274.784768212
"010730030011"|0|1|0|0|0|0|0|1|1|1|0|0|0|1|0|193|91|202|12424364|0|NA|NA|12402|16993|16993|61506.7524752475
"010730045001"|0|1|1|0|1|1|0|1|1|1|0|0|0|0|1|3392|700|1812|210689910|0|8100|19188|12307|8568|20400|116274.784768212
"010730051043"|0|1|1|0|0|0|0|1|1|1|0|0|1|0|0|16|5|34|2478912|0|10800|10800|NA|13320|13320|72909.1764705882
"010730102002"|0|1|0|0|0|0|0|1|1|0|0|1|1|0|0|0|0|0|0|0|NA|NA|NA|NA|NA|NA
"010730103022"|0|1|0|0|0|0|0|1|1|0|0|1|1|0|0|0|0|0|0|0|NA|NA|NA|NA|NA|NA
"010730106022"|0|1|0|1|0|0|0|1|1|1|0|0|0|1|0|177|85|154|7785608|0|NA|NA|7348|11164|11164|50555.8961038961
"010730106025"|0|1|0|1|0|0|0|1|1|1|0|0|0|1|0|177|85|154|7785608|0|NA|NA|7348|11164|11164|50555.8961038961
"010730107041"|0|1|1|0|0|0|0|1|1|1|0|0|0|1|0|606|309|736|66788134|0|17754|17754|10980|32000|32000|90744.7472826087
"010730107042"|0|1|1|0|0|0|0|1|1|1|0|0|0|1|0|606|309|736|66788134|0|17754|17754|10980|32000|32000|90744.7472826087
"010730112091"|0|1|0|0|0|0|0|1|1|1|1|0|0|1|0|204|89|294|17894250|0|NA|NA|NA|3930|7860|60864.7959183673
"010730117032"|0|1|0|0|0|0|0|1|1|0|0|1|1|0|0|0|0|0|0|0|NA|NA|NA|NA|NA|NA
"010730117034"|0|1|0|0|0|0|0|1|1|0|0|1|1|0|0|0|0|0|0|0|NA|NA|NA|NA|NA|NA
"010730128031"|0|1|1|0|0|0|0|1|1|1|0|0|0|1|0|28|0|4|273930|0|14940|14940|NA|13320|13320|68482.5
"010730128032"|0|1|1|0|0|0|0|1|1|1|0|0|0|1|0|28|0|4|273930|0|14940|14940|NA|13320|13320|68482.5
