"fips"|"regular_pub"|"alt_pub"|"special_pub"|"votech_pub"|"nat_lunch_participant"|"nat_lunch_CEOprov_eligible"|"pub_prek"|"pub_total_students"|"pub_fte_teachers"|"regular_pri"|"alt_pri"|"special_pri"|"votech_pri"|"other_private_edu"|"private_school"|"religious"|"pri_prek"|"pri_total_students"|"pri_fte_teachers"
"010010202001"|1|0|0|0|1|0|0|1042|0|0|0|0|0|0|0|0|0|0|0
"010010202002"|1|0|0|0|1|0|1|606|33|0|0|0|0|2|2|2|2|35|4.1
"010010203001"|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|6|1
"010010203002"|0|0|0|0|0|0|0|0|0|1|0|0|0|0|1|1|0|25|1
"010010205011"|1|0|1|0|2|0|0|1029|0|0|0|0|0|0|0|0|0|0|0
"010010207001"|2|1|0|0|3|0|0|1236|62|0|0|0|0|0|0|0|0|0|0
"010010207002"|1|0|0|0|1|0|1|489|26|0|0|0|0|0|1|0|1|59|7
"010010208013"|0|0|0|0|0|0|0|0|0|1|0|0|0|0|1|0|1|255|22.9
"010010208041"|1|0|0|1|2|0|0|1867|105|0|0|0|0|0|0|0|0|0|0
"010010209011"|1|0|0|0|1|0|0|454|22|0|0|0|0|0|0|0|0|0|0
"010010209012"|2|0|0|0|2|0|1|1493|76|0|0|0|0|0|0|0|0|0|0
"010010210003"|1|0|0|0|1|0|0|559|35|0|0|0|0|0|0|0|0|0|0
"010010211004"|1|0|0|0|1|0|1|233|14|0|0|0|0|0|0|0|0|0|0
"01003"|0|0|0|0|0|0|0|0|0|4|0|0|0|2|7|5|4|1456|118.9
"010030102001"|1|0|0|0|1|0|1|578|29|0|0|0|0|0|0|0|0|0|0
"010030103002"|1|0|0|0|1|0|1|211|13.3|0|0|0|0|0|0|0|0|0|0
"010030103003"|1|0|0|0|1|0|0|1013|50.5|0|0|0|0|0|0|0|0|0|0
"010030103005"|0|0|0|1|1|0|0|0|7.5|0|0|0|0|0|0|0|0|0|0
"010030104003"|2|0|0|0|2|0|2|632|41.6|0|0|0|0|0|0|0|0|0|0
"010030105002"|1|0|0|0|1|0|0|443|27|0|0|0|0|0|0|0|0|0|0
"010030105004"|1|0|0|0|1|0|1|756|47.8|0|0|0|0|0|0|0|0|0|0
"010030107072"|1|0|0|0|1|0|1|672|38.7|0|0|0|0|0|0|0|0|0|0
"010030107082"|3|0|0|0|3|0|1|3119|161.2|0|0|0|0|0|0|0|0|0|0
"010030107092"|2|0|0|0|2|0|0|1984|107.8|0|0|0|0|0|0|0|0|0|0
"010030107093"|1|0|0|0|1|0|1|909|55.9|0|0|0|0|0|0|0|0|0|0
"010030107102"|2|0|0|0|2|0|1|1754|92.7|0|0|0|0|0|0|0|0|0|0
"010030108001"|1|0|0|0|1|0|0|424|23.7|0|0|0|0|0|0|0|0|0|0
"010030108002"|1|0|0|0|1|0|1|656|43.3|0|0|0|0|0|0|0|0|0|0
"010030108003"|1|0|0|0|1|0|0|310|21|0|0|0|0|0|0|0|0|0|0
