Table 1. State Tax Collections Detailed Table: US and States: 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Dollar amounts are in thousands of dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, 2022 Annual Survey of State Government Tax Collections.  Data users who create their own estimates using data from this report should cite the U.S. Census Bureau as the source of the original data only.  The data in this table are based on information from public records and contain no confidential data.  For more information, see (https://www.census.gov/programs-surveys/stc.html).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax Type,Item,United States,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,DC,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Total Taxes,T00,1482472661,16335547,2941280,24173733,12768129,282894652,22089402,22774523,6310891,10206741,59251311,33801938,10279504,7710289,63585838,25691130,12908955,12592576,16546544,14484028,6462166,29361278,43083974,38545971,34911881,10182769,16913231,4638060,7475982,13974437,3510760,52771929,12290409,132147203,38605027,5350784,37388627,12996489,18660826,53700114,4833177,16150255,2475394,22780221,81654478,13491108,4416004,37427347,36071826,7049102,23363814,2441007
Property taxes,T01,24494282,495753,125219,1254846,1318147,2986154,X,X,X,2897418,0,799564,X,X,68795,15898,2110,841790,725415,94860,45023,930810,12996,2535211,773877,29025,39591,359844,122,1399442,406541,5068,116584,X,X,5322,X,X,22884,39729,4135,86957,X,X,X,X,1235599,54712,4399803,7908,88838,268292
Sales and gross receipts taxes,TA1,625346267,7540587,270644,13380245,6216131,71677492,7856911,8327840,644552,2175756,47015449,11405066,5647969,3594947,25814374,15081598,5807099,5539663,7718476,7741107,2992389,12139837,11405267,17017985,12092155,6244106,6473966,867006,3285152,10656850,956510,19740884,4366174,30738471,16473702,1586316,24014162,5376013,3955161,25727120,2361483,7087474,2067055,16682886,67005758,5257859,1391177,12931327,26739775,3201145,9877449,1177747
ÿÿÿÿ General sales and gross receipts,T09,433039802,4329546,X,11448991,4587956,52228035,4286196,5193413,X,1695175,37841294,8320361,4268067,2904133,15289031,10388976,4235827,4269472,5162018,4748279,2171258,6638205,8716276,12204862,7287411,4770468,4553244,X,2635775,7653725,X,14178031,3470245,17607827,11039816,1074703,15640329,3546080,1216538,14760853,1499910,4876547,1524337,12887107,48876737,4280780,545564,7097323,21477182,1655483,6978336,978080
ÿÿÿÿ Selective sales and gross receipts taxes,TA2,192306465,3211041,270644,1931254,1628175,19449457,3570715,3134427,644552,480581,9174155,3084705,1379902,690814,10525343,4692622,1571272,1270191,2556458,2992828,821131,5501632,2688991,4813123,4804744,1473638,1920722,867006,649377,3003125,956510,5562853,895929,13130644,5433886,511613,8373833,1829933,2738623,10966267,861573,2210927,542718,3795779,18129021,977079,845613,5834004,5262593,1545662,2899113,199667
ÿÿÿÿ ÿÿÿÿ Alcoholic beverages,T10,8208404,271442,42032,88925,75051,432629,55555,71123,30911,6919,359022,228617,53981,10557,320000,53718,22218,163962,186487,79331,18464,36930,97643,219449,105074,42938,47193,48267,34574,51794,13100,175890,21719,303926,561333,9800,120832,171393,19711,458047,23324,222505,21322,292498,1655325,18394,12064,274380,481287,20775,73769,2204
ÿÿÿÿ ÿÿÿÿ Amusements,T11,10695797,0,6805,8198,85468,X,153595,160237,X,17,178210,X,X,X,1258697,722972,373500,291,136,760972,68073,1194074,301510,285629,201832,169119,390854,123282,7613,1356309,24323,386996,69276,1452,1,23928,334176,30878,12427,1758352,20385,53981,12323,46079,27518,X,X,37153,4432,39214,108,5402
ÿÿÿÿ ÿÿÿÿ Insurance premiums,T12,28783173,513226,68590,732224,345234,3319048,338355,204701,146051,148438,1571412,482092,201859,137183,491053,257529,152546,466396,179015,1080293,136120,791320,587997,398371,718431,383652,465920,153056,78815,518019,136733,747723,235866,2230150,1003553,75216,675158,349723,162522,913085,159708,289114,97571,1223183,3234081,189609,68799,683923,823878,135847,247174,33611
ÿÿÿÿ ÿÿÿÿ Motor fuels,T13,54811385,949982,45078,792145,606201,8638712,665944,468035,134474,28290,3111445,1602054,81845,412051,2527365,1658104,701213,466589,728190,650966,246951,1113264,722788,1416157,900563,449230,803261,292452,384474,377553,180010,414269,266949,1529389,2214143,179821,2710980,600189,600717,3180204,138906,944249,201021,1274055,3783904,581850,121774,1596148,1598550,419593,1179935,119353
ÿÿÿÿ ÿÿÿÿ Pari-mutuels,T14,176649,5221,X,186,1858,18244,373,5708,62,X,12311,X,X,1447,7668,1696,3947,X,47733,5727,1911,1124,1080,2924,1906,184,X,169,175,3,497,X,1184,13906,X,1579,3987,1105,3156,8690,515,X,113,X,5059,X,X,1543,1285,2937,0,9436
