Table 1. State Tax Collections Detailed Table: US and States: 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Dollar amounts are in thousands of dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, 2022 Annual Survey of State Government Tax Collections.  Data users who create their own estimates using data from this report should cite the U.S. Census Bureau as the source of the original data only.  The data in this table are based on information from public records and contain no confidential data.  For more information, see (https://www.census.gov/programs-surveys/stc.html).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax Type,Item,United States,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,DC,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
ÿÿÿÿ ÿÿÿÿ Public utilities,T15,12731197,702352,4291,22149,X,741713,X,246437,43826,176078,1799972,0,122068,1619,1257528,218703,71453,349,77310,11299,21784,141835,0,42928,87276,1786,X,39067,59836,49872,29079,949949,35695,798591,124633,35122,1017791,83104,22101,1026909,90447,29128,4024,6506,748572,61486,9705,491211,725502,111101,384026,4984
ÿÿÿÿ ÿÿÿÿ Tobacco products,T16,18404760,156313,48924,287427,223936,1853535,352438,294649,115332,22465,1048913,238574,91658,45499,841366,387364,190402,119585,374873,258537,141941,479132,390686,805030,610055,136113,96111,74249,52147,179824,182626,566185,101968,952038,295188,24677,885881,441544,459571,1223160,149746,126620,54385,228231,1210796,109658,75991,278758,353075,165066,580949,21569
ÿÿÿÿ ÿÿÿÿ Other selective sales and gross receipts,T19,58495100,612505,54924,X,290427,4445576,2004455,1683537,173896,98374,1092870,533368,828491,82458,3821666,1392536,55993,53019,962714,145703,185887,1743953,587287,1642635,2179607,290616,117383,136464,31743,469751,390142,2321841,163272,7301192,1235035,161470,2625028,151997,1458418,2397820,278542,545330,151959,725227,7463766,16082,557280,2470888,1274584,651129,433152,3108
License taxes,TA3,66521659,596971,100388,637701,447288,13389324,731202,383935,2437040,224158,2259620,611614,310983,471370,3544661,871383,1135112,436528,551706,638392,321991,1008665,1299106,2240237,1474333,609768,689427,499840,204270,752261,545704,2187730,426795,1897723,2664469,198784,2065666,982096,1046448,2935224,180309,678982,337471,2529719,3703203,387595,143636,1090979,1909969,176536,1336599,216748
ÿÿÿÿ Alcoholic beverages,T20,849233,4102,1397,11769,7146,88240,6263,9924,2566,9522,10677,4717,X,2279,20395,32131,22017,3951,8027,0,7465,1174,4313,18643,3336,1425,6126,5571,1344,X,5613,4515,0,80256,31434,410,49013,158,5637,30134,1412,13717,1537,1842,104786,0,491,16474,203169,1763,2352,X
ÿÿÿÿ Amusements,T21,462554,X,0,6,1058,20273,978,161,434,0,3460,0,X,179,28868,8140,28780,7704,300,X,901,1964,13153,X,8213,18549,22,4628,554,95820,328,54590,2175,0,100,2533,39699,1773,1448,37058,265,6344,5473,308,4100,X,21,37206,20573,3215,68,1132
ÿÿÿÿ Corporations in general,T22,8776991,207653,X,20463,42395,91871,24014,36591,2210216,41975,278526,55673,2415,6128,342048,11747,79982,14870,121266,389642,13011,140820,28332,34998,16259,220789,0,7694,14009,92114,84348,719362,2212,385,1012972,X,234925,62716,42949,2984,8873,163072,8059,1535207,164698,423,3292,78259,54390,1079,29726,21559
ÿÿÿÿ Hunting and fishing,T23,1908838,26159,38378,48015,30397,115196,119501,5333,4766,89,19374,28735,878,56329,43522,21961,35356,34658,31953,34505,19167,18175,6330,66902,103313,3186,40878,77246,19498,13137,12726,14272,29415,57097,43796,18191,45413,26106,59255,83635,2176,23734,37940,55455,116896,33955,8061,26942,43606,29,64890,42311
ÿÿÿÿ Motor vehicles,T24,32308807,239930,29432,319215,189242,7588888,436209,248460,59629,31553,1510808,413341,219306,229108,2268984,356767,770930,243464,224860,80086,121049,503958,452807,1498851,926172,179589,317073,195703,118247,223192,116455,662194,223076,1419966,987546,116140,508070,863147,624418,1250825,32582,295330,93882,398576,2262741,254894,74974,471211,834226,5059,715639,101003
ÿÿÿÿ Motor vehicle operators,T25,3027350,35999,X,37560,19158,384578,47673,59890,5902,5033,182189,23174,369,10526,191480,270819,17039,29748,28500,11775,13598,33538,84265,66444,51328,17527,15922,9732,11357,26613,15201,58724,13550,178338,118066,3905,92224,26434,30366,119658,8554,4723,6145,35625,180532,30838,13796,78868,128448,146854,39527,5238
ÿÿÿÿ Public utilities,T27,1158761,12792,8103,30,8940,569181,16545,578,700,X,38632,X,15153,64442,23302,X,11841,6522,0,7406,X,X,X,32696,7297,6579,18442,5,X,X,20912,20961,1856,16103,18969,2,2801,5,13899,78104,244,14713,X,6099,22507,X,X,716,23093,391,68200,X
ÿÿÿÿ Occupation and businesses,T28,15964213,70335,14095,198323,147819,4500750,79989,18334,140463,82641,202755,85652,57933,97555,591624,62918,162295,92717,134556,109448,128544,307187,418163,292138,273841,98567,196400,183629,38055,292334,250192,651094,52214,143889,403756,57603,957708,909,259691,1311567,86715,140838,151748,486472,682198,60064,32898,313906,426738,13630,355818,45505
ÿÿÿÿ Other license taxes,T29,2064912,1,8983,2320,1133,30347,30,4664,12364,53345,13199,322,14929,4824,34438,106900,6872,2894,2244,5530,18256,1849,291743,229565,84574,63557,94564,15632,1206,9051,39929,2018,102297,1689,47830,0,135813,848,8785,21259,39488,16511,32687,10135,164745,7421,10103,67397,175726,4516,60379,0
Income taxes,TA4,708270551,7563326,413175,8693348,4544583,192195516,13194479,13507239,2903928,4108314,3780770,20796528,4074729,3635505,33394322,9720743,5834787,5704392,7349096,5518637,3006721,14370564,28955166,16163098,19860533,3248506,9694630,2678206,3954644,X,1366620,29290446,2662951,94422571,19303124,702126,11247715,4969501,13261860,22389126,2227453,8059011,61818,3008777,X,7747848,1508701,22384176,0,2869144,11922098,X
ÿÿÿÿ Individual income,T40,550678106,5468228,X,7529879,3717880,146190014,11685999,9861264,2405043,3116991,X,18286845,3759856,2594552,22364816,8181200,4974623,4836130,6180726,4478708,2590903,11267206,22098143,12879815,14589739,2537787,8942661,2387008,3239491,X,153620,20630297,2172165,70737342,17672005,472925,11246994,4157808,11772886,17381999,1939003,6854835,X,9480,X,6812367,1268299,19732749,0,2502828,8994997,X
ÿÿÿÿ Corporation net income,T41,157592445,2095098,413175,1163469,826703,46005502,1508480,3645975,498885,991323,3780770,2509683,314873,1040953,11029506,1539543,860164,868262,1168370,1039929,415818,3103358,6857023,3283283,5270794,710719,751969,291198,715153,X,1213000,8660149,490786,23685229,1631119,229201,721,811693,1488974,5007127,288450,1204176,61818,2999297,X,935481,240402,2651427,X,366316,2927101,X
Other taxes,TA5,57839902,138910,2031854,207593,241980,2646166,306810,555509,325371,801095,6195472,189166,245823,8467,763686,1508,129847,70203,201851,491032,96042,911402,1411439,589440,710983,51364,15617,233164,31794,1165884,235385,1547801,4717905,5088438,163732,2858236,61084,1668879,374473,2608915,59797,237831,9050,558839,10945517,97806,136891,966153,3022279,794369,138830,778220
ÿÿÿÿ Death and gift,T50,6787073,X,X,0,0,64,0,220117,4,48202,X,0,57405,X,641815,25,91826,X,82953,0,34183,265493,868444,6,212421,0,49,X,X,X,0,599428,X,1386153,213,X,58,1,350592,1502404,39302,X,0,640,X,X,13997,29,371246,0,3,0
ÿÿÿÿ Documentary and stock transfer,T51,18886643,78057,X,X,87752,X,X,334996,324273,689983,6166778,0,188418,X,121871,X,38021,X,9879,X,61859,357373,542995,542386,393946,X,15496,X,27151,191497,235385,948373,X,1928179,161795,X,0,37756,3859,1042331,20495,237831,195,522660,X,X,113493,853896,2468426,17856,121382,X
ÿÿÿÿ Severance,T53,25785215,60853,2031854,37355,84054,128600,306810,0,X,X,28694,X,X,5828,0,1483,X,70203,109019,491032,X,X,X,46951,104616,51364,0,227029,4643,218715,X,X,4670918,X,1724,2858236,61026,1529945,16484,X,X,X,8035,826,10945517,97393,X,3831,41103,768794,1793,770487
"ÿÿÿÿ Other taxes, NEC",T99,6380971,0,X,170238,70174,2517502,X,396,1094,62910,0,189166,0,2639,0,X,0,X,0,X,0,288536,0,97,X,0,72,6135,0,755672,0,0,46987,1774106,0,0,0,101177,3538,64180,0,0,820,34713,X,413,9401,108397,141504,7719,15652,7733
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X - Not available.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
