"UACE10","GEOID10","NAME10","state","ALAND10","agency_voms","mode_voms","total_facilities","per_facilities_prior1980","per_facilities_prior2000","bin_bus","bin_demandresponse","bin_light_commuterail","bin_ferry","bin_directly_operated","bin_purchased_transportation","fare_revenues_earned","total_operating_expenses","cost_per_hour","train_miles","train_hours","passengers_per_hour","passenger_miles"
"00037","00037","Abbeville, LA","NC",29057340,19,16,2,0,50,2,2,0,0,4,0,373149,2429520,127.0981,0,0,9.1452,0
"00280","00280","Abilene, TX","TX",141784088,30,16,2,0,100,1,2,0,0,2,1,416438,3894093,146.7593,0,0,15.66,0
"00631","00631","Aguadilla--Isabela--San Sebastián, PR","PR",619748514,9,7,1,0,100,2,2,0,0,4,0,0,251110,103.1408,0,0,7.9097,0
"00766","00766","Akron, OH","OH",842766022,212,117,10,10,20,2,3,0,0,4,1,7160953,60020611,472.8744,0,0,38.6561,29105779
"00901","00901","Albany, GA","GA",183526663,18,13,4,50,100,1,1,0,0,2,0,793385,4235167,168.7229,0,0,22.7384,4110433
"00955","00955","Albany, OR","OR",61981846,13,9,2,50,50,1,1,0,0,2,0,80960,2074534,207.9237,0,0,17.6087,0
"00970","00970","Albany--Schenectady, NY","NY",766050241,288,204,6,16.6666666666667,66.6666666666667,2,2,0,0,2,3,20882332,86274038,567.9427,0,0,51.4681,63127950
"01171","01171","Albuquerque, NM","NM",650688230,193,131,22,23.5294117647059,35.2941176470588,4,2,1,0,5,2,5497429,86841181,1345.8311,458841,12631,60.252,71958193
"01279","01279","Alexandria, LA","LA",169619374,10,8,3,0,100,1,1,0,0,2,0,444754,3174600,144.9515,0,0,20.0445,0
"01495","01495","Allentown, PA--NJ","PA",896942295,171,94,20,20,20,3,2,0,0,1,4,5675109,39070982,483.1583,0,0,28.4343,27708775
"01792","01792","Altoona, PA","PA",96876604,34,21,2,50,50,1,2,0,0,2,1,752543,4941354,492.0395,0,0,20.1369,1692193
"01927","01927","Amarillo, TX","TX",210765732,24,16,3,33.3333333333333,66.6666666666667,1,1,0,0,2,0,171038,5488464,151.7554,0,0,7.725,0
"02062","02062","Ames, IA","IA",59376178,74,69,12,0,66.6666666666667,2,1,0,0,1,2,4672236,11115868,239.064,0,0,146.5823,9894266
"02305","02305","Anchorage, AK","AK",220119979,177,82,101,35.6435643564356,100,2,2,0,0,2,3,31297012,83885638,1524.7904,191889,7390,42.6431,49049207
"02386","02386","Anderson, IN","IN",170929099,18,10,2,100,100,1,1,0,0,2,0,136940,2693139,164.5192,0,0,11.6393,0
"02602","02602","Ann Arbor, MI","MI",413392385,273,118,3,100,100,4,2,0,0,3,4,7553285,51653461,616.3351,0,0,115.9315,51165661
"02629","02629","Anniston--Oxford, AL","AL",224712858,29,25,1,0,0,1,1,0,0,0,2,147714,2194063,90.2632,0,0,13.1515,0
"02683","02683","Antioch, CA","CA",209026457,91,52,3,0,0,1,1,0,0,0,3,2257972,21608634,236.7525,0,0,18.8163,11275164
"02764","02764","Appleton, WI","WI",268537555,74,43,8,0,100,2,1,0,0,1,2,1485205,8070990,193.5503,0,0,22.7513,5814235
"03034","03034","Arecibo, PR","PR",217696324,5,3,1,0,0,1,1,0,0,2,0,0,240473,80.6101,0,0,3.2817,0
"03358","03358","Asheville, NC","NC",686038200,34,31,2,50,100,3,3,0,0,1,5,1398740,12941685,468.6134,0,0,45.284,7420006
"03763","03763","Athens-Clarke County, GA","GA",254843272,63,55,3,33.3333333333333,100,2,2,0,0,4,0,9493501,13051688,276.0243,0,0,79.942,11949207
