"UACE10","GEOID10","NAME10","state","ALAND10","agency_voms","mode_voms","total_facilities","per_facilities_prior1980","per_facilities_prior2000","bin_bus","bin_demandresponse","bin_light_commuterail","bin_ferry","bin_directly_operated","bin_purchased_transportation","fare_revenues_earned","total_operating_expenses","cost_per_hour","train_miles","train_hours","passengers_per_hour","passenger_miles"
"02305","02305","Anchorage, AK","AK",220119979,143,70,96,35.4166666666667,87.5,1,2,0,0,2,2,22913489,76797205,1640.8791,116469,4719,23.602,34635915
"02386","02386","Anderson, IN","IN",170929099,12,7,2,100,100,1,1,0,0,2,0,85750,2729396,175.723,0,0,7.4127,0
"02602","02602","Ann Arbor, MI","MI",413392385,227,87,3,100,100,3,4,0,0,3,3,2340017,47109697,738.6089,0,0,30.0668,14364385
"02629","02629","Anniston--Oxford, AL","AL",224712858,28,24,1,0,0,1,1,0,0,0,2,56405,1992042,102.1389,0,0,8.0832,0
"02683","02683","Antioch, CA","CA",209026457,84,50,3,0,0,1,2,0,0,0,2,717968,23210740,315.4031,0,0,12.2165,3938352
"02764","02764","Appleton, WI","WI",268537555,61,39,8,0,100,2,1,0,0,1,2,991230,7590446,191.2523,0,0,17.9862,3433289
"03034","03034","Arecibo, PR","PR",217696324,13,7,1,0,0,2,2,0,0,4,0,0,440380,239.7988,0,0,4.6132,0
"03358","03358","Asheville, NC","NC",686038200,27,24,2,50,100,4,3,0,0,2,5,700614,15416231,648.8574,0,0,27.9346,4610942
"03763","03763","Athens-Clarke County, GA","GA",254843272,54,54,3,33.3333333333333,100,2,2,0,0,4,0,44874,12234141,357.0536,0,0,25.0274,3515079
"03817","03817","Atlanta, GA","GA",6853090913,842,442,111,100,100,9,13,2,0,12,12,56382749,587719416,3495.0593,3110124,129068,115.7061,283600538
"04033","04033","Auburn, AL","AL",129268656,24,20,0,0,0,1,1,0,0,2,0,0,1850592,93.7121,0,0,7.2823,0
"04222","04222","Augusta-Richmond County, GA--SC","GA",672475992,19,12,2,0,50,2,2,0,0,0,4,215384,6761278,319.1829,0,0,18.125,1915498
