"UACE10","GEOID10","NAME10","state","report_year","uza_name","ALAND10","agency_voms","mode_voms","total_facilities","per_facilities_prior1980","per_facilities_prior2000","bin_bus","bin_demandresponse","bin_light_commuterail","bin_ferry","bin_directly_operated","bin_purchased_transportation","fare_revenues_earned","total_operating_expenses","cost_per_hour","train_miles","train_hours","passengers_per_hour","passenger_miles"
"11782","11782","Burlington, WI","CO",2022,"",33794717,1,1,0,0,0,6,6,0,0,4,0,531406,3670687,228.9149,0,0,23.7826,0
"11782","11782","Burlington, WI","IA",2022,"",33794717,25,25,0,0,0,6,6,0,0,4,0,531406,3670687,228.9149,0,0,23.7826,0
"11782","11782","Burlington, WI","KS",2022,"",33794717,8,8,0,0,0,6,6,0,0,4,0,531406,3670687,228.9149,0,0,23.7826,0
"11971","11971","Butler, MO","GA",2022,"",5541851,3,3,0,0,0,1,2,0,0,1,1,333714,831923,161.7775,0,0,4.4138,0
"11971","11971","Butler, MO","PA",2022,"",5541851,14,14,0,0,0,1,2,0,0,1,1,333714,831923,161.7775,0,0,4.4138,0
"11998","11998","Butler, PA","GA",2022,"",85107900,3,3,0,0,0,1,2,0,0,1,1,333714,831923,161.7775,0,0,4.4138,0
"11998","11998","Butler, PA","PA",2022,"",85107900,14,14,0,0,0,1,2,0,0,1,1,333714,831923,161.7775,0,0,4.4138,0
"12052","12052","Butte-Silver Bow, MT","MT",2022,"",42753207,11,6,2,0,0,2,3,0,0,3,0,0,1399023,181.3609,0,0,18.9735,0
"12160","12160","Cadillac, MI","MI",2022,"",22604252,27,27,1,0,0,0,1,0,0,1,0,107426,3280205,44.5069,0,0,1.7737,0
"12565","12565","California City, CA","CA",2022,"",19560335,2,2,2,100,100,1,2,0,0,1,0,914,156027,113.7223,0,0,8.0671,0
"12754","12754","Camarillo, CA","CA",2022,"Camarillo, CA",56939799,18,16,0,0,0,1,1,0,0,0,2,121276,2713045,271.851,0,0,7.9083,0
"12808","12808","Cambridge, MD","IL",2022,"",22411492,16,16,0,0,0,2,3,0,0,3,0,214822,1707548,134.7235,0,0,9.4911,0
"12808","12808","Cambridge, MD","MD",2022,"",22411492,28,18,8,0,100,2,3,0,0,3,0,214822,1707548,134.7235,0,0,9.4911,0
"12835","12835","Cambridge, MN","IL",2022,"",25568550,16,16,0,0,0,2,3,0,0,3,0,214822,1707548,134.7235,0,0,9.4911,0
"12835","12835","Cambridge, MN","MD",2022,"",25568550,28,18,8,0,100,2,3,0,0,3,0,214822,1707548,134.7235,0,0,9.4911,0
"12862","12862","Cambridge, OH","IL",2022,"",25587801,16,16,0,0,0,2,3,0,0,3,0,214822,1707548,134.7235,0,0,9.4911,0
"12862","12862","Cambridge, OH","MD",2022,"",25587801,28,18,8,0,100,2,3,0,0,3,0,214822,1707548,134.7235,0,0,9.4911,0
"12889","12889","Cambridge City, IN","IL",2022,"",7919882,16,16,0,0,0,2,3,0,0,3,0,214822,1707548,134.7235,0,0,9.4911,0
"12889","12889","Cambridge City, IN","MD",2022,"",7919882,28,18,8,0,100,2,3,0,0,3,0,214822,1707548,134.7235,0,0,9.4911,0
"12916","12916","Camden, AR","AL",2022,"",30703129,14,14,2,0,0,0,1,0,0,1,0,28703,993616,77.9062,0,0,4.4181,0
"12970","12970","Camden, SC","AL",2022,"",40814858,14,14,2,0,0,0,1,0,0,1,0,28703,993616,77.9062,0,0,4.4181,0
"13132","13132","Camilla, GA","GA",2022,"",13881086,64,64,0,0,0,0,1,0,0,0,1,67373,5563582,53.2675,0,0,1.6934,0
"13294","13294","Canton, IL","MS",2022,"",16651884,11,11,4,0,0,2,2,0,0,1,1,131551,3603010,141.1552,0,0,4.1651,0
"13294","13294","Canton, IL","NY",2022,"",16651884,24,24,0,0,0,2,2,0,0,1,1,131551,3603010,141.1552,0,0,4.1651,0
"13321","13321","Canton, MS","MS",2022,"",27648965,11,11,4,0,0,2,2,0,0,1,1,131551,3603010,141.1552,0,0,4.1651,0
"13321","13321","Canton, MS","NY",2022,"",27648965,24,24,0,0,0,2,2,0,0,1,1,131551,3603010,141.1552,0,0,4.1651,0
"13348","13348","Canton, NY","MS",2022,"",8436264,11,11,4,0,0,2,2,0,0,1,1,131551,3603010,141.1552,0,0,4.1651,0
"13348","13348","Canton, NY","NY",2022,"",8436264,24,24,0,0,0,2,2,0,0,1,1,131551,3603010,141.1552,0,0,4.1651,0
"13375","13375","Canton, OH","MS",2022,"",430713060,11,11,4,0,0,3,3,0,0,3,1,1325374,31388260,420.6635,0,0,14.0004,9202645
"13375","13375","Canton, OH","NY",2022,"",430713060,24,24,0,0,0,3,3,0,0,3,1,1325374,31388260,420.6635,0,0,14.0004,9202645
"13375","13375","Canton, OH","OH",2022,"Canton, OH",430713060,66,36,5,0,0,3,3,0,0,3,1,1325374,31388260,420.6635,0,0,14.0004,9202645
"13510","13510","Cape Coral, FL","FL",2022,"Cape Coral, FL",855010586,91,46,5,0,20,1,2,0,0,2,1,2776957,28344354,198.6846,0,0,32.5319,12768415
"13537","13537","Cape Girardeau, MO--IL","KS",2022,"",90721367,12,6,2,0,0,4,4,0,0,6,0,658539,4040281,231.6253,0,0,27.0926,0
"13537","13537","Cape Girardeau, MO--IL","MO",2022,"Cape Girardeau, MO--IL",90721367,30,24,2,0,50,4,4,0,0,6,0,658539,4040281,231.6253,0,0,27.0926,0
"13699","13699","Carlinville, IL","IL",2022,"",7351655,45,45,0,0,0,0,1,0,0,1,0,53626,1226137,35.147,0,0,1.7819,0
"13807","13807","Carlsbad, NM","NM",2022,"",56866971,14,11,1,0,0,2,2,0,0,2,0,33823,790644,84.143,0,0,2.5069,0
"13915","13915","Caro, MI","MI",2022,"",9199077,15,15,0,0,0,0,1,0,0,1,0,87001,1266056,51.4239,0,0,1.3613,0
"13996","13996","Carroll, IA","IA",2022,"",11968899,45,45,15,0,33.3333333333333,0,1,0,0,1,0,107845,2245958,102.5926,0,0,5.0904,0
"14023","14023","Carrollton, GA","AL",2022,"",116703752,5,5,0,0,0,0,4,0,0,4,0,195468,3707661,328.8886,0,0,9.062,0
"14023","14023","Carrollton, GA","IA",2022,"",116703752,45,45,15,0,33.3333333333333,0,4,0,0,4,0,195468,3707661,328.8886,0,0,9.062,0
"14023","14023","Carrollton, GA","KY",2022,"",116703752,3,3,0,0,0,0,4,0,0,4,0,195468,3707661,328.8886,0,0,9.062,0
"14023","14023","Carrollton, GA","OH",2022,"",116703752,12,12,4,0,0,0,4,0,0,4,0,195468,3707661,328.8886,0,0,9.062,0
"14050","14050","Carrollton, KY","AL",2022,"",9374937,5,5,0,0,0,0,4,0,0,4,0,195468,3707661,328.8886,0,0,9.062,0
"14050","14050","Carrollton, KY","IA",2022,"",9374937,45,45,15,0,33.3333333333333,0,4,0,0,4,0,195468,3707661,328.8886,0,0,9.062,0
"14050","14050","Carrollton, KY","KY",2022,"",9374937,3,3,0,0,0,0,4,0,0,4,0,195468,3707661,328.8886,0,0,9.062,0
"14050","14050","Carrollton, KY","OH",2022,"",9374937,12,12,4,0,0,0,4,0,0,4,0,195468,3707661,328.8886,0,0,9.062,0
"14077","14077","Carrollton, MO","AL",2022,"",5619031,5,5,0,0,0,0,4,0,0,4,0,195468,3707661,328.8886,0,0,9.062,0
"14077","14077","Carrollton, MO","IA",2022,"",5619031,45,45,15,0,33.3333333333333,0,4,0,0,4,0,195468,3707661,328.8886,0,0,9.062,0
"14077","14077","Carrollton, MO","KY",2022,"",5619031,3,3,0,0,0,0,4,0,0,4,0,195468,3707661,328.8886,0,0,9.062,0
"14077","14077","Carrollton, MO","OH",2022,"",5619031,12,12,4,0,0,0,4,0,0,4,0,195468,3707661,328.8886,0,0,9.062,0
"14104","14104","Carrollton, OH","AL",2022,"",6184407,5,5,0,0,0,0,4,0,0,4,0,195468,3707661,328.8886,0,0,9.062,0
"14104","14104","Carrollton, OH","IA",2022,"",6184407,45,45,15,0,33.3333333333333,0,4,0,0,4,0,195468,3707661,328.8886,0,0,9.062,0
"14104","14104","Carrollton, OH","KY",2022,"",6184407,3,3,0,0,0,0,4,0,0,4,0,195468,3707661,328.8886,0,0,9.062,0
"14104","14104","Carrollton, OH","OH",2022,"",6184407,12,12,4,0,0,0,4,0,0,4,0,195468,3707661,328.8886,0,0,9.062,0
"14158","14158","Carson City, NV","NV",2022,"Carson City, NV",59803064,10,6,2,0,0,2,2,0,0,0,2,0,1900951,187.8209,0,0,13.2647,0
"14266","14266","Carthage, MO","IL",2022,"",23559980,3,3,0,0,0,0,2,0,0,2,0,9289,334310,58.1621,0,0,2.3473,0
"14266","14266","Carthage, MO","MO",2022,"",23559980,2,2,0,0,0,0,2,0,0,2,0,9289,334310,58.1621,0,0,2.3473,0
"14347","14347","Carthage, TX","IL",2022,"",18006401,3,3,0,0,0,0,2,0,0,2,0,9289,334310,58.1621,0,0,2.3473,0
"14347","14347","Carthage, TX","MO",2022,"",18006401,2,2,0,0,0,0,2,0,0,2,0,9289,334310,58.1621,0,0,2.3473,0
"14482","14482","Casper, WY","WY",2022,"Casper, WY",78264757,22,12,0,0,0,1,1,0,0,2,0,0,2468208,144.9772,0,0,9.2973,0
"14644","14644","Catskill, NY","NY",2022,"",10381511,9,9,0,0,0,1,0,0,0,0,1,21151,912376,102.6988,0,0,1.5521,0
"14698","14698","Cedar City, UT","UT",2022,"",43503343,2,1,1,0,0,2,2,0,0,2,0,24573,224858,79.4048,0,0,5.1903,0
"14752","14752","Cedar Rapids, IA","IA",2022,"Cedar Rapids, IA",216267356,26,22,2,0,0,1,2,0,0,2,1,264802,10347265,325.6506,0,0,16.0427,3652511
"14806","14806","Cedartown, GA","GA",2022,"",22398891,1,1,0,0,0,0,1,0,0,1,0,1949,65909,44.7447,0,0,2.6986,0
"14995","14995","Central City--Greenville, KY","IL",2022,"",20114169,0,0,10,0,0,1,6,0,0,4,0,271986,3781363,214.8444,0,0,10.1605,0
"14995","14995","Central City--Greenville, KY","MI",2022,"",20114169,6,6,10,0,0,1,6,0,0,4,0,271986,3781363,214.8444,0,0,10.1605,0
"14995","14995","Central City--Greenville, KY","OH",2022,"",20114169,7,7,10,0,0,1,6,0,0,4,0,271986,3781363,214.8444,0,0,10.1605,0
"14995","14995","Central City--Greenville, KY","TX",2022,"",20114169,19,19,10,0,0,1,6,0,0,4,0,271986,3781363,214.8444,0,0,10.1605,0
"15022","15022","Centralia, IL","IL",2022,"",30590490,104,90,2,0,0,4,4,0,0,4,0,209798,15172719,530.9933,0,0,15.9432,0
"15022","15022","Centralia, IL","WA",2022,"",30590490,26,14,10,40,80,4,4,0,0,4,0,209798,15172719,530.9933,0,0,15.9432,0
"15076","15076","Centralia, WA","IL",2022,"",81798312,104,90,2,0,0,4,4,0,0,4,0,209798,15172719,530.9933,0,0,15.9432,0
"15076","15076","Centralia, WA","WA",2022,"",81798312,26,14,10,40,80,4,4,0,0,4,0,209798,15172719,530.9933,0,0,15.9432,0
