"fips"|"regular_pub"|"alt_pub"|"special_pub"|"votech_pub"|"nat_lunch_participant"|"nat_lunch_CEOprov_eligible"|"pub_prek"|"pub_total_students"|"pub_fte_teachers"|"regular_pri"|"alt_pri"|"special_pri"|"votech_pri"|"other_private_edu"|"private_school"|"religious"|"pri_prek"|"pri_total_students"|"pri_fte_teachers"
"01001"|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|10|1
"010010202001"|1|0|0|0|1|0|0|984|52.5|0|0|0|0|0|0|0|0|0|0
"010010202002"|1|0|0|0|1|0|0|600|40|0|0|0|0|2|2|2|2|19|2.5
"010010205001"|1|0|1|0|1|0|0|0|58|0|0|0|0|0|0|0|0|0|0
"010010207001"|1|0|0|0|1|0|0|439|24|0|0|0|0|0|0|0|0|0|0
"010010207002"|2|1|0|0|2|0|0|0|62|0|0|0|0|0|0|0|0|0|0
"010010208012"|0|0|0|0|0|0|0|0|0|1|0|0|0|0|1|0|1|285|21.3
"010010208021"|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"010010208022"|1|0|0|1|1|0|0|0|114|0|0|0|0|0|0|0|0|0|0
"010010209003"|1|0|0|0|1|0|0|430|25.5|0|0|0|0|0|0|0|0|0|0
"010010209004"|2|0|0|0|2|0|1|1522|84|0|0|0|0|0|0|0|0|0|0
"010010210002"|1|0|0|0|1|0|0|649|41|0|0|0|0|0|0|0|0|0|0
"010010211001"|1|0|0|0|1|0|0|294|24|0|0|0|0|0|0|0|0|0|0
"01003"|0|0|0|0|0|0|0|0|0|8|0|0|0|0|8|6|6|1557|146.5
"010030102001"|1|0|0|0|1|0|1|486|27.68|0|0|0|0|0|0|0|0|0|0
"010030103001"|0|0|0|1|0|0|0|0|8.5|0|0|0|0|0|0|0|0|0|0
"010030103002"|1|0|0|0|1|0|1|225|13|0|0|0|0|0|0|0|0|0|0
"010030103003"|1|0|0|0|1|0|0|1205|62.95|0|0|0|0|0|0|0|0|0|0
"010030104003"|2|0|0|0|2|0|2|707|40.66|0|0|0|0|0|0|0|0|0|0
"010030105002"|1|0|0|0|1|0|0|432|25.45|0|0|0|0|0|0|0|0|0|0
"010030105003"|1|0|0|0|1|0|1|486|27.68|0|0|0|0|0|0|0|0|0|0
"010030105004"|2|0|0|0|2|0|1|976|55.74|0|0|0|0|0|0|0|0|0|0
"010030107011"|2|0|0|0|2|0|1|1915|100.25|0|0|0|0|0|0|0|0|0|0
"010030107031"|1|0|0|0|1|0|0|1281|68.33|0|0|0|0|0|0|0|0|0|0
"010030107032"|4|0|0|0|4|0|2|3253|172.23|0|0|0|0|0|0|0|0|0|0
"010030107051"|3|0|0|0|3|0|0|2984|156.33|0|0|0|0|0|0|0|0|0|0
"010030108001"|1|0|0|0|1|0|0|479|27.6|0|0|0|0|0|0|0|0|0|0
"010030108002"|1|0|0|0|1|0|1|683|41.8|0|0|0|0|0|0|0|0|0|0
"010030109032"|1|0|0|0|1|0|0|677|36.5|0|0|0|0|0|0|0|0|0|0
"010030109033"|1|0|0|0|1|0|1|416|25.3|0|0|0|0|0|0|0|0|0|0
"010030109041"|1|0|0|0|1|0|1|363|20.55|0|0|0|0|0|0|0|0|0|0
"010030109043"|1|0|0|0|1|0|1|294|18.1|0|0|0|0|0|0|0|0|0|0
"010030109051"|1|0|0|0|1|0|1|443|21.85|0|0|0|0|0|0|0|0|0|0
"010030109052"|2|0|0|0|2|0|1|1761|99.85|0|0|0|0|0|0|0|0|0|0
"010030109062"|1|0|0|0|1|0|1|363|20.55|0|0|0|0|0|0|0|0|0|0
"010030109063"|1|0|0|2|1|0|1|0|71.35|0|0|0|0|0|0|0|0|0|0
"010030110002"|1|0|0|0|1|0|1|520|30.89|0|0|0|0|0|0|0|0|0|0
"010030111021"|1|0|0|0|1|0|1|670|36.65|0|0|0|0|0|0|0|0|0|0
"010030111022"|2|0|0|0|2|0|0|2487|122.84|0|0|0|0|0|0|0|0|0|0
"010030112012"|2|0|0|0|2|0|1|1930|101.9|0|0|0|0|0|0|0|0|0|0
"010030114011"|1|0|0|0|1|0|1|668|40.03|0|0|0|0|0|0|0|0|0|0
"010030114014"|1|0|0|0|1|0|1|296|17.83|0|0|0|0|0|0|0|0|0|0
"010030114051"|1|0|0|0|1|0|1|451|26.03|0|0|0|0|0|0|0|0|0|0
"010030114061"|3|0|0|0|3|0|1|2286|125.87|0|0|0|0|0|0|0|0|0|0
"010030114063"|1|0|0|0|1|0|1|451|26.03|0|0|0|0|0|0|0|0|0|0
"010030114073"|3|0|0|0|3|0|1|2286|125.87|0|0|0|0|0|0|0|0|0|0
"010030115012"|2|0|0|0|2|0|1|2038|116.14|0|0|0|0|0|0|0|0|0|0
"010030115021"|2|0|0|0|2|0|0|2341|126.29|0|0|0|0|0|0|0|0|0|0
"010030116011"|1|0|0|0|1|0|0|571|32.37|0|0|0|0|0|0|0|0|0|0
"010030116012"|1|0|0|0|1|0|1|423|27.6|1|0|0|0|0|1|1|1|136|18
"010030116014"|1|0|0|0|1|0|1|423|27.6|1|0|0|0|0|1|1|1|136|18
"01005"|0|0|0|0|0|0|0|0|0|1|0|0|0|0|1|0|1|293|22.3
"010059501003"|2|0|0|0|2|0|0|2008|80|0|0|0|0|0|0|0|0|0|0
"010059502003"|1|0|0|0|1|1|0|328|22|0|0|0|0|0|0|0|0|0|0
"010059503001"|2|0|0|0|2|2|1|519|28|0|0|0|0|0|0|0|0|0|0
"010059506001"|0|0|0|0|0|0|0|0|0|1|0|0|0|0|1|1|1|60|7.3
"010059507001"|1|0|0|0|1|0|1|1024|41|0|0|0|0|0|0|0|0|0|0
"010059508002"|1|0|0|0|1|0|0|917|30|0|0|0|0|0|0|0|0|0|0
"010059509002"|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"01007"|0|0|0|0|0|0|0|0|0|1|0|0|0|0|1|1|1|126|11
"010070100011"|3|0|0|1|3|0|1|0|67.5|0|0|0|0|0|0|0|0|0|0
"010070100012"|3|0|0|1|3|0|1|0|67.5|0|0|0|0|0|0|0|0|0|0
"010070100023"|1|1|0|0|1|0|1|0|19|0|0|0|0|0|0|0|0|0|0
"010070100032"|1|0|0|0|1|0|1|613|40|0|0|0|0|0|0|0|0|0|0
"010070100033"|1|0|0|0|1|0|1|200|11|0|0|0|0|0|0|0|0|0|0
"010070100034"|2|0|0|0|2|0|2|813|51|0|0|0|0|0|0|0|0|0|0
"010070100044"|2|0|0|0|2|0|1|1066|63|0|0|0|0|0|0|0|0|0|0
"010070100045"|1|0|0|0|1|0|0|453|23|0|0|0|0|0|0|0|0|0|0
"010070100046"|1|0|0|0|1|0|0|526|29|0|0|0|0|0|0|0|0|0|0
"01009"|0|0|0|0|0|0|0|0|0|2|0|0|0|0|2|2|2|125|22
"010090501013"|1|0|0|0|1|0|0|582|34.83|0|0|0|0|0|0|0|0|0|0
"010090501015"|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"010090501024"|3|0|0|0|2|0|0|1492|83.5|0|0|0|0|0|0|0|0|0|0
"010090502001"|2|0|1|1|2|0|1|0|50.22|0|0|0|0|0|0|0|0|0|0
"010090503002"|2|0|0|0|2|0|0|1164|68.12|0|0|0|0|0|0|0|0|0|0
"010090503003"|2|0|0|0|2|0|0|1164|68.12|0|0|0|0|0|0|0|0|0|0
"010090505001"|2|0|0|0|2|0|0|1173|68.97|0|0|0|0|0|0|0|0|0|0
"010090506023"|2|0|0|0|2|0|0|1399|81.83|0|0|0|0|0|0|0|0|0|0
"010090506025"|1|0|0|0|1|0|0|521|24|0|0|0|0|0|0|0|0|0|0
"010090507001"|2|0|0|0|2|0|0|995|57.91|0|0|0|0|0|0|0|0|0|0
"010090507003"|1|0|0|0|1|0|0|757|42.87|0|0|0|0|0|0|0|0|0|0
"01011"|0|0|0|0|0|0|0|0|0|1|0|0|0|0|1|1|1|90|6.4
"010119522001"|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"010119522002"|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"010119522003"|3|0|0|0|3|3|1|1476|86|0|0|0|0|0|0|0|0|0|0
"01013"|0|0|0|0|0|0|0|0|0|1|0|0|0|0|1|0|1|481|36.9
"010139528001"|3|0|0|0|3|0|1|1586|85|0|0|0|0|0|0|0|0|0|0
"010139529002"|1|0|0|0|1|0|0|657|35.09|0|0|0|0|0|0|0|0|0|0
"010139531001"|1|0|0|0|1|0|0|657|35.09|0|0|0|0|0|0|0|0|0|0
"010139531002"|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"010139534001"|1|0|0|0|1|0|1|451|24|0|0|0|0|0|0|0|0|0|0
"010139535001"|2|0|0|0|2|0|2|888|47.5|0|0|0|0|0|0|0|0|0|0
"01015"|0|0|0|0|0|0|0|0|0|1|0|0|0|0|1|1|1|245|29.8
"010150002002"|2|0|0|0|2|2|0|868|61|0|0|0|0|0|0|0|0|0|0
"010150004003"|2|0|0|0|2|2|1|503|27.5|0|0|0|0|0|0|0|0|0|0
"010150005002"|1|0|0|0|1|1|1|176|11|0|0|0|0|0|0|0|0|0|0
"010150006001"|3|0|0|0|3|1|2|1395|85|0|0|0|0|0|0|0|0|0|0
"010150006002"|2|0|0|0|2|0|0|1230|82.5|0|0|0|0|0|0|0|0|0|0
"010150007002"|1|1|0|0|1|1|0|0|20|0|0|0|0|0|0|0|0|0|0
"010150009001"|0|0|0|0|0|0|0|0|0|1|0|0|0|0|1|0|1|333|26.1
"010150010001"|1|0|0|0|1|1|1|348|17|0|0|0|0|1|1|1|1|335|34.9
"010150011001"|1|0|0|0|1|0|0|530|35.75|0|0|0|0|0|0|0|0|0|0
"010150012012"|1|0|0|1|1|0|0|0|68.5|0|0|0|0|0|0|0|0|0|0
"010150012021"|2|0|0|0|2|0|0|1230|82.5|0|0|0|0|0|0|0|0|0|0
"010150012022"|1|0|0|0|1|0|1|748|51.6|0|0|0|0|0|0|0|0|0|0
"010150013002"|2|0|0|0|2|0|1|1219|74|0|0|0|0|0|0|0|0|0|0
"010150015001"|1|0|0|0|1|0|0|356|27.65|0|0|0|0|0|0|0|0|0|0
"010150015002"|1|0|0|0|1|0|0|356|27.65|0|0|0|0|0|0|0|0|0|0
"010150015003"|1|0|0|0|1|0|0|356|27.65|0|0|0|0|0|0|0|0|0|0
"010150016003"|3|0|0|0|3|0|1|1267|73.5|0|0|0|0|0|0|0|0|0|0
"010150018005"|2|0|0|0|2|0|1|1203|69|0|0|0|0|0|0|0|0|0|0
"010150018006"|1|0|0|0|1|0|1|661|39|0|0|0|0|0|0|0|0|0|0
"010150020001"|1|0|0|0|1|0|0|427|26|1|0|0|0|0|1|0|1|333|26.1
"010150020002"|2|0|0|0|2|0|1|985|55|0|0|0|0|0|0|0|0|0|0
"010150020003"|1|0|0|0|1|0|0|530|35.75|0|0|0|0|0|0|0|0|0|0
"010150020004"|1|0|0|0|1|0|0|427|26|0|0|0|0|0|0|0|0|0|0
"010150020005"|1|0|0|0|1|0|0|530|35.75|0|0|0|0|0|0|0|0|0|0
"010150021031"|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"010150021032"|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"010150021033"|2|0|0|0|2|0|1|1590|93.5|0|0|0|0|0|0|0|0|0|0
"010150023001"|3|0|0|0|3|0|1|1235|67.07|0|0|0|0|0|0|0|0|0|0
"010150023002"|3|0|0|0|3|0|1|1235|67.07|0|0|0|0|0|0|0|0|0|0
"010150024002"|1|0|0|0|1|0|1|536|31|0|0|0|0|0|0|0|0|0|0
"010150025013"|3|0|0|0|2|0|1|0|0|0|0|0|0|0|0|0|0|0|0
"010150025023"|1|0|0|0|1|0|0|505|27.5|0|0|0|0|0|0|0|0|0|0
"010150026003"|2|0|0|0|2|0|1|937|53.93|0|0|0|0|0|0|0|0|0|0
"01017"|0|0|0|0|0|0|0|0|0|3|0|0|0|0|3|1|2|487|48.3
"010179538003"|3|0|0|0|3|3|1|635|49.25|0|0|0|0|0|0|0|0|0|0
"010179540002"|2|0|0|0|2|2|1|511|38.25|0|0|0|0|0|0|0|0|0|0
"010179540005"|1|0|0|1|1|1|0|0|11|0|0|0|0|0|0|0|0|0|0
"010179542001"|1|0|0|0|1|1|1|434|24.5|0|0|0|0|0|0|0|0|0|0
"010179542002"|1|0|0|0|1|1|1|434|24.5|0|0|0|0|0|0|0|0|0|0
"010179543001"|0|0|0|0|0|0|0|0|0|1|0|0|0|0|1|1|0|29|5.3
"010179543002"|2|0|0|0|2|1|0|1445|77.25|0|0|0|0|0|0|0|0|0|0
"010179543003"|2|0|0|0|2|1|0|1445|77.25|1|0|0|0|0|1|1|0|29|5.3
"010179543004"|0|0|0|0|0|0|0|0|0|1|0|0|0|0|1|1|0|29|5.3
"010179545002"|1|0|0|0|1|0|1|559|34.5|0|0|0|0|0|0|0|0|0|0
"010179545003"|2|0|0|0|2|0|0|327|22|0|0|0|0|0|0|0|0|0|0
