"V1","V2","V3"
"500 LOGAN RD","44907","391390021014001"
"11230 WAPLES MILL RD STE 100","22030","510594612021018"
"1508 MARCHANT AVE PO BOX 30054","29203","450790105011011"
"7 SANFORD AVE","07109","340130147001016"
"1336 PEABODY AVE","38104","471570036002030"
"100 S CHURCH ST","27804","371270104002045"
"2645 MAIN ST","46322","180890405021012"
"10 GROTON RD","03062","330110114012026"
"2655 NORTHBROOKE DR","34119","120210112133003"
"538 CHURCH ST","07748","340258007021015"
"203 HARTS BRIDGE RD","38301","471130013003079"
"2157 GLENWOOD","43620","390950021003002"
"2020 E BASELINE RD","85042","040131163003016"
"4138 LAKESIDE DR","94806","060133650033002"
"712 E MANCHESTER BLVD","90301","060376010023004"
"1409 W FRONT ST","77381","340258015001017"
"1797 S MILLENIUM WAY","83642","160010103401007"
"402 3RD AVE","18018","420770095003021"
"3220 108TH ST","11369","360810373001005"
"9141 POZE BLVD","80229","080010091013007"
"801 W 73RD ST","46260","180973209012001"
"3718 SALISBURY RD","32216","120310160021025"
"817 MURCHISON DR","94030","060816049001010"
"2001 S EASTON RD","18901","420171046013019"
"195 STATE ST","11201","360470009002000"
"7001 FORSYTH BLVD","63105","291892162023004"
"12215 SUGAR MAPLE DR","20170","510594805012006"
"325 S BELT LINE RD","75060","481130153042015"
"125 N DRYDEN AVE","60004","170318028012003"
"6760 DISCOVERY BLVD","43017","390490105022010"
"0234 SW BANCROFT ST","97239","410510060011008"
"340 WILKERSON RD","30273","131510701093005"
"125 W CHURCH ST","60048","170978636042016"
"750 NW 180TH TER","33029","120111103031023"
"3665 SWIFTWATER PARK DR BLDG 1A","30024","131350502241016"
"5726 S STONY ISLAND AVE","60637","170314110002014"
"14115 AVERY RANCH BLVD","78717","484910203111000"
"228936 CEMETERY AVE","54405","550730022001058"
"601 WASHINGTON ST","23704","517402109001031"
"2714 W PRATT BLVD","60645","170310203022014"
"29705 SOLANA WAY","92591","060650432162016"
"990 W 22ND ST","33010","120860007113038"
"6835 MAIN ST","30058","130890233172017"
"6691 W STATE ROAD 46","47201","180050109001045"
"11728 MOORPARK ST","91604","060371436022000"
"14926 BURBANK BLVD","91411","060371288022000"
"927 N FAIRFAX AVE","90046","060377002006008"
"905 FRIEDBERG CHURCH RD","27127","370570603023008"
"18213 PRAIRIE AVE","90504","060376503004000"
"13201 SUGARBLUFF RD","34715","120690313012009"
"1400 N DAKOTA ST","57401","460139514001000"
"12767 SW 280TH ST","33032","120860107051002"
"6944 HUDSON BLVD","55128","271630709102013"
"6337 S ROBB WAY","80127","080590120453000"
"401 BATESVILLE RD","29681","450450028131011"
"23262 EL TORO RD","92630","060590320143000"
"4353 BUTLER HILL RD","63128","291892213381011"
"17123 RED OAK DR","77090","482015532012007"
"409 N VAN BUREN ST","67410","200410843001013"
"2542 E OVERLAND TRL.","79601","484410133002041"
"6974 BATES RD S","97306","410470028002032"
"1710 N UNIVERSITY DR","33071","120110203201016"
"2063 GARDEN ST","32796","120090604002006"
"5860 GOLDEN GATE PKWY","34116","120210104082009"
"200 WEST CAMPGROUND RD.","30253","131510702102006"
"432 E BOUNDARY ST","29036","450630212042054"
"14615 WINTERS RD","46783","180030117011018"
"17701 DEVONSHIRE ST","91325","060371113032020"
"20 W END AVE","10023","360610147001000"
"1000 ACADEMY DR","19543","420110117031001"
"2221 64TH ST","60517","170438463073000"
"6083 MILLINGTON RD","38503","471570202212017"
"2435 BEN HILL RD","30344","131210113014000"
"10 N FREMONT AVE","15202","420034311001006"
"1720 J ST","89106","320030003024006"
"1494 BANKS RD","33063","120110201041010"
"105 E HILL ST","54771","550199503004010"
"9200 HWY 107","72120","051190037141004"
"4224 BLANCHARD CIR","28079","371790203161018"
"976 CHAPEL HILL RD","26059","540690021003031"
"4901 E BUCKEYE RD","53716","550250031003007"
"630 FARRS BRIDGE RD","29611","450450037012022"
"173 CHURCH ST","18872","250173311023002"
"6438 JOLIET RD STE 204","60525","170318202041019"
"830 S MAIN ST","46901","180670009001045"
"2530 W LA PALMA AVE","92801","060590868021016"
"146 NEW ST","30030","130890228003001"
"7614 GEORGIA AVE NW","20012","110010016002000"
"14418 MCKINLEY AVE","60469","170318248002006"
"14418 S MCKINLEY AVE","60469","170318248002006"
"325 E LIVE OAK AVE","91006","060374308033007"
"717 INDUSTRIAL PARK DR","30809","130730303114006"
"1216 LASALLE ST","32207","120310008003029"
"4083 W AVE L # 344","93536","060379011023025"
"11 E LANCASTER RD","32809","120950143023020"
"3101 BLUEBIRD LN","40299","211110111161043"
"18191 NW 68TH AVE STE 101","33015","120860120011000"
"2302 FOX DR","61820","170190013011020"
"1190 LIBERTY ST","11041","250138003004001"
"18915 142ND AVE NE STE 140-B","98072","530330323193000"
"1600 S ORLANDO AVE","32789","120950161003028"
"10800 PARKRIDGE BLVD # 150","20191","510594824001003"
"465 FALMOUTH RD","02601","250010126024003"
"612 S RACE ST","28677","370970603003018"
"3257 PAYNE AVE","95117","060855063021018"
"330 BEDFORD PARK BLVD","10458","360050407022000"
"180 MIDDLESEX RD","01879","250173131011016"
"200 HIGH ST","06460","090091501003004"
"10 COUNTY ROAD","07670","340030551006024"
"4860 OREGON ST","92116","060730011001001"
"1633 KEHRS MILL RD BLDG B","63005","291892216272006"
"6020 S LAFLIN ST","60636","170316708002003"
"1305 HYLAN BLVD","10305","360850096011011"
"400 TOTOWA RD","07512","340312238024014"
"111 WASHINGTON PL","10014","360610071005002"
"315 HILLSIDE AVE","07627","340030091001002"
"54 W MAIN ST # 691","06330","090117111002008"
"3319 BAYSHORE BLVD","33629","120570061031004"
"785 FRANKLIN LAKE RD","07417","340030202001030"
"1250 KENSINGTON RD","48304","261251520002000"
"4521 SAINT CHARLES AVE","70115","220710109002026"
"619 N 2ND ST","63301","291833104001026"
"2690 JACKSON ST","94115","060750132002025"
"3840 WASHINGTON BLVD","63108","295101193001010"
"3500 WILLISTON RD","55345","270530263023025"
"5191 E CRESCENT DR","92807","060590219153001"
"2301 22ND AVE S","33712","121030207004001"
"10107 DARNESTOWN RD","20850","240317008382021"
"6 REGENT ST","07039","340130204004013"
"4219 E ADMIRAL DOYLE DR","70560","220450313024016"
"10251 N 35TH AVE","85051","040131042052003"
"1329 W CHELTENHAM AVE","19027","420912024025017"
"2160 S COOK ST","80210","080310040061003"
"10713 BARKLEY ST","66211","200910518053018"
"1500 N MISSISSIPPI ST","72207","051190021042001"
"10618 BRECKENRIDGE DR","72211","051190022091000"
"8519 TUTTLE RD","22152","510594309011005"
"5206 BALCONES DR","78731","484530001021022"
"11025 SW 84TH ST STE 10","33173","120860084312001"
"303 W PALM DR","33034","120860114061003"
"11020 N AMBASSADOR DR STE 120","64153","291650302014024"
"1212 MCGINNESS AVE","95127","060855035101004"
"1201 N BENEVA RD","34232","121150016011017"
"540 SANDS DR","95125","060855031241015"
"5084 DE ZAVALA RD","78249","480291818132000"
"118 E WOOD ST","44503","390998137004006"
"4900 GIRARD RD","15227","420034773003011"
"9504 BRUNETT AVE","20901","240317023022004"
"493 EASTLAND DR","83301","160830010021007"
"1222 STATE ROUTE 31","08833","340190110041054"
"2911 LUCAS TPKE","12404","361119530002012"
"5845 ALLEN AVE","95123","060855120523000"
"7200B WINDSOR DR","18106","420770062042000"
"544 JUBILEE ST","18049","420770065003016"
"2506 TRITT SPRINGS TRCE","30062","130670303311003"
"1515 JOHNSON FERRY RD","30062","130670303322001"
"220 S LYFORD RD","61108","172010005142006"
"2210 LINCOLN BLVD STE 13","90291","060372737003008"
"5408 SYBIL CT","32309","120730024211005"
"3025 ADELAIDA RD","93446","060790101011004"
"1709 E 5TH ST","75701","484230012002002"
"1902 TRUDIE DR","90275","060376707013007"
"6206 ADA DR SE","49301","260810119023022"
"5539 BYRON CENTER AVE SW","49519","260810145043005"
"1865 BIGLERVILLE RD","17325","420010314012003"
"187 WILLOW DR","45693","390017704004007"
"310 ADAMS ST","21691","120390205004051"
"603 S 350 W","47872","181210303004012"
"180 FAIR OAKS ST","94110","060750210001004"
"1675 RAOUL WALLENBERG BLVD","29407","450190026125011"
"6100 N 21ST ST","19138","421010279013001"
"740 ACADEMY RD","48442","261251245005022"
"501 PARK ST N","33710","121030224012003"
"9910 E ADOBE RD","85207","040134201111020"
"3620 S KENWOOD LN","85282","040133194021023"
"360 NEW HEMPSTEAD RD","10956","360870108013003"
"7469 GEORGIA RD","36092","010510306004003"
"11500 MIDDLEGROUND RD","31419","130510042084010"
"713 W PALM DR","33034","120860114061006"
