"Code","GeoFips","GeoName","CL_UNIT","UNIT_MULT","DataValue_2024","year","line","table","DataValue_2023","DataValue_2022","DataValue_2021","DataValue_2020","DataValue_2019"
"SAPCE1-3","04000","Arizona","Millions of current dollars","6",51549,2024,3,"SAPCE1",NA,NA,NA,NA,NA
"SAPCE1-3","05000","Arkansas","Millions of current dollars","6",16003.2,2024,3,"SAPCE1",NA,NA,NA,NA,NA
"SAPCE1-3","06000","California","Millions of current dollars","6",253507.1,2024,3,"SAPCE1",NA,NA,NA,NA,NA
"SAPCE1-3","08000","Colorado","Millions of current dollars","6",46728.2,2024,3,"SAPCE1",NA,NA,NA,NA,NA
"SAPCE1-3","09000","Connecticut","Millions of current dollars","6",24470.2,2024,3,"SAPCE1",NA,NA,NA,NA,NA
"SAPCE1-3","10000","Delaware","Millions of current dollars","6",6912.2,2024,3,"SAPCE1",NA,NA,NA,NA,NA
"SAPCE1-3","11000","District of Columbia","Millions of current dollars","6",6107.7,2024,3,"SAPCE1",NA,NA,NA,NA,NA
"SAPCE1-3","12000","Florida","Millions of current dollars","6",170622.1,2024,3,"SAPCE1",NA,NA,NA,NA,NA
"SAPCE1-3","13000","Georgia","Millions of current dollars","6",68359.2,2024,3,"SAPCE1",NA,NA,NA,NA,NA
"SAPCE1-3","15000","Hawaii","Millions of current dollars","6",7454.8,2024,3,"SAPCE1",NA,NA,NA,NA,NA
"SAPCE1-3","16000","Idaho","Millions of current dollars","6",13218,2024,3,"SAPCE1",NA,NA,NA,NA,NA
"SAPCE1-3","17000","Illinois","Millions of current dollars","6",82852.7,2024,3,"SAPCE1",NA,NA,NA,NA,NA
"SAPCE1-3","18000","Indiana","Millions of current dollars","6",40362,2024,3,"SAPCE1",NA,NA,NA,NA,NA
"SAPCE1-3","19000","Iowa","Millions of current dollars","6",19807.9,2024,3,"SAPCE1",NA,NA,NA,NA,NA
"SAPCE1-3","20000","Kansas","Millions of current dollars","6",16119.8,2024,3,"SAPCE1",NA,NA,NA,NA,NA
"SAPCE1-3","21000","Kentucky","Millions of current dollars","6",23527.3,2024,3,"SAPCE1",NA,NA,NA,NA,NA
"SAPCE1-3","22000","Louisiana","Millions of current dollars","6",25758.1,2024,3,"SAPCE1",NA,NA,NA,NA,NA
"SAPCE1-3","23000","Maine","Millions of current dollars","6",9009.8,2024,3,"SAPCE1",NA,NA,NA,NA,NA
"SAPCE1-3","24000","Maryland","Millions of current dollars","6",37367.5,2024,3,"SAPCE1",NA,NA,NA,NA,NA
"SAPCE1-3","25000","Massachusetts","Millions of current dollars","6",47765.6,2024,3,"SAPCE1",NA,NA,NA,NA,NA
"SAPCE1-3","26000","Michigan","Millions of current dollars","6",59280,2024,3,"SAPCE1",NA,NA,NA,NA,NA
"SAPCE1-3","27000","Minnesota","Millions of current dollars","6",42370.9,2024,3,"SAPCE1",NA,NA,NA,NA,NA
"SAPCE1-3","28000","Mississippi","Millions of current dollars","6",14250.2,2024,3,"SAPCE1",NA,NA,NA,NA,NA
"SAPCE1-3","29000","Missouri","Millions of current dollars","6",36292.5,2024,3,"SAPCE1",NA,NA,NA,NA,NA
"SAPCE1-3","30000","Montana","Millions of current dollars","6",8474.8,2024,3,"SAPCE1",NA,NA,NA,NA,NA
"SAPCE1-3","31000","Nebraska","Millions of current dollars","6",13474.1,2024,3,"SAPCE1",NA,NA,NA,NA,NA
"SAPCE1-3","32000","Nevada","Millions of current dollars","6",21572.6,2024,3,"SAPCE1",NA,NA,NA,NA,NA
"SAPCE1-3","33000","New Hampshire","Millions of current dollars","6",10649.9,2024,3,"SAPCE1",NA,NA,NA,NA,NA
"SAPCE1-3","34000","New Jersey","Millions of current dollars","6",60874.2,2024,3,"SAPCE1",NA,NA,NA,NA,NA
"SAPCE1-3","35000","New Mexico","Millions of current dollars","6",11387.2,2024,3,"SAPCE1",NA,NA,NA,NA,NA
"SAPCE1-3","36000","New York","Millions of current dollars","6",109120.9,2024,3,"SAPCE1",NA,NA,NA,NA,NA
"SAPCE1-3","37000","North Carolina","Millions of current dollars","6",77253.3,2024,3,"SAPCE1",NA,NA,NA,NA,NA
"SAPCE1-3","38000","North Dakota","Millions of current dollars","6",5684.1,2024,3,"SAPCE1",NA,NA,NA,NA,NA
"SAPCE1-3","39000","Ohio","Millions of current dollars","6",70966.5,2024,3,"SAPCE1",NA,NA,NA,NA,NA
"SAPCE1-3","40000","Oklahoma","Millions of current dollars","6",23859.3,2024,3,"SAPCE1",NA,NA,NA,NA,NA
"SAPCE1-3","41000","Oregon","Millions of current dollars","6",31110.2,2024,3,"SAPCE1",NA,NA,NA,NA,NA
"SAPCE1-3","42000","Pennsylvania","Millions of current dollars","6",83661,2024,3,"SAPCE1",NA,NA,NA,NA,NA
"SAPCE1-3","44000","Rhode Island","Millions of current dollars","6",5862.5,2024,3,"SAPCE1",NA,NA,NA,NA,NA
"SAPCE1-3","45000","South Carolina","Millions of current dollars","6",31657.1,2024,3,"SAPCE1",NA,NA,NA,NA,NA
"SAPCE1-3","46000","South Dakota","Millions of current dollars","6",5208.6,2024,3,"SAPCE1",NA,NA,NA,NA,NA
"SAPCE1-3","47000","Tennessee","Millions of current dollars","6",40817.9,2024,3,"SAPCE1",NA,NA,NA,NA,NA
"SAPCE1-3","48000","Texas","Millions of current dollars","6",210792.5,2024,3,"SAPCE1",NA,NA,NA,NA,NA
"SAPCE1-3","49000","Utah","Millions of current dollars","6",32160.9,2024,3,"SAPCE1",NA,NA,NA,NA,NA
"SAPCE1-3","50000","Vermont","Millions of current dollars","6",4058.2,2024,3,"SAPCE1",NA,NA,NA,NA,NA
"SAPCE1-3","51000","Virginia","Millions of current dollars","6",57300.9,2024,3,"SAPCE1",NA,NA,NA,NA,NA
"SAPCE1-3","53000","Washington","Millions of current dollars","6",57223.8,2024,3,"SAPCE1",NA,NA,NA,NA,NA
"SAPCE1-3","54000","West Virginia","Millions of current dollars","6",8251.2,2024,3,"SAPCE1",NA,NA,NA,NA,NA
"SAPCE1-3","55000","Wisconsin","Millions of current dollars","6",39088,2024,3,"SAPCE1",NA,NA,NA,NA,NA
"SAPCE1-3","56000","Wyoming","Millions of current dollars","6",3592.7,2024,3,"SAPCE1",NA,NA,NA,NA,NA
"SAPCE1-3","91000","New England","Millions of current dollars","6",101816.1,2024,3,"SAPCE1",NA,NA,NA,NA,NA
"SAPCE1-3","92000","Mideast","Millions of current dollars","6",304043.6,2024,3,"SAPCE1",NA,NA,NA,NA,NA
"SAPCE1-3","93000","Great Lakes","Millions of current dollars","6",292549.3,2024,3,"SAPCE1",NA,NA,NA,NA,NA
"SAPCE1-3","94000","Plains","Millions of current dollars","6",138957.7,2024,3,"SAPCE1",NA,NA,NA,NA,NA
"SAPCE1-3","95000","Southeast","Millions of current dollars","6",562357.3,2024,3,"SAPCE1",NA,NA,NA,NA,NA
"SAPCE1-3","96000","Southwest","Millions of current dollars","6",297588,2024,3,"SAPCE1",NA,NA,NA,NA,NA
"SAPCE1-3","97000","Rocky Mountain","Millions of current dollars","6",104174.6,2024,3,"SAPCE1",NA,NA,NA,NA,NA
"SAPCE1-3","98000","Far West","Millions of current dollars","6",376598.1,2024,3,"SAPCE1",NA,NA,NA,NA,NA
"SAPCE1-4","00000","United States *","Millions of current dollars","6",732779.2,2024,4,"SAPCE1",NA,NA,NA,NA,NA
"SAPCE1-4","01000","Alabama","Millions of current dollars","6",12044.1,2024,4,"SAPCE1",NA,NA,NA,NA,NA
"SAPCE1-4","02000","Alaska","Millions of current dollars","6",1720,2024,4,"SAPCE1",NA,NA,NA,NA,NA
"SAPCE1-4","04000","Arizona","Millions of current dollars","6",18150.3,2024,4,"SAPCE1",NA,NA,NA,NA,NA
"SAPCE1-4","05000","Arkansas","Millions of current dollars","6",6253.5,2024,4,"SAPCE1",NA,NA,NA,NA,NA
"SAPCE1-4","06000","California","Millions of current dollars","6",68760.2,2024,4,"SAPCE1",NA,NA,NA,NA,NA
"SAPCE1-4","08000","Colorado","Millions of current dollars","6",14226.7,2024,4,"SAPCE1",NA,NA,NA,NA,NA
"SAPCE1-4","09000","Connecticut","Millions of current dollars","6",7459.9,2024,4,"SAPCE1",NA,NA,NA,NA,NA
"SAPCE1-4","10000","Delaware","Millions of current dollars","6",2345.1,2024,4,"SAPCE1",NA,NA,NA,NA,NA
"SAPCE1-4","11000","District of Columbia","Millions of current dollars","6",1593.6,2024,4,"SAPCE1",NA,NA,NA,NA,NA
"SAPCE1-4","12000","Florida","Millions of current dollars","6",53972.8,2024,4,"SAPCE1",NA,NA,NA,NA,NA
