"state","county","subdivision","tract"
"31","31039","3103903022","31039972900"
"31","31039","3103903670","31039972900"
"31","31039","3103903670","31039972700"
"31","31039","3103905063","31039972700"
"31","31039","3103905280","31039972900"
"31","31039","3103905280","31039972700"
"31","31039","3103909515","31039972900"
"31","31039","3103915010","31039972900"
"31","31039","3103915010","31039972700"
"31","31039","3103918125","31039972900"
"31","31039","3103918125","31039972800"
"31","31039","3103919735","31039972900"
"31","31039","3103919735","31039972700"
"31","31039","3103928665","31039972900"
"31","31039","3103942985","31039972900"
"31","31039","3103942985","31039972800"
"31","31039","3103942985","31039972700"
"31","31039","3103953450","31039972700"
"31","31039","3103927190","31039972700"
"31","31039","3103933845","31039972900"
"31","31039","3103952575","31039972800"
"31","31039","3103952575","31039972700"
"31","31039","3103911685","31039972800"
"31","31039","3103932690","31039972700"
"31","31039","3103944910","31039972900"
"31","31039","3103944910","31039972800"
"31","31039","3103944910","31039972700"
"31","31039","3103953485","31039972900"
"31","31039","3103953485","31039972700"
"53","53069","5306991328","53069950100"
"53","53069","5306990478","53069950100"
"53","53069","5306992640","53069950100"
"53","53069","5306992992","53069950100"
"35","35011","3501191110","35011960100"
"35","35011","3501193750","35011960100"
"31","31109","3110991776","31109003721"
"31","31109","3110991776","31109003723"
"31","31109","3110991776","31109003724"
"31","31109","3110991776","31109003726"
"31","31109","3110991776","31109003725"
"31","31109","3110991776","31109010401"
"31","31109","3110991776","31109003727"
"31","31109","3110991776","31109003728"
"31","31109","3110991776","31109010203"
"31","31109","3110991776","31109003005"
"31","31109","3110991776","31109003004"
"31","31109","3110991776","31109010204"
"31","31109","3110991776","31109003722"
"31","31109","3110991776","31109001102"
"31","31109","3110991776","31109003401"
"31","31109","3110991776","31109001002"
"31","31109","3110991776","31109003716"
"31","31109","3110991776","31109003714"
"31","31109","3110991776","31109002001"
"31","31109","3110991776","31109003713"
"31","31109","3110991776","31109003301"
"31","31109","3110991776","31109003104"
"31","31109","3110991776","31109003103"
"31","31109","3110991776","31109003607"
"31","31109","3110991776","31109003715"
"31","31109","3110991776","31109003609"
"31","31109","3110991776","31109001001"
"31","31109","3110991776","31109003718"
"31","31109","3110991776","31109002702"
"31","31109","3110991776","31109002800"
"31","31109","3110991776","31109003202"
"31","31109","3110991776","31109003601"
"31","31109","3110991776","31109003605"
"31","31109","3110991776","31109003704"
"31","31109","3110991776","31109003708"
"31","31109","3110991776","31109003801"
"31","31109","3110991776","31109003802"
"31","31109","3110991776","31109000700"
"31","31109","3110991776","31109003002"
"31","31109","3110991776","31109002300"
"31","31109","3110991776","31109001600"
"31","31109","3110991776","31109001700"
"31","31109","3110991776","31109001800"
"31","31109","3110991776","31109002100"
"31","31109","3110991776","31109002200"
"31","31109","3110991776","31109002701"
"31","31109","3110991776","31109003003"
