"fips"|"inactive_win12"|"undergrad_school_prog"|"grad_school_prog"|"hbcu"|"hospital"|"medical_school_prog"|"tribal_school_prog"|"public_college_university"|"post_secondary_institution"|"degree_granting"|"grants_associates_certificate_only"|"not_degree_granting"|"size_lt1k"|"size_1k_10k"|"size_gt10k"|"ft_noninst_academic_staff"|"ft_community_admin_staff"|"total_instructional_staff"|"total_inst_staff_salary"|"no_reported_inst_staff"|"cost_grad_instate"|"cost_grad_outstate"|"cost_oncampus_living"|"cost_undergrad_instate"|"cost_undergrad_outstate"|"est_avg_inst_staff_salary"
"010030103005"|0|1|0|0|0|0|0|1|1|1|1|0|0|1|0|195|57|346|23702984|0|NA|NA|5800|3750|7500|68505.7341040462
"010030107103"|0|1|1|0|0|0|0|1|1|1|0|0|1|0|0|43|14|14|1196912|0|19440|19440|NA|17424|17424|85493.7142857143
"010030114112"|0|1|1|0|0|0|0|1|1|1|0|0|0|0|1|424|146|470|24073002|0|4020|4020|NA|5880|5880|51219.1531914894
"010030115032"|0|1|0|0|0|0|0|1|1|0|0|1|1|0|0|0|0|0|0|0|NA|NA|NA|NA|NA|NA
"010150021011"|0|1|1|0|0|0|0|1|1|1|0|0|0|1|0|647|254|694|48989860|0|9840|19680|8640|9990|19950|70590.5763688761
"010259579023"|0|1|0|0|0|0|0|1|1|0|0|1|1|0|0|0|0|0|0|0|NA|NA|NA|NA|NA|NA
"010310113002"|0|1|0|0|0|0|0|1|1|1|1|0|0|1|0|69|41|108|8994780|0|NA|NA|NA|3750|7500|83285
"010330207041"|0|1|0|0|0|0|0|1|1|1|1|0|0|1|0|131|40|140|8244530|0|NA|NA|NA|3750|7500|58889.5
"010359605001"|0|1|0|0|0|0|0|1|1|1|1|0|1|0|0|28|13|28|1807126|0|NA|NA|NA|3750|7500|64540.2142857143
"010399620001"|0|1|0|0|0|0|0|1|1|1|1|0|0|1|0|60|29|108|6823600|0|NA|NA|5550|3750|7500|63181.4814814815
"010439654013"|0|1|0|0|0|0|0|1|1|1|1|0|0|1|0|164|81|238|14916876|0|NA|NA|4900|3750|7500|62675.9495798319
"010450214003"|0|1|0|0|0|0|0|1|1|1|1|0|0|1|0|130|56|238|14919752|0|NA|NA|NA|3750|7500|62688.0336134454
"010479561011"|0|1|0|0|0|0|0|1|1|1|1|0|0|1|0|85|40|78|4507550|0|NA|NA|NA|3750|7500|57789.1025641026
"010479568001"|0|1|1|1|0|0|0|1|1|1|0|0|1|0|0|9|2|2|7700|0|4800|4800|NA|4800|4800|3850
"010510309013"|0|1|0|0|0|0|0|1|1|1|1|0|1|0|0|84|28|160|9259440|0|NA|NA|NA|3990|3990|57871.5
"010550016003"|0|1|0|1|0|0|0|1|1|1|1|0|0|1|0|210|83|252|15784516|0|NA|NA|4800|4000|8000|62636.9682539683
"010690415003"|0|1|0|0|0|0|0|1|1|0|0|1|1|0|0|0|0|0|0|0|NA|NA|NA|NA|NA|NA
"010690416001"|0|0|1|0|0|1|0|1|1|1|0|0|1|0|0|0|0|0|0|0|NA|NA|NA|NA|NA|NA
"010719511013"|0|1|0|0|0|0|0|1|1|1|1|0|0|1|0|79|36|120|7901044|0|NA|NA|NA|3750|7500|65842.0333333333
"010730027012"|0|1|1|0|0|0|0|1|1|1|0|0|0|1|0|0|0|0|0|0|14940|14940|NA|13320|13320|NA
"010730030011"|0|1|0|0|0|0|0|1|1|1|0|0|1|0|0|168|78|206|13453532|0|NA|NA|14000|20000|20000|65308.4077669903
"010730045024"|0|1|1|0|1|1|0|1|1|1|0|0|0|0|1|3334|634|1884|235080654|0|8424|19962|13120|8832|21216|124777.417197452
"010730051043"|0|1|1|0|0|0|0|1|1|1|0|0|1|0|0|18|3|30|2384902|0|9520|9520|NA|11820|11820|79496.7333333333
"010730102002"|0|1|0|0|0|0|0|1|1|0|0|1|1|0|0|0|0|0|0|0|NA|NA|NA|NA|NA|NA
"010730106045"|0|1|0|1|0|0|0|1|1|1|0|0|0|1|0|117|45|136|7279582|0|NA|NA|7348|11164|11164|53526.3382352941
"010730107041"|0|1|1|0|0|0|0|1|1|1|0|0|0|1|0|589|298|724|65372240|0|21265|21265|11264|35750|35750|90293.1491712707
"010730112091"|0|1|0|0|0|0|0|1|1|1|1|0|0|1|0|213|101|260|17166328|0|NA|NA|NA|3990|7680|66024.3384615385
"010730131004"|0|1|0|1|0|0|0|1|1|1|1|0|0|1|0|126|61|154|9905776|0|NA|NA|4760|3750|7500|64323.2207792208
"010730132001"|0|1|0|0|0|0|0|1|1|0|0|1|1|0|0|0|0|0|0|0|NA|NA|NA|NA|NA|NA
"010730143044"|0|1|0|0|0|0|0|1|1|1|1|0|1|0|0|18|8|32|1794316|0|NA|NA|NA|14741|14741|56072.375
"010730144083"|0|1|0|0|0|0|0|1|1|0|0|1|1|0|0|0|0|0|0|0|NA|NA|NA|NA|NA|NA
"010730144091"|0|1|0|0|0|0|0|1|1|0|0|1|1|0|0|0|0|0|0|0|NA|NA|NA|NA|NA|NA
"010770101001"|0|1|1|0|0|0|0|1|1|1|0|0|0|1|0|502|181|578|45761888|0|6600|13320|7730|10200|20400|79172.8166089965
"010770115041"|0|1|1|0|0|0|0|1|1|1|0|0|1|0|0|28|11|10|624160|0|4482|4482|6540|10152|10152|62416
"010810407002"|0|1|1|0|0|1|0|1|1|1|0|0|0|0|1|4162|1212|2870|325597112|0|10386|31158|14998|10392|31176|113448.471080139
"010830207001"|0|1|1|0|0|0|0|1|1|1|0|0|0|1|0|159|43|170|14504384|0|8352|14472|NA|7230|14460|85319.9058823529
"010830211011"|0|1|0|0|0|0|0|1|1|1|1|0|0|1|0|225|127|314|20110332|0|NA|NA|NA|3750|7500|64045.6433121019
"010872317001"|0|1|1|1|0|1|0|1|1|1|0|0|0|1|0|412|89|388|30195466|0|20378|20378|9844|19594|19594|77823.3659793814
"010890002032"|0|2|1|2|0|0|0|2|2|2|1|0|1|1|0|530|268|566|39766552|0|NA|NA|NA|6180|12360|62483.586744186
"010890014043"|0|2|0|0|0|0|0|2|2|0|0|2|2|0|0|0|0|0|0|0|NA|NA|NA|NA|NA|NA
"010890015003"|0|1|1|0|0|0|0|1|1|1|0|0|0|1|0|1120|268|716|68873460|0|10632|24430|11122|10120|23012|96191.9832402235
"010890030001"|0|1|1|0|0|0|0|1|1|1|0|0|1|0|0|5|2|0|0|0|4464|4464|NA|4440|4440|NA
"010890106252"|0|1|1|1|0|0|0|1|1|1|0|0|0|1|0|169|55|224|13016554|0|13680|13680|9384|18974|18974|58109.6160714286
"010890110213"|0|1|0|0|0|0|0|1|1|0|0|1|1|0|0|0|0|0|0|0|NA|NA|NA|NA|NA|NA
"010950308013"|0|1|0|0|0|0|0|1|1|0|0|1|1|0|0|0|0|0|0|0|NA|NA|NA|NA|NA|NA
"010950311003"|0|1|0|0|0|0|0|1|1|1|1|0|0|1|0|67|25|82|5964568|0|NA|NA|4675|4000|8000|72738.6341463415
"010970004012"|0|1|0|1|0|0|0|1|1|1|1|0|0|1|0|107|62|118|7263856|0|NA|NA|NA|3750|7500|61558.1016949153
"010970021001"|0|1|0|0|0|0|0|1|1|0|0|1|1|0|0|0|0|0|0|0|NA|NA|NA|18100|18100|NA
"010970029003"|0|1|0|0|0|0|0|1|1|0|0|1|1|0|0|0|0|0|0|0|NA|NA|NA|NA|NA|NA
"010970032061"|0|1|0|0|0|0|0|1|1|1|1|0|1|0|0|16|2|26|1731532|0|NA|NA|NA|20393|20393|66597.3846153846
"010970033021"|0|1|1|0|0|0|0|1|1|1|0|0|0|1|0|127|69|138|8471076|0|7329|7329|11784|21732|21732|61384.6086956522
"010970037032"|0|1|0|0|0|0|0|1|1|0|0|1|1|0|0|0|0|0|0|0|NA|NA|NA|NA|NA|NA
"010970061061"|0|1|1|0|0|0|0|1|1|1|0|0|0|1|0|110|71|152|8135240|0|13405|13405|10676|23860|23860|53521.3157894737
"010979800001"|0|1|1|0|1|1|0|1|1|1|0|0|0|0|1|1099|275|1136|90091012|0|8424|16848|8510|8616|17232|79305.4683098591
"011010010002"|0|1|0|1|0|0|0|1|1|1|1|0|0|1|0|86|40|98|6179912|0|NA|NA|NA|3750|7500|63060.3265306122
"011010014002"|0|1|1|0|0|0|0|1|1|1|0|0|1|0|0|119|64|100|6728050|0|22500|22500|10772|26800|26800|67280.5
"011010015003"|0|1|1|1|0|0|0|1|1|1|0|0|0|1|0|556|177|422|34057806|0|7416|14832|6050|8328|16656|80705.7014218009
"011010017001"|0|1|0|0|0|0|0|1|1|0|0|1|1|0|0|0|0|0|0|0|NA|NA|NA|NA|NA|NA
"011010026004"|0|1|1|0|0|0|0|1|1|1|0|0|0|1|0|179|97|280|19068316|0|15325|15325|8020|21930|21930|68101.1285714286
"011010054072"|0|2|2|0|0|0|0|2|2|2|0|0|1|1|0|363|133|524|40521570|0|9306|14175|NA|8616|13740|64398.9794836956
"011010054104"|0|1|1|0|0|0|0|1|1|1|0|0|1|0|0|22|3|8|530000|0|15600|15600|NA|15300|15300|66250
"011056870024"|0|1|0|0|0|0|0|1|1|1|1|0|1|0|0|77|21|40|2565354|0|NA|NA|4950|6000|12000|64133.85
"011091891012"|0|1|1|0|0|0|0|1|1|1|0|0|0|0|1|834|407|896|68067040|0|8550|17100|7599|9312|18624|75967.6785714286
"011110006002"|0|1|0|0|0|0|0|1|1|1|1|0|0|1|0|124|64|190|12166430|0|NA|NA|4600|3750|7500|64033.8421052632
"011130306013"|0|1|0|0|0|0|0|1|1|1|1|0|0|1|0|67|41|84|5131568|0|NA|NA|NA|3750|7500|61090.0952380952
"011170304071"|0|1|1|0|0|0|0|1|1|1|0|0|0|1|0|349|146|276|21243742|0|10512|25128|10135|12090|25110|76970.0797101449
"011190113011"|0|1|1|0|0|0|0|1|1|1|0|0|0|1|0|277|94|230|15555910|0|6678|13356|7820|9100|18200|67634.3913043478
"011210107001"|0|1|1|1|0|0|0|1|1|1|0|0|1|0|0|119|39|76|4540600|0|16000|16000|8934|12130|12130|59744.7368421053
"011239623022"|0|1|0|0|0|0|0|1|1|1|1|0|0|1|0|68|26|88|5754624|0|NA|NA|NA|3750|7500|65393.4545454545
"011250112002"|0|2|2|0|0|0|0|2|2|1|0|0|0|0|1|4721|1417|3166|318770618|0|NA|NA|NA|NA|NA|NA
"011250117012"|0|1|0|1|0|0|0|1|1|1|0|0|1|0|0|77|22|98|5037600|0|NA|NA|10054|9548|9548|51404.0816326531
"011250125051"|0|1|0|1|0|0|0|1|1|1|1|0|0|1|0|172|72|208|12933610|0|NA|NA|NA|3750|7500|62180.8173076923
"011270203011"|0|1|0|0|0|0|0|1|1|1|1|0|0|1|0|136|59|212|14255196|0|NA|NA|4576|4000|8000|67241.4905660377
"020200015004"|0|1|0|0|0|0|0|1|1|1|1|0|1|0|0|17|9|2|124800|0|NA|NA|NA|NA|NA|62400
"020200016021"|0|2|2|0|0|0|0|2|2|2|0|0|1|0|1|1064|328|908|74889010|0|10467|15561|10481|13271|20063|74738.8974752475
"020900013002"|0|2|2|0|0|0|0|2|2|1|0|0|0|1|0|2039|351|568|48920694|0|NA|NA|NA|NA|NA|NA
"021100001002"|0|1|1|0|0|0|0|1|1|1|0|0|0|1|0|170|54|162|12170784|0|11183|23522|9830|7147|22825|75128.2962962963
"021220007022"|0|1|0|0|0|0|0|1|1|1|1|0|1|0|0|13|2|2|136502|0|NA|NA|11600|8500|8500|68251
"021220013002"|0|1|0|0|0|0|0|1|1|0|0|1|1|0|0|0|0|0|0|0|NA|NA|NA|NA|NA|NA
"021700012012"|0|1|0|0|0|0|0|1|1|1|0|0|1|0|0|7|1|0|0|0|NA|NA|7000|10200|10200|NA
