"ST_CASE","geometry"
10357,c(33.43405833, -86.73936944)
10358,c(34.23109444, -86.87934444)
10359,c(33.88608611, -87.450625)
10360,c(30.51595556, -88.27815556)
10361,c(32.47860556, -85.65557778)
10362,c(33.31469167, -87.05666944)
10363,c(32.88283333, -85.40548611)
10364,c(30.75351944, -88.11762222)
10365,c(31.796675, -87.75535833)
10366,c(30.47382222, -88.25914722)
10367,c(33.48061944, -86.83953056)
10368,c(32.75595833, -86.23176111)
10369,c(33.07156389, -86.75033056)
10370,c(34.48772778, -85.85128333)
10371,c(34.28108056, -87.46097778)
10372,c(33.11284444, -86.64509167)
10373,c(34.91620278, -85.78640278)
10374,c(33.67972778, -87.065575)
10375,c(31.73057778, -86.30485278)
10376,c(32.35980833, -86.2185)
10377,c(30.74758056, -88.11266667)
10378,c(33.83897222, -86.961675)
10379,c(34.51117778, -87.73707778)
10380,c(32.02788889, -85.66080833)
10381,c(31.60958611, -86.88041389)
10382,c(31.79967778, -85.24023611)
10383,c(34.29503333, -86.25834444)
10384,c(32.86855556, -87.23150278)
10385,c(33.46040833, -86.103)
10386,c(31.24203611, -85.62991667)
10387,c(34.52328056, -85.77422222)
10388,c(33.54609167, -86.57767222)
10389,c(33.47296944, -86.76435833)
10390,c(34.96261111, -86.76130278)
10391,c(30.72283056, -88.165875)
10392,c(32.80046944, -86.57506389)
10393,c(34.08530278, -86.42772778)
10394,c(31.19363333, -86.22087222)
10395,c(32.24133333, -86.29641944)
10396,c(33.38154722, -87.14023333)
10397,c(34.41360833, -87.30890278)
10398,c(30.39593333, -88.10909722)
10399,c(33.88460556, -86.03093333)
10400,c(31.80729167, -85.94728056)
10401,c(33.72668056, -87.695125)
10402,c(32.58026667, -85.11444722)
10403,c(31.69474444, -85.95952778)
10404,c(34.67871111, -86.07101667)
10405,c(33.59490833, -87.88314444)
10406,c(34.75607222, -86.71620833)
10407,c(32.66394167, -85.15118056)
10408,c(33.73071944, -87.28164167)
10409,c(34.74646667, -86.67018333)
10410,c(32.03337778, -86.08905556)
10411,c(33.62897778, -86.97764722)
10412,c(32.63009722, -85.41939722)
10413,c(32.45335556, -85.01261944)
10414,c(30.77856389, -88.25505833)
10415,c(34.26917222, -87.99335278)
10416,c(33.85688056, -86.94089167)
10417,c(34.18503333, -86.31171944)
10418,c(34.26503333, -86.92564167)
10419,c(34.33444722, -85.809825)
10420,c(33.71879167, -85.81787222)
10421,c(30.67821667, -88.08538889)
10422,c(32.73550556, -87.73656944)
10423,c(30.68451944, -88.05939722)
10424,c(30.35567778, -87.68306944)
10425,c(34.64557222, -87.15208889)
10426,c(33.76531667, -86.92241389)
10427,c(34.03213333, -87.51341111)
10428,c(33.92608889, -87.32010556)
10429,c(34.09851667, -86.18638333)
10430,c(33.27839444, -87.53318333)
10431,c(34.60980278, -86.27383611)
10432,c(33.27077778, -87.49596944)
10434,c(30.568325, -87.80861389)
10435,c(34.59092778, -86.08026111)
10436,c(34.73157778, -86.95716667)
10437,c(33.59156944, -86.13719444)
10438,c(31.36481944, -87.05968333)
10439,c(31.45116111, -86.97065278)
10440,c(33.39251667, -86.79774167)
10441,c(34.48124444, -87.27271389)
10442,c(33.24540833, -87.67288889)
10443,c(30.68923889, -88.12165278)
10444,c(34.61205278, -85.73717222)
10445,c(33.452925, -86.92267778)
10446,c(30.74043056, -88.22565)
10447,c(32.65635, -86.11427778)
10448,c(34.80085556, -86.67793889)
10449,c(32.11645, -88.11640833)
10450,c(32.71006944, -85.78557778)
10451,c(34.22150833, -86.74893611)
10452,c(32.83255278, -85.57015278)
10453,c(30.82430556, -87.84149167)
10454,c(32.87806667, -87.60954444)
10455,c(34.27286111, -86.33757778)
10456,c(33.96630833, -86.42723056)
10457,c(33.68211667, -86.53661111)
10458,c(32.79388889, -85.23793889)
10459,c(34.62380556, -86.90087222)
10460,c(33.02632222, -87.74465)
10461,c(32.61631944, -85.40205)
10462,c(32.41383889, -86.35205278)
10463,c(34.12206944, -85.98179722)
10464,c(34.63026389, -86.90161667)
10465,c(33.61298333, -85.67724167)
10466,c(33.75406667, -86.47983333)
10467,c(34.18615833, -88.0976)
10468,c(32.79608611, -85.235725)
10469,c(33.39989167, -86.78705278)
10470,c(33.54484167, -86.78510833)
10471,c(33.37140833, -86.77816667)
10472,c(33.50601667, -86.84239444)
10473,c(33.49207222, -86.86843333)
10474,c(34.33573889, -86.90218889)
10475,c(34.65268611, -86.87941111)
10476,c(34.4723, -86.58560833)
10477,c(30.82260833, -87.77369722)
10478,c(30.67928611, -88.12766944)
10479,c(33.52000833, -86.91558056)
10480,c(31.01898889, -87.86078056)
10481,c(34.636325, -87.64894722)
10482,c(34.01842778, -85.99315)
10483,c(33.79984722, -86.86974167)
10484,c(33.52098889, -86.78470833)
10485,c(33.90198333, -87.14729167)
10486,c(32.88655, -85.87186667)
10487,c(32.32597778, -86.34561111)
10488,c(32.27263611, -85.30445)
10489,c(31.08746111, -85.95170556)
10490,c(33.74816389, -86.68436944)
10491,c(33.60011944, -85.48325833)
10492,c(32.54910278, -85.52883333)
10493,c(34.85608056, -87.05825)
10494,c(34.81513333, -87.68669444)
10495,c(32.27748611, -85.38753889)
10496,c(30.93913889, -88.12409722)
10497,c(33.31581944, -87.03642222)
10498,c(32.58282778, -85.16434722)
10499,c(34.41686944, -87.16152778)
10500,c(33.80794722, -87.23448889)
10501,c(32.39621111, -85.03215833)
10502,c(34.26909444, -86.05895556)
10503,c(31.04172222, -85.84841667)
10504,c(30.91663611, -88.27211944)
10505,c(34.69343056, -87.62211111)
10506,c(33.97456944, -86.04237778)
10507,c(34.53246667, -85.82961111)
10508,c(34.70062778, -86.62729444)
10509,c(33.51838611, -86.79743611)
10510,c(34.69208889, -86.62751667)
10511,c(34.50293056, -87.73850833)
10512,c(32.85226944, -85.27154444)
10513,c(34.18125556, -86.15685833)
10514,c(30.60831944, -88.07484722)
10515,c(33.53759167, -86.784475)
10516,c(33.04453056, -87.38225)
10517,c(34.83062778, -86.69988056)
10518,c(32.45358333, -85.6051)
10519,c(34.88533056, -87.905675)
10520,c(32.59227222, -85.506025)
10521,c(33.62090556, -85.92312778)
10522,c(34.85861944, -85.61341667)
10523,c(33.45818056, -87.099625)
10524,c(34.77768611, -87.12489722)
10525,c(33.82618333, -86.83023056)
10526,c(33.11144722, -87.43035833)
10527,c(32.18803889, -85.84220278)
10528,c(32.62739167, -85.50083889)
10529,c(31.27871111, -85.14579167)
10530,c(30.63053889, -87.88702778)
10531,c(31.43847222, -85.65687778)
10532,c(31.08428611, -87.58785556)
10533,c(33.09205, -87.4585)
10534,c(34.79221389, -87.09791944)
10535,c(34.62806667, -86.9107)
10536,c(34.420525, -85.94458333)
10537,c(33.25454722, -86.21264722)
10538,c(32.48479444, -85.00660278)
10539,c(32.14475833, -85.71346944)
10540,c(34.6848, -87.56411667)
10541,c(34.51752222, -87.67285556)
10542,c(34.72394444, -87.82126389)
10543,c(30.89733056, -87.77675556)
10544,c(34.54708333, -86.43003056)
10545,c(30.71976111, -88.14605556)
10546,c(31.416425, -86.56036389)
10547,c(34.877625, -87.53623611)
10548,c(32.84231111, -85.77485278)
10549,c(32.49742222, -85.02007778)
10550,c(33.39258889, -86.80648333)
10551,c(34.62673889, -85.97542778)
10552,c(30.65475833, -87.91194722)
10553,c(31.25410556, -87.04397778)
10554,c(33.72565, -85.87718333)
10555,c(33.96945278, -86.40543333)
10556,c(33.06909167, -85.49071944)
10557,c(34.54598333, -86.93200556)
10558,c(34.74196667, -86.60048611)
10559,c(34.84375, -87.64636944)
10560,c(33.9964, -86.86057778)
10561,c(30.85523333, -88.07256111)
10562,c(33.23550833, -86.80533333)
10563,c(34.68056944, -85.58426667)
10564,c(33.54473611, -86.59306111)
10565,c(30.59691667, -88.15346667)
10566,c(33.52087222, -86.81475278)
10567,c(30.55764722, -88.20528889)
10568,c(30.49671944, -88.33305833)
10569,c(33.175525, -87.40026667)
10570,c(33.59649444, -86.37694167)
10571,c(34.28402778, -86.90480833)
10572,c(33.52122778, -86.82593056)
10573,c(30.63695556, -88.09528889)
10574,c(33.59716667, -86.89134167)
10575,c(33.22281111, -87.17944444)
10576,c(33.34067222, -87.02091667)
10577,c(33.55961944, -86.73916111)
10578,c(33.51151944, -86.82094444)
10579,c(33.52130556, -86.81429722)
10580,c(33.51209444, -86.87548889)
10581,c(33.42619722, -86.70472222)
10582,c(32.42451667, -86.36027222)
10583,c(33.28962778, -87.57020833)
10584,c(33.50513611, -86.85987778)
10585,c(33.38648333, -85.35271389)
10586,c(34.84587778, -87.37943889)
10587,c(32.48125, -86.20092778)
10588,c(34.89658889, -86.75595833)
10589,c(33.60173889, -85.82938056)
10590,c(30.24895, -87.76698611)
10591,c(33.21865278, -87.69880833)
10592,c(33.93038611, -86.31388333)
10593,c(32.35872778, -86.26480833)
10594,c(33.70413889, -85.83256944)
10595,c(31.02073056, -85.10806389)
10596,c(33.73776944, -86.10273333)
10597,c(34.87081944, -87.69221944)
10598,c(30.54631667, -87.889225)
10599,c(33.51883333, -87.64870278)
10600,c(88.8888, 888.8888)
10601,c(30.36060556, -88.11597222)
10602,c(32.05345278, -87.73684167)
10603,c(32.84343889, -85.96011667)
10604,c(34.15547222, -85.655375)
10605,c(33.625025, -86.682275)
10606,c(34.65101667, -85.94316111)
10607,c(32.63334444, -85.43090556)
10608,c(33.50683889, -86.83626667)
10609,c(33.33021111, -85.31930833)
10610,c(33.79804722, -86.24220833)
10611,c(32.29343056, -85.69169444)
10612,c(31.98660278, -88.25724167)
10613,c(32.70205833, -88.1671)
10614,c(31.24545, -85.77659444)
10615,c(32.45077778, -88.13983333)
10616,c(33.24764722, -86.33173333)
10617,c(33.94588333, -87.21586944)
10618,c(34.74841944, -86.69222222)
10619,c(33.28153611, -85.99541667)
10620,c(31.33565833, -85.60488889)
10621,c(33.20605833, -86.58444444)
10622,c(33.36126389, -86.97235)
10623,c(32.92246667, -85.41567222)
10625,c(34.712075, -86.61209722)
10626,c(33.24718611, -86.303725)
10627,c(32.29240833, -85.00698611)
10628,c(30.99656389, -87.65152778)
10629,c(32.80196667, -86.87919444)
10630,c(33.82008889, -85.90743333)
10631,c(33.13063889, -86.27448056)
10632,c(33.71748889, -85.86785)
10633,c(34.66630556, -86.53000278)
10634,c(31.73747222, -86.238875)
10635,c(33.35559167, -86.84328056)
10636,c(34.82938889, -86.55433889)
10637,c(32.14626944, -85.69746944)
10638,c(32.06406944, -86.05503056)
10639,c(31.30173611, -88.36489167)
10640,c(33.34630833, -86.44903611)
10641,c(31.22473611, -85.61348333)
10642,c(32.40129167, -85.73715)
10643,c(32.44371389, -86.92350833)
10644,c(32.36845278, -86.27095556)
10645,c(34.14249722, -86.74184444)
10646,c(31.96268889, -85.11803889)
10647,c(31.15023056, -85.95523611)
10648,c(32.14565, -85.55918889)
10649,c(31.61098333, -85.95004444)
10650,c(33.55791667, -88.19454167)
10651,c(34.63342778, -85.74213056)
10652,c(31.01164444, -88.17186389)
10653,c(32.41816389, -85.71545)
10654,c(31.20675833, -85.62560833)
10655,c(32.38213056, -87.71999722)
10656,c(33.71381944, -85.84405556)
10657,c(33.703225, -88.12883611)
10658,c(32.32697778, -86.26823333)
10659,c(31.67390556, -85.82530278)
10660,c(33.33970556, -87.60828889)
10661,c(32.666375, -85.79513056)
10662,c(34.19599167, -86.96921389)
10663,c(32.32668611, -86.33122222)
10664,c(34.8556, -86.50921667)
10665,c(32.84658889, -85.21601667)
10666,c(32.22598611, -87.40114722)
10667,c(30.69648611, -88.11463611)
10668,c(34.93341944, -87.13540556)
10669,c(32.52446667, -86.98175278)
10670,c(33.631325, -85.81577778)
10671,c(32.47345278, -85.69280833)
10672,c(33.97943056, -85.52350833)
10673,c(31.16145833, -87.55150833)
10674,c(31.09646944, -87.08241944)
10675,c(33.87448889, -86.65496667)
10676,c(32.49420556, -88.36610278)
10677,c(33.65011389, -85.71823889)
10678,c(30.25603611, -87.64104722)
10679,c(33.603825, -85.78615)
10680,c(32.72818056, -85.23381944)
10681,c(31.72035833, -85.26771667)
10682,c(33.08368333, -86.73578889)
10683,c(32.42115833, -87.01980278)
10684,c(33.27357778, -87.62020278)
10685,c(33.45609722, -86.78605556)
10686,c(33.50354722, -86.81112778)
10687,c(32.60284444, -85.52328056)
10688,c(30.97539167, -88.02689167)
10689,c(32.36597778, -86.32711944)
10690,c(33.30525833, -86.79031111)
10691,c(33.16853611, -87.55661944)
10692,c(33.34848056, -87.02056667)
10693,c(33.39006944, -86.98608611)
10694,c(30.66182778, -88.12650556)
10695,c(33.49513333, -86.91443056)
10696,c(30.61415, -87.57322778)
10697,c(33.55042778, -86.74583611)
10698,c(33.33398611, -86.77938056)
10699,c(34.17559444, -85.96459167)
10700,c(33.57756944, -86.00398889)
10701,c(34.71947222, -86.62755556)
10702,c(33.55872222, -86.73154444)
10703,c(33.53202222, -86.79961944)
10704,c(33.45463889, -86.89731389)
10705,c(34.54442222, -86.42764167)
10706,c(30.61026944, -88.22492778)
10707,c(31.29830556, -85.791075)
10708,c(34.58713889, -87.03503611)
10709,c(31.55009722, -87.92776111)
10710,c(30.35552778, -87.74094444)
10711,c(33.50600833, -86.81101944)
10712,c(34.70083333, -86.81766667)
10713,c(32.57745833, -85.75910556)
10714,c(31.04700556, -85.68079722)
10715,c(32.43125833, -87.02950278)
10716,c(31.35271667, -85.4775)
10717,c(32.41414722, -85.03875556)
10718,c(33.60356389, -85.99527778)
10719,c(31.09514167, -85.56285833)
10720,c(31.03499722, -85.53596111)
10721,c(32.21542778, -85.91170278)
10722,c(32.81335833, -85.71044722)
10723,c(32.21536944, -85.36796111)
10724,c(33.271825, -87.61752778)
10725,c(33.47046389, -86.11048333)
10726,c(34.83709167, -87.07998611)
10727,c(32.47480556, -86.44572222)
10728,c(34.56194167, -86.9725)
10729,c(34.95077222, -87.68608611)
10730,c(32.32683889, -86.30728056)
10731,c(32.30345833, -86.20901944)
10732,c(33.82425833, -85.81258611)
10733,c(34.5652, -86.16025)
10734,c(33.92425833, -88.15011667)
10735,c(33.23978889, -86.55436944)
10736,c(31.31274444, -85.97944167)
10737,c(33.41881944, -86.98181667)
10738,c(33.94959167, -85.94795556)
10739,c(34.71418611, -85.75062778)
10740,c(34.94023333, -86.42320833)
10741,c(31.02483889, -87.46308056)
10742,c(34.28598611, -88.06469167)
10743,c(33.60033611, -86.11580833)
10744,c(33.11011667, -86.23283611)
10745,c(32.42377222, -86.22695278)
10746,c(33.30253333, -85.547375)
10747,c(33.94849722, -87.04236944)
10748,c(33.83252222, -86.24764444)
10749,c(31.17181667, -85.40215556)
10750,c(33.49449167, -86.83264444)
