"ST_CASE","geometry"
10001,c(32.43313333, -86.09485)
10002,c(33.48465833, -86.83954444)
10003,c(33.29994167, -86.36964167)
10004,c(33.79507222, -85.88348611)
10005,c(32.84841389, -86.08354722)
10006,c(34.50894167, -86.67485556)
10007,c(33.3958, -86.94728889)
10008,c(31.95976111, -87.79064167)
10009,c(31.49026944, -85.73967778)
10010,c(34.42458333, -86.26212222)
10011,c(34.64916111, -87.16822778)
10012,c(33.44936111, -86.92616389)
10013,c(33.17551389, -87.45895278)
10014,c(31.19705556, -87.05590833)
10015,c(31.14072222, -85.51620556)
10016,c(34.26489722, -86.49575278)
10017,c(33.47931944, -86.78717778)
10018,c(34.26724444, -86.88271389)
10019,c(32.47470556, -84.99638333)
10020,c(33.51929722, -87.00559444)
10021,c(30.68204167, -88.06745278)
10022,c(34.06766111, -86.56032222)
10023,c(34.05736944, -88.03118056)
10024,c(32.58445833, -85.17462778)
10025,c(34.94832778, -87.82361111)
10026,c(33.72414167, -86.28841389)
10027,c(31.464, -88.03200278)
10028,c(33.49608056, -86.81624444)
10029,c(30.53680833, -88.24033611)
10030,c(32.44026111, -85.83268889)
10031,c(33.57496667, -86.48591111)
10032,c(33.67416389, -86.82925278)
10033,c(30.97843056, -87.71637222)
10034,c(33.341675, -86.89884444)
10035,c(33.17127222, -87.54825833)
10036,c(30.95826111, -87.80111944)
10037,c(33.17029167, -87.55260278)
10038,c(33.54449722, -86.64278889)
10039,c(34.123125, -85.91501389)
10040,c(34.44817778, -86.86934167)
10041,c(30.75396111, -88.20454722)
10042,c(33.358475, -85.42518333)
10043,c(31.50393056, -86.35542222)
10044,c(32.60258056, -86.36498611)
10045,c(34.75841944, -86.64116944)
10046,c(33.35074722, -86.53566667)
10047,c(30.43598056, -87.74242778)
10048,c(34.7406, -86.62809167)
10049,c(31.13909167, -87.46351389)
10050,c(33.03066111, -86.8723)
10051,c(31.42348611, -87.16169167)
10052,c(32.15313889, -85.70260278)
10053,c(32.10327222, -87.817025)
10054,c(31.09968056, -85.58911667)
10055,c(32.71211944, -85.97814167)
10056,c(31.87916111, -86.73305833)
10057,c(31.72299722, -85.74411111)
10058,c(32.31468056, -87.24141667)
10059,c(34.35930833, -85.95434722)
10060,c(34.2799, -86.23803889)
10061,c(33.1921, -87.46683333)
10062,c(33.58196667, -86.92234444)
10063,c(31.47588611, -87.33756667)
10064,c(33.58096111, -86.91989167)
10065,c(31.43448056, -85.63309444)
10066,c(33.6728, -86.280725)
10067,c(32.83206111, -86.68208889)
10069,c(33.84549722, -86.269525)
10070,c(33.19900278, -87.48229444)
10071,c(31.72270833, -86.08243611)
10072,c(31.20675556, -85.6256)
10073,c(30.99323056, -88.3312)
10074,c(32.00764444, -85.93280278)
10075,c(33.93625556, -87.32323611)
10076,c(31.20031111, -85.76842222)
10077,c(32.11184167, -87.97593889)
10078,c(34.90070278, -87.47831667)
10079,c(32.41121667, -85.04750278)
10080,c(34.61964167, -86.13480556)
10081,c(34.38554167, -87.63837222)
10082,c(31.2421, -85.58913333)
10083,c(34.59944167, -86.79354167)
10084,c(31.53880833, -87.88701389)
10085,c(34.83075278, -87.97306667)
10086,c(33.39946389, -86.08250556)
10087,c(34.76981667, -87.666725)
10088,c(33.78340556, -85.919675)
10089,c(31.52631944, -86.71785556)
10090,c(34.17336389, -86.53299167)
10091,c(34.13319167, -86.830975)
10092,c(32.46735278, -87.59396667)
10093,c(33.59998889, -86.56984722)
10094,c(33.54817222, -87.12646667)
10095,c(31.25979444, -86.47035278)
10096,c(30.71938333, -88.13892222)
10097,c(34.40423611, -85.96555833)
10098,c(33.97965833, -85.52133889)
10099,c(34.94947222, -86.78562778)
10100,c(34.76422222, -86.64555)
10101,c(34.05871389, -86.46934167)
10102,c(30.53750556, -88.23891389)
10103,c(32.36784444, -86.29968611)
10104,c(30.68059167, -88.127175)
10105,c(32.96093056, -87.82379722)
10106,c(32.36591111, -86.09650833)
10107,c(32.71838889, -86.53108056)
10108,c(30.69526389, -88.12479167)
10109,c(32.8692, -86.61034167)
10110,c(30.780875, -88.09827778)
10111,c(33.49411944, -86.91571667)
10112,c(33.8034, -86.82490556)
10113,c(34.58400278, -87.415975)
10114,c(33.46, -86.87811667)
10115,c(33.53155556, -86.76963056)
10116,c(33.79708056, -86.68642222)
10117,c(31.57126944, -87.85046667)
10118,c(33.61959444, -86.7891)
10119,c(31.83043056, -86.35746111)
10120,c(34.72001111, -86.59115556)
10121,c(34.84113056, -85.75276944)
10122,c(32.34398056, -86.22313333)
10123,c(33.61901389, -86.73861944)
10124,c(33.50519167, -86.00268056)
10125,c(33.34549722, -86.23196389)
10126,c(34.18701667, -87.21153611)
10127,c(34.36176667, -86.40290278)
10128,c(32.61203333, -85.45984444)
10129,c(34.51545, -87.29174444)
10130,c(32.37499722, -85.03712778)
10131,c(33.72114722, -85.49009722)
10132,c(32.67768889, -86.30459444)
10133,c(33.55145833, -86.88343611)
10134,c(32.00333333, -88.34351667)
10135,c(33.945475, -86.19660833)
10136,c(33.81730278, -87.05041944)
10137,c(32.81508056, -85.17124722)
10138,c(33.00176667, -87.23998333)
10139,c(34.57082778, -87.68378889)
10140,c(33.60575833, -86.79755833)
10141,c(33.90846944, -87.09305278)
10142,c(31.25620278, -85.24524167)
10143,c(34.57061667, -87.91744167)
10144,c(33.56416111, -86.03959722)
10145,c(34.25106667, -86.10591111)
10146,c(31.04494444, -85.53697778)
10147,c(32.43943889, -86.21697222)
10148,c(33.78340833, -86.97199722)
10149,c(34.47243333, -87.01998056)
10150,c(33.33998889, -86.18894444)
10151,c(31.72233056, -86.83305556)
10152,c(32.59923056, -85.80194444)
10153,c(31.25646111, -85.4611)
10154,c(33.57077778, -86.75395)
10155,c(32.50546944, -85.61073333)
10156,c(31.44631111, -85.66569444)
10157,c(34.32428333, -86.90070833)
10158,c(33.48608889, -86.35100556)
10159,c(34.46754167, -87.05464444)
10160,c(31.01840833, -87.23039167)
10161,c(34.13048611, -86.53979722)
10162,c(33.25834444, -87.69906944)
10163,c(31.98490278, -86.50312778)
10164,c(32.73130278, -85.29283889)
10165,c(33.50039722, -86.81433611)
10166,c(32.80614444, -85.22691389)
10167,c(33.86250556, -87.39317222)
10168,c(32.660325, -85.34126111)
10169,c(32.44931944, -85.75006667)
10170,c(32.52345, -86.44104444)
10171,c(34.27480556, -85.88024167)
10172,c(30.66610278, -88.12746111)
10173,c(33.50520833, -86.85446667)
10174,c(34.70581667, -86.58885556)
10176,c(34.87966667, -86.44674444)
10177,c(34.33304444, -87.71826389)
10178,c(33.27318889, -86.51004167)
10179,c(34.35842778, -87.59974722)
10180,c(33.49855, -86.70865833)
10181,c(33.60842778, -86.68896667)
10182,c(33.88901389, -87.49762778)
10183,c(31.32424722, -85.82539444)
10184,c(31.89215833, -85.308375)
10185,c(32.462375, -86.12166389)
10186,c(34.65580556, -86.10714444)
10187,c(32.15759167, -86.11290833)
10188,c(34.51978056, -87.29436389)
10190,c(32.57805, -86.15521667)
10191,c(34.95091667, -86.78666111)
10192,c(34.42400556, -85.93924444)
10193,c(33.25102222, -87.13400556)
10194,c(34.15727778, -86.46378333)
10195,c(32.40020833, -86.22177778)
10196,c(32.35941667, -86.09588333)
10197,c(33.15491944, -87.54878056)
10198,c(33.05033889, -87.13414444)
10199,c(31.46472778, -87.35318611)
10200,c(34.46006389, -86.94760556)
10201,c(33.46453611, -86.75705833)
10202,c(34.91023611, -87.68719167)
10203,c(34.20625556, -86.85942222)
10204,c(34.04996944, -87.16705)
10205,c(33.961325, -86.64896111)
10206,c(32.43547222, -86.21872778)
10207,c(33.46616944, -87.05753056)
10208,c(31.31367222, -85.78477222)
10209,c(33.89948889, -86.03865)
10210,c(34.04395, -86.11128333)
10211,c(31.23761667, -85.52397778)
10212,c(32.33880833, -85.22884444)
10213,c(33.08268611, -85.86376389)
10214,c(32.67565556, -85.35411944)
10215,c(33.2013, -85.41501944)
10216,c(33.99733611, -86.12445833)
10217,c(34.147475, -86.78220556)
10218,c(30.47284722, -88.358)
10219,c(32.97855833, -86.00443611)
10220,c(34.75636944, -87.513125)
10221,c(33.03813056, -86.12740278)
10222,c(34.64282778, -87.65159444)
10223,c(33.40238889, -86.78660833)
10224,c(34.57855833, -87.45148611)
10225,c(33.5888, -86.30544167)
10226,c(34.3536, -85.67762222)
10227,c(33.91050833, -86.33626944)
10228,c(30.60624722, -87.74058333)
10229,c(32.83405833, -88.06528889)
10230,c(34.628375, -86.92428333)
10231,c(33.50555278, -87.75750833)
10232,c(30.808275, -88.31653611)
10233,c(34.71951944, -86.57361944)
10234,c(32.93655833, -86.61577222)
10235,c(32.51580556, -85.09479722)
10236,c(30.69829722, -88.23828889)
10237,c(32.82139444, -85.60930833)
10238,c(33.58699722, -86.68313889)
10239,c(34.51267222, -86.87813889)
10240,c(31.37155833, -85.88556944)
10242,c(33.33520556, -86.94613333)
10243,c(30.75, -88.09726111)
10244,c(33.48442222, -86.918825)
10245,c(33.69986389, -86.52506667)
10246,c(33.31902222, -86.78682778)
10247,c(31.02217778, -87.65139167)
10248,c(33.47441667, -86.92891667)
10249,c(34.60429444, -86.89833889)
10250,c(34.85634444, -86.92805)
10251,c(31.56023611, -86.86529167)
10252,c(34.79078333, -86.9392)
10253,c(32.21713333, -86.39986389)
10254,c(30.62780278, -87.60538333)
10255,c(30.57955556, -88.08345278)
10256,c(34.9436, -86.48232778)
10257,c(33.85326944, -85.91561667)
10258,c(33.0024, -86.86798889)
10259,c(33.54635278, -86.21763889)
10260,c(33.41402778, -88.151575)
10261,c(33.62515278, -85.8317)
10262,c(33.895725, -87.81364722)
10263,c(33.96368333, -85.75076111)
10264,c(32.43849167, -87.11839167)
10265,c(32.45634167, -85.76093333)
10266,c(34.33459444, -86.85260833)
10267,c(30.58741667, -87.66623611)
10268,c(33.51181667, -86.84919722)
10269,c(34.73606111, -86.60955)
10270,c(30.771325, -88.26853333)
10271,c(32.80212778, -87.95875278)
10272,c(33.36948889, -86.23785)
10273,c(31.61683333, -87.25696667)
10274,c(33.12975833, -85.85993056)
10275,c(34.74339167, -86.05028611)
10276,c(34.79075, -87.0895)
10277,c(31.393575, -88.03842778)
10278,c(32.80740556, -86.79234167)
10279,c(30.60253889, -88.22516667)
10280,c(30.89222222, -88.27081111)
10281,c(32.54316944, -86.51496667)
10282,c(32.52289722, -85.26249167)
10283,c(32.59497222, -87.59230556)
10284,c(33.63825833, -85.82965)
10285,c(33.44654444, -86.602175)
10286,c(31.725175, -85.81120556)
10287,c(34.27222778, -85.78463056)
10288,c(30.69211944, -88.06313611)
10289,c(34.76326944, -86.74956667)
10290,c(31.72708333, -85.60228056)
10291,c(33.59986944, -86.56931111)
10292,c(34.79928333, -87.13911944)
10293,c(34.10298333, -86.26093611)
10294,c(34.86699444, -86.45536389)
10295,c(33.92352222, -87.39382778)
10296,c(34.74972778, -86.67482222)
10297,c(34.93388333, -87.76369722)
10298,c(32.46215556, -85.60700556)
10299,c(33.32659444, -86.95660556)
10300,c(32.34969722, -86.96529167)
10301,c(31.78958889, -86.6285)
10302,c(34.32457778, -85.97091667)
10303,c(34.36127778, -86.40188333)
10304,c(33.238375, -85.64159444)
10305,c(33.60333611, -85.83230556)
10306,c(33.27134722, -86.80994167)
10307,c(33.27745278, -87.53413889)
10308,c(34.73899722, -86.60308056)
10309,c(34.13234444, -86.12195)
10310,c(31.42590278, -85.61881944)
10311,c(32.44382222, -85.68995278)
10312,c(32.37816944, -86.17315833)
10313,c(34.18365, -86.78503889)
10314,c(34.74933611, -86.45677778)
10315,c(33.44256389, -86.29392778)
10316,c(34.83590556, -86.57125)
10317,c(34.80413889, -85.86586667)
10318,c(31.79070833, -87.50910833)
10319,c(32.47085833, -85.00215)
10320,c(31.12947222, -88.00988333)
10321,c(33.45192778, -86.19374722)
10322,c(33.31057222, -86.73528056)
10323,c(31.14194444, -86.69310833)
10324,c(33.12325556, -86.84493333)
10325,c(32.99447778, -87.05365278)
10326,c(30.76041389, -88.15148889)
10327,c(33.81637778, -86.59953056)
10328,c(32.30576944, -86.23905556)
10329,c(33.20165, -88.20460556)
10330,c(33.41244722, -86.17866111)
10331,c(30.76669444, -88.12483889)
10332,c(30.33375833, -87.68325)
10333,c(31.79206111, -87.26287222)
10334,c(34.73501944, -86.63306944)
10335,c(31.73836389, -85.60416111)
10336,c(33.94140278, -86.46206667)
10337,c(33.07687778, -85.33655833)
10338,c(34.18246389, -85.92813333)
10339,c(31.19581944, -85.37602222)
10340,c(34.78625556, -87.54821389)
10341,c(34.75677222, -86.71893056)
10342,c(34.05599444, -87.80643333)
10343,c(34.57992778, -86.44967222)
10344,c(34.089325, -85.49675556)
10345,c(32.35550278, -85.18604722)
10346,c(31.23442778, -85.59992778)
10347,c(34.30466389, -86.28635278)
10348,c(33.61910278, -85.62777222)
10349,c(32.00342778, -86.52303611)
10350,c(33.22588611, -87.175225)
10351,c(33.60776111, -86.25503889)
10352,c(34.70706389, -86.67059167)
10353,c(34.79051667, -86.98341944)
10354,c(30.73261389, -88.11862778)
10355,c(33.167, -86.77476389)
