"fips"|"regular_pub"|"alt_pub"|"special_pub"|"votech_pub"|"nat_lunch_participant"|"nat_lunch_CEOprov_eligible"|"pub_prek"|"pub_total_students"|"pub_fte_teachers"|"regular_pri"|"alt_pri"|"special_pri"|"votech_pri"|"other_private_edu"|"private_school"|"religious"|"pri_prek"|"pri_total_students"|"pri_fte_teachers"
"010010202001"|1|0|0|0|1|0|0|1031|53|0|0|0|0|0|0|0|0|0|0
"010010202002"|1|0|0|0|1|0|1|714|37|0|0|0|0|2|2|2|2|35|4.1
"010010203001"|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|6|1
"010010203002"|0|0|0|0|0|0|0|0|0|1|0|0|0|0|1|1|0|25|1
"010010205011"|1|0|1|0|2|0|0|1002|0|0|0|0|0|0|0|0|0|0|0
"010010207001"|2|1|0|0|3|0|0|1224|71|0|0|0|0|0|0|0|0|0|0
"010010207002"|1|0|0|0|1|0|1|474|27|0|0|0|0|0|1|0|1|59|7
"010010208013"|0|0|0|0|0|0|0|0|0|1|0|0|0|0|1|0|1|255|22.9
"010010208041"|1|0|0|1|2|0|0|1929|109|0|0|0|0|0|0|0|0|0|0
"010010209011"|1|0|0|0|1|0|0|456|25|0|0|0|0|0|0|0|0|0|0
"010010209012"|2|0|0|0|2|0|1|1531|85|0|0|0|0|0|0|0|0|0|0
"010010210003"|1|0|0|0|1|0|0|572|34|0|0|0|0|0|0|0|0|0|0
"010010211004"|1|0|0|0|1|0|1|269|18|0|0|0|0|0|0|0|0|0|0
"01003"|0|0|0|0|0|0|0|0|0|4|0|0|0|2|7|5|4|1456|118.9
"010030102001"|1|0|0|0|1|0|1|631|33.33|0|0|0|0|0|0|0|0|0|0
"010030103002"|1|0|0|0|1|0|1|211|13.05|0|0|0|0|0|0|0|0|0|0
"010030103003"|1|0|0|0|1|0|0|1039|62.5|0|0|0|0|0|0|0|0|0|0
"010030103005"|0|0|0|1|1|0|0|0|7.5|0|0|0|0|0|0|0|0|0|0
"010030104003"|2|0|0|0|2|0|2|655|40.98|0|0|0|0|0|0|0|0|0|0
"010030105002"|1|0|0|0|1|0|0|435|29.5|0|0|0|0|0|0|0|0|0|0
"010030105004"|1|0|0|0|1|0|1|796|48.84|0|0|0|0|0|0|0|0|0|0
"010030107072"|1|0|0|0|1|0|1|763|47.1|0|0|0|0|0|0|0|0|0|0
"010030107082"|3|0|0|0|3|0|1|2534|155.69|0|0|0|0|0|0|0|0|0|0
"010030107084"|1|0|0|0|1|0|0|509|29.4|0|0|0|0|0|0|0|0|0|0
"010030107092"|1|0|0|0|1|0|0|1725|90.4|0|0|0|0|0|0|0|0|0|0
"010030107093"|1|0|0|0|1|0|1|1068|59.34|0|0|0|0|0|0|0|0|0|0
"010030107102"|2|0|0|0|2|0|1|1776|103.03|0|0|0|0|0|0|0|0|0|0
"010030108001"|1|0|0|0|1|0|0|463|24.33|0|0|0|0|0|0|0|0|0|0
"010030108002"|1|0|0|0|1|0|1|693|42.1|0|0|0|0|0|0|0|0|0|0
"010030108003"|2|0|0|0|2|0|0|514|37.2|0|0|0|0|0|0|0|0|0|0
"010030109032"|1|0|0|0|1|0|0|757|43|0|0|0|0|0|0|0|0|0|0
"010030109033"|1|0|0|0|1|0|1|482|33.39|0|0|0|0|0|0|0|0|0|0
"010030109041"|1|0|0|0|1|0|1|362|23.18|0|0|0|0|0|0|0|0|0|0
"010030109043"|1|0|0|0|1|0|1|345|21.38|0|0|0|0|0|0|0|0|0|0
"010030109063"|1|1|0|1|3|0|1|0|86.75|0|0|0|0|0|0|0|0|0|0
"010030109071"|1|0|0|0|1|0|1|485|28.9|0|0|0|0|0|0|0|0|0|0
"010030109082"|1|0|0|0|1|0|0|1450|77|0|0|0|0|0|0|0|0|0|0
"010030110002"|1|0|0|0|1|0|1|573|33.85|0|0|0|0|0|0|0|0|0|0
"010030111021"|1|0|0|0|1|0|1|827|51.3|0|0|0|0|0|0|0|0|0|0
"010030111022"|2|0|0|0|2|0|0|2406|149.34|0|0|0|0|0|0|0|0|0|0
"010030112012"|2|0|0|0|2|0|1|1747|109.8|0|0|0|0|0|0|0|0|0|0
"010030114093"|1|0|0|0|1|0|1|894|55.5|0|0|0|0|0|0|0|0|0|0
"010030114104"|1|0|0|0|1|0|1|118|10.3|0|0|0|0|0|0|0|0|0|0
"010030114142"|1|0|0|0|1|0|1|628|28|0|0|0|0|0|0|0|0|0|0
"010030114171"|1|0|0|0|1|0|0|631|33|0|0|0|0|0|0|0|0|0|0
"010030114181"|3|0|0|0|3|0|1|2450|141|0|0|0|0|0|0|0|0|0|0
"010030115012"|2|0|0|0|2|0|1|1775|117.7|0|0|0|0|0|0|0|0|0|0
"010030115033"|2|0|0|0|2|0|1|2493|144.2|0|0|0|0|0|0|0|0|0|0
"010030116011"|2|0|0|0|2|0|0|1051|59|0|0|0|0|0|0|0|0|0|0
"010030116012"|1|0|0|0|1|0|1|884|51|1|0|0|0|0|1|1|1|109|13.3
"010059501001"|2|1|0|0|3|2|0|1255|0|0|0|0|0|0|0|0|0|0|0
"010059502003"|2|0|0|0|2|2|1|452|23|0|0|0|0|0|0|0|0|0|0
"010059503001"|1|0|0|0|1|1|0|263|14|0|0|0|0|0|0|0|0|0|0
"010059506001"|0|0|0|0|0|0|0|0|0|1|0|0|0|0|1|0|1|48|9.6
"010059507001"|1|0|0|0|1|1|1|661|38|0|0|0|0|0|0|0|0|0|0
"010059507002"|1|0|0|0|1|0|0|3901|0|0|0|0|0|0|0|0|0|0|0
"010059508002"|1|0|0|0|1|1|0|472|27|0|0|0|0|0|0|0|0|0|0
"010070100012"|3|0|0|1|4|0|1|1066|0|0|0|0|0|0|0|0|0|0|0
"010070100053"|1|0|0|0|1|0|1|300|17|0|0|0|0|0|0|0|0|0|0
"010070100071"|1|0|0|0|1|0|1|235|11|0|0|0|0|0|0|0|0|0|0
"010070100072"|1|0|0|0|1|0|0|425|25|0|0|0|0|0|0|0|0|0|0
