"010450201001","+31.5866642","-085.7133065","within","36311","36311"
"010690417001","+31.2953514","-085.1102016","within","36319","36319"
"010690420003","+31.0372766","-085.3465791","within","36320","36320"
"010450214002","+31.3234328","-085.4944888","within","36350","36350"
"010610506002","+31.0354048","-085.5299119","within","36375","36375"
"010399630003","+30.9998312","-086.3402416","within","36442","36442"
"010399630004","+31.0080897","-086.3087322","within","36442","36442"
"010990761002","+31.4445854","-087.4533924","within","36445","36445"
"010259578006","+31.6855211","-087.8186244","within","36451","36451"
"010310106001","+31.2280436","-086.1703871","within","36453","36453"
"010990762002","+31.3249928","-087.6520763","within","36480","36480"
"011290440003","+31.4485135","-088.3820548","within","36518","36518"
"010970072021","+30.2667947","-088.1002267","within","36528","36528"
"010970072023","+30.2442996","-088.0923673","within","36528","36528"
"010030116014","+30.3405898","-087.5733145","within","36530","36530"
"010030109033","+30.5849144","-087.7877588","within","36551","36551"
"010030109031","+30.6302234","-087.7854819","within","36551","36551"
"010030109032","+30.5972137","-087.7439430","within","36551","36551"
"011290439002","+31.5653080","-088.3847512","within","36558","36558"
"011290439003","+31.6530201","-088.3802557","within","36558","36558"
"010970056001","+30.8644539","-088.0412208","within","36572","36572"
"010970062002","+30.8007673","-088.3759884","within","36587","36587"
"010857810001","+32.3075989","-086.6459684","within","36752","36752"
"010857811002","+32.0319825","-086.8247099","within","36761","36761"
"010479569002","+32.2489898","-087.1760498","within","36767","36767"
"010919733003","+32.1216157","-087.9687409","within","36782","36782"
"010919733002","+32.1031340","-087.8495481","within","36782","36782"
"011056871004","+32.3579783","-087.4768607","within","36786","36786"
"011056871003","+32.4837825","-087.4892772","within","36786","36786"
"011056871002","+32.4211174","-087.4537159","within","36786","36786"
"010239568001","+32.1305347","-088.1123205","within","36904","36904"
"010239567001","+32.2060585","-088.2176610","within","36912","36912"
"010239567003","+32.2298457","-088.3849714","within","36912","36912"
"010239570001","+31.7446459","-088.2320555","within","36919","36919"
"010730141023","+33.4505165","-087.2404843","within","35006","35006"
"011210112001","+33.3812506","-086.3149452","within","35014","35014"
"010090504003","+34.1317447","-086.5411277","within","35031","35031"
"010090505002","+34.0838818","-086.6325853","within","35031","35031"
"010090505001","+34.0719564","-086.5416216","within","35031","35031"
"010070100031","+32.9571540","-087.0491085","within","35042","35042"
"011170302142","+33.3265599","-086.6744825","within","35043","35043"
"011210113001","+33.2998946","-086.3425079","within","35044","35044"
"011210113005","+33.2534695","-086.4191011","within","35044","35044"
"010439656002","+34.0305069","-087.0852519","within","35053","35053"
"011150402052","+33.4814246","-086.3058012","within","35054","35054"
"010730115004","+33.6876856","-087.0266746","within","35062","35062"
"010730115003","+33.7317465","-087.0062361","within","35062","35062"
"010730120024","+33.6030537","-086.8296477","within","35068","35068"
"010379610001","+33.0750334","-086.0719031","within","35072","35072"
"010379610002","+33.0550787","-086.0255439","within","35072","35072"
"010090506021","+33.9380665","-086.7497081","within","35079","35079"
"010730113023","+33.7500499","-086.7787071","within","35116","35116"
"010730122001","+33.5967067","-087.1301187","within","35130","35130"
"011270216002","+33.6312028","-087.1760224","within","35130","35130"
"011170307042","+33.0543138","-086.5536946","within","35143","35143"
"011210115003","+33.1196940","-086.3393663","within","35151","35151"
"011210115004","+33.1266465","-086.4279488","within","35151","35151"
"011170301021","+33.4162793","-086.4118271","within","35178","35178"
"010439643003","+34.2494569","-086.8300389","within","35179","35179"
"010070100012","+33.0647555","-087.1339562","within","35184","35184"
"010630602001","+32.7620932","-088.0252557","within","35443","35443"
"011070503002","+33.2310533","-088.0882608","within","35447","35447"
"011250107013","+33.0486260","-087.4514580","within","35456","35456"
"010630601005","+32.8372858","-087.9304696","within","35462","35462"
"010630601004","+32.7798776","-087.9366363","within","35462","35462"
"011070501003","+33.3536175","-088.0563279","within","35481","35481"
"011270209003","+33.9580314","-087.2619242","within","35503","35503"
