"geoid","lat","lon","parse","zcta","zcNAME"
"010750301012","+33.7621518","-088.1289937","within","35592","35592"
"geoid","lat","lon","parse","zcta","zcNAME"
"010330210002","+34.7710974","-087.9404226","within","35616","35616"
"geoid","lat","lon","parse","zcta","zcNAME"
"010330210003","+34.7566844","-087.9718331","within","35616","35616"
"geoid","lat","lon","parse","zcta","zcNAME"
"010750301012","+33.7621518","-088.1289937","within","35592","35592"
"geoid","lat","lon","parse","zcta","zcNAME"
"010330210002","+34.7710974","-087.9404226","within","35616","35616"
"geoid","lat","lon","parse","zcta","zcNAME"
"010330210003","+34.7566844","-087.9718331","within","35616","35616"
"geoid","lat","lon","parse","zcta","zcNAME"
"011010025002","+32.4132660","-086.2799546","within","36110","36110"
"geoid","lat","lon","parse","zcta","zcNAME"
"011010051022","+32.4303415","-086.2702602","within","36110","36110"
"geoid","lat","lon","parse","zcta","zcNAME"
"011010051021","+32.4318013","-086.2906755","within","36110","36110"
"geoid","lat","lon","parse","zcta","zcNAME"
"011010004001","+32.4096369","-086.2818008","within","36110","36110"
"geoid","lat","lon","parse","zcta","zcNAME"
"010450211021","+31.2989114","-085.7306965","within","36322","36322"
"geoid","lat","lon","parse","zcta","zcNAME"
"010990759022","+31.5215028","-087.3299260","within","36460","36460"
"geoid","lat","lon","parse","zcta","zcNAME"
"010990759021","+31.5076461","-087.3377583","within","36460","36460"
"geoid","lat","lon","parse","zcta","zcNAME"
"010990759023","+31.5466415","-087.3505404","within","36460","36460"
"geoid","lat","lon","parse","zcta","zcNAME"
"010990760003","+31.5308415","-087.3129309","within","36460","36460"
"geoid","lat","lon","parse","zcta","zcNAME"
"010259579023","+31.5137993","-087.8995775","within","36545","36545"
"geoid","lat","lon","parse","zcta","zcNAME"
"010259579022","+31.5269695","-087.8833393","within","36545","36545"
"geoid","lat","lon","parse","zcta","zcNAME"
"010970012002","+30.6681903","-088.0526965","within","36603","36603"
"geoid","lat","lon","parse","zcta","zcNAME"
"010970005002","+30.6966875","-088.0669198","within","36603","36603"
"geoid","lat","lon","parse","zcta","zcNAME"
"010970004014","+30.7010075","-088.0606893","within","36603","36603"
"geoid","lat","lon","parse","zcta","zcNAME"
"010970004013","+30.6957802","-088.0626077","within","36603","36603"
"geoid","lat","lon","parse","zcta","zcNAME"
"010970011003","+30.6768127","-088.0523660","within","36603","36603"
"geoid","lat","lon","parse","zcta","zcNAME"
