"fips"|"inactive_win12"|"undergrad_school_prog"|"grad_school_prog"|"hbcu"|"hospital"|"medical_school_prog"|"tribal_school_prog"|"public_college_university"|"post_secondary_institution"|"degree_granting"|"grants_associates_certificate_only"|"not_degree_granting"|"size_lt1k"|"size_1k_10k"|"size_gt10k"|"ft_noninst_academic_staff"|"ft_community_admin_staff"|"total_instructional_staff"|"total_inst_staff_salary"|"no_reported_inst_staff"|"cost_grad_instate"|"cost_grad_outstate"|"cost_oncampus_living"|"cost_undergrad_instate"|"cost_undergrad_outstate"|"est_avg_inst_staff_salary"
"010030103005"|0|1|0|0|0|0|0|1|1|1|1|0|0|1|0|194|58|336|22034882|0|NA|NA|5900|3990|7980|65580.0059523809
"010030107103"|0|1|1|0|0|0|0|1|1|1|0|0|1|0|0|29|6|10|751952|0|19440|19440|NA|17424|17424|75195.2
"010030114112"|0|1|1|0|0|0|0|1|1|1|0|0|0|0|1|506|180|614|31607446|0|3900|3900|NA|5640|5640|51477.9250814332
"010030115032"|0|1|0|0|0|0|0|1|1|0|0|1|1|0|0|0|0|0|0|0|NA|NA|NA|NA|NA|NA
"010150021011"|0|1|1|0|0|0|0|1|1|1|0|0|0|1|0|610|225|700|48728466|0|9600|19200|8320|9720|19440|69612.0942857143
"010259579023"|0|1|0|0|0|0|0|1|1|0|0|1|1|0|0|0|0|0|0|0|NA|NA|NA|NA|NA|NA
"010310113002"|0|1|0|0|0|0|0|1|1|1|1|0|0|1|0|61|34|114|9096808|0|NA|NA|NA|3690|7380|79796.5614035088
"010330207041"|0|1|0|0|0|0|0|1|1|1|1|0|0|1|0|131|37|142|8241504|0|NA|NA|NA|3690|7380|58038.7605633803
"010359605001"|0|1|0|0|0|0|0|1|1|1|1|0|1|0|0|31|16|28|1717174|0|NA|NA|NA|3690|7380|61327.6428571429
"010399620001"|0|1|0|0|0|0|0|1|1|1|1|0|0|1|0|55|27|110|6627764|0|NA|NA|5550|3990|7980|60252.4
"010439654013"|0|1|0|0|0|0|0|1|1|1|1|0|0|1|0|152|74|244|17074352|0|NA|NA|4900|3690|7380|69976.8524590164
"010450214003"|0|1|0|0|0|0|0|1|1|1|1|0|0|1|0|125|55|250|14523716|0|NA|NA|NA|3690|7380|58094.864
"010479561011"|0|1|0|0|0|0|0|1|1|1|1|0|0|1|0|80|37|84|4580214|0|NA|NA|NA|3690|7380|54526.3571428571
"010479568001"|0|1|1|1|0|0|0|1|1|0|0|0|1|0|0|7|1|2|20000|0|NA|NA|NA|NA|NA|10000
"010510309013"|0|1|0|0|0|0|0|1|1|1|1|0|1|0|0|66|21|112|7913044|0|NA|NA|NA|4788|4788|70652.1785714286
"010550016003"|0|1|0|1|0|0|0|1|1|1|1|0|0|1|0|199|80|250|15249390|0|NA|NA|4800|3936|7872|60997.56
"010690415003"|0|1|0|0|0|0|0|1|1|0|0|1|1|0|0|0|0|0|0|0|NA|NA|NA|NA|NA|NA
"010690416001"|0|0|1|0|0|1|0|1|1|1|0|0|1|0|0|0|0|0|0|0|NA|NA|NA|NA|NA|NA
"010719511013"|0|1|0|0|0|0|0|1|1|1|1|0|0|1|0|73|32|108|6895394|0|NA|NA|NA|3690|7380|63846.2407407407
"010730027012"|0|1|1|0|0|0|0|1|1|1|0|0|0|1|0|0|0|0|0|0|14940|14940|NA|13320|13320|NA
"010730030011"|0|1|0|0|0|0|0|1|1|1|0|0|0|1|0|175|74|202|13789742|0|NA|NA|13600|18850|18850|68266.0495049505
