Table 1. State Tax Collections Detailed Table: US and States: 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Dollar amounts are in thousands of dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, 2023 Annual Survey of State Government Tax Collections.  Data users who create their own estimates using data from this report should cite the U.S. Census Bureau as the source of the original data only.  The data in this table are based on information from public records and contain no confidential data.  For more information, see (https://www.census.gov/programs-surveys/stc.html).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax Type,Item,United States,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,DC,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Total Taxes,T00,1432808046,16520195,2794075,23828089,12758766,217707953,18131705,22527037,6563472,10336956,61925155,33818735,10187648,7419025,68042382,26237532,12967440,13139563,17217084,15498212,6476126,29590039,41338531,38254379,34473185,10902263,17403548,4710141,7326729,14314135,3546944,51673356,14376020,125241986,39074855,6048549,38728351,13647881,20781741,55074459,5145309,15649277,2629090,23970619,87286284,13485420,4498680,37124084,38025420,7638752,23745873,3004996
Property taxes,T01,26043377,553812,128961,1304903,1424090,3400425,X,X,X,3049563,0,831799,X,X,60109,15463,775,881689,790911,98440,43924,1069368,14073,2716683,774847,31158,41766,388902,129,1492323,306000,5068,117069,X,X,5490,X,X,21450,46214,4763,96834,X,X,X,X,1210786,49635,4484192,7702,97109,476952
Sales and gross receipts taxes,TA1,663250691,7952183,292255,14604772,6668614,72490025,7986279,8813018,646541,2374182,49680636,11397058,6256481,3741521,26911046,16548524,6243044,5677245,8349625,7939971,3093237,12642045,12165804,18114947,12947044,6878314,7011074,923794,3399841,11037458,1039064,20766404,5303250,32899677,17753703,1824505,25219847,5560003,4261656,27083929,2991720,7459355,2226224,17767575,74101335,5582038,1492253,14028519,28128280,3465335,10356276,1153165
ÿÿÿÿ General sales and gross receipts,T09,461173317,4607610,X,12509337,4980130,53565932,4606955,5952366,X,1919492,39969175,9016373,4731299,3065139,15840562,11003705,4655013,4359013,5707486,4814807,2263595,6821665,9353642,12897208,8018438,5137690,4894410,X,2747036,8091153,X,14742322,4181396,19046752,11907791,1270449,16454632,3798881,1338529,15401396,1560600,5124195,1678258,13847148,53688261,4552473,584677,7427094,22815409,1813139,7456088,954596
ÿÿÿÿ Selective sales and gross receipts taxes,TA2,202077374,3344573,292255,2095435,1688484,18924093,3379324,2860652,646541,454690,9711461,2380685,1525182,676382,11070484,5544819,1588031,1318232,2642139,3125164,829642,5820380,2812162,5217739,4928606,1740624,2116664,923794,652805,2946305,1039064,6024082,1121854,13852925,5845912,554056,8765215,1761122,2923127,11682533,1431120,2335160,547966,3920427,20413074,1029565,907576,6601425,5312871,1652196,2900188,198569
ÿÿÿÿ ÿÿÿÿ Alcoholic beverages,T10,8401215,282537,41621,91425,78615,421647,56055,80024,32230,6851,317400,227079,54513,11050,316296,59088,19715,169223,192789,79719,18456,37482,99090,204578,109108,41729,47085,48793,33926,47269,12933,181349,24400,281942,591322,10543,119171,177614,19196,476580,22225,222332,20727,319575,1788584,18555,12388,282498,490367,23679,77641,2201
ÿÿÿÿ ÿÿÿÿ Amusements,T11,11402566,0,21369,8152,92034,X,171345,45796,X,37,178424,X,X,X,1351996,730831,373106,298,64,759026,68991,1217107,320525,277874,218145,297909,392685,80113,7817,1330860,366,405179,66700,2008,0,23776,334019,31799,69,1979329,406801,58264,12241,0,26403,X,X,46124,15022,43544,177,6241
ÿÿÿÿ ÿÿÿÿ Insurance premiums,T12,32562720,563244,63446,811228,374949,3690456,533490,244452,145896,161039,1993432,519077,210527,139362,536806,268114,173028,503133,212229,1229146,133032,856566,613510,471261,752517,455697,516480,163891,87723,546898,154258,723894,388600,2456791,1169639,80032,767006,359575,173666,939974,154474,337845,105088,1274120,4179281,202989,72313,733514,847086,187006,251916,33024
ÿÿÿÿ ÿÿÿÿ Motor fuels,T13,55013600,964519,46522,871594,606074,8653271,708049,434459,133604,22486,3128212,837218,82414,404914,2469951,1651613,684506,465687,745247,628239,246677,1300976,701909,1479048,883750,455004,896123,288739,373656,376578,180109,419618,322166,1276276,2377329,185945,2726939,594864,710545,3373838,138776,1017130,191658,1273145,3832081,614307,127885,1815165,1567863,432442,1177749,116731
ÿÿÿÿ ÿÿÿÿ Public utilities,T15,13597478,757179,4566,22261,X,877428,X,287024,52064,160848,1941971,0,142194,1649,1204673,0,72671,344,78110,12241,22492,148566,5577,43601,87513,1831,X,39001,64986,49541,28056,1105989,36615,769557,124650,34463,1206368,99860,12613,1183673,98556,29538,3696,7211,827995,65901,10701,485809,838845,125828,419402,3821
