"ST_CASE","geometry"
10001,c(33.60164167, -86.31238333)
10002,c(33.54136111, -86.64374444)
10003,c(33.41979722, -86.75257222)
10004,c(33.36089444, -86.77713889)
10005,c(33.81520833, -86.82534167)
10006,c(32.513575, -86.42824444)
10007,c(34.90249444, -86.90582222)
10008,c(33.16507778, -87.54999722)
10009,c(32.36611389, -86.29035556)
10010,c(33.49375833, -86.70491667)
10011,c(33.47107778, -86.93246389)
10012,c(34.20278889, -86.87811944)
10013,c(30.65891944, -88.12539167)
10014,c(31.31439722, -85.83003889)
10015,c(33.31078889, -86.980825)
10016,c(33.36226944, -86.9713)
10017,c(34.80011111, -87.14898889)
10018,c(33.93480833, -85.62700556)
10019,c(33.68425556, -87.89543056)
10020,c(33.19918056, -87.54880556)
10021,c(33.50532778, -86.84826389)
10022,c(30.72703056, -88.17022222)
10023,c(32.57501667, -86.262975)
10024,c(30.59871667, -88.33589167)
10025,c(34.48206667, -87.65365556)
10026,c(31.29830833, -85.79107222)
10027,c(32.64281944, -85.34071944)
10028,c(34.11253611, -86.86714722)
10029,c(31.33603889, -86.13140278)
10030,c(34.46195, -87.24849722)
10031,c(33.68565556, -87.08082222)
10032,c(34.59306944, -86.98027778)
10033,c(33.57446111, -86.92755)
10034,c(33.52928333, -86.042575)
10035,c(31.71449167, -85.85105833)
10036,c(30.40710556, -88.22545833)
10037,c(30.48960278, -88.30073611)
10038,c(33.71631944, -86.45605278)
10039,c(32.49323889, -86.45393056)
10040,c(32.09353333, -86.58171389)
10041,c(33.323725, -86.55131667)
10042,c(34.43723333, -85.84118056)
10043,c(30.76716944, -88.09473889)
10044,c(33.34490833, -86.44186111)
10045,c(34.58538611, -87.05283056)
10046,c(32.63278056, -85.28534722)
10047,c(34.77189444, -86.711125)
10048,c(32.01049444, -87.33688611)
10049,c(34.74241389, -86.60555278)
10050,c(33.70648889, -85.83513611)
10051,c(32.35250833, -86.28255)
10053,c(31.47498056, -85.53104722)
10054,c(34.64783056, -85.94662222)
10055,c(33.61485278, -85.80380833)
10056,c(34.71538056, -86.59381389)
10057,c(32.42738889, -85.68345833)
10058,c(34.96174722, -86.74823333)
10059,c(32.50223056, -85.0489)
10060,c(34.78226111, -86.71409722)
10061,c(32.83395833, -85.95868333)
10062,c(32.23706944, -86.99419167)
10063,c(32.57753889, -85.52449722)
10064,c(30.27983889, -87.52701111)
10065,c(33.99726944, -87.22791944)
10066,c(33.42497778, -87.003125)
10067,c(32.56210833, -86.14037778)
10068,c(33.25565833, -87.37868611)
10069,c(30.70406667, -88.22544722)
10070,c(31.28904167, -85.48038889)
10071,c(34.63445833, -85.90749722)
10072,c(32.40951944, -86.26545278)
10073,c(34.92028056, -86.92602222)
10074,c(30.43305278, -87.80991389)
10075,c(33.61523056, -85.76850556)
10076,c(32.51443333, -85.20406944)
10077,c(32.60703333, -85.91845556)
10078,c(33.97392778, -87.21145833)
10079,c(32.25813056, -85.00015556)
10080,c(33.979325, -85.50127778)
10081,c(33.95194722, -87.03312778)
10082,c(33.74703889, -86.68405278)
10083,c(32.63706944, -87.60423889)
10084,c(34.28059722, -85.77351389)
10085,c(32.43648333, -85.72168611)
10086,c(30.64695278, -88.10665556)
10087,c(32.37874444, -85.79018333)
10088,c(34.080325, -85.97918889)
10089,c(34.28295556, -85.55498056)
10090,c(30.66119167, -88.19137222)
10091,c(32.44883056, -85.01641944)
10092,c(33.15662778, -87.50720833)
10093,c(33.04082778, -87.58520833)
10094,c(30.5811, -87.51219167)
10095,c(33.53719167, -86.752625)
10096,c(33.48532778, -86.86429722)
10097,c(33.51290833, -86.874025)
10098,c(34.17340278, -86.53344167)
10099,c(30.562875, -88.19819444)
10100,c(32.95178333, -86.82134167)
10101,c(30.58908889, -88.24164444)
10102,c(33.90467778, -87.22743333)
10103,c(30.65885, -88.27310278)
10104,c(31.13783611, -85.17694722)
10105,c(31.77876111, -88.36069167)
10106,c(31.65956111, -85.28029444)
10107,c(34.18381944, -86.78490833)
