"fips"|"inactive_win12"|"undergrad_school_prog"|"grad_school_prog"|"hbcu"|"hospital"|"medical_school_prog"|"tribal_school_prog"|"public_college_university"|"post_secondary_institution"|"degree_granting"|"grants_associates_certificate_only"|"not_degree_granting"|"size_lt1k"|"size_1k_10k"|"size_gt10k"|"cost_undergrad_instate"|"cost_undergrad_outstate"|"cost_grad_instate"|"cost_grad_outstate"|"cost_oncampus_living"|"ft_noninst_academic_staff"|"ft_community_admin_staff"|"total_instructional_staff"|"total_inst_staff_salary"|"est_avg_inst_staff_salary"|"no_reported_inst_staff"
"010030103005"|0|1|0|0|0|0|0|1|1|1|1|0|0|1|0|3990|7980|NA|NA|5900|177|52|338|21490104|63580.1893491124|0
"010030107103"|0|1|1|0|0|0|0|1|1|1|0|0|1|0|0|17424|17424|19440|19440|NA|29|7|14|965116|68936.8571428571|0
"010030114112"|0|1|1|0|0|0|0|1|1|1|0|0|0|0|1|5640|5640|3900|3900|NA|510|180|616|30354614|49276.9707792208|0
"010030115032"|0|1|0|0|0|0|0|1|1|0|0|1|1|0|0|NA|NA|NA|NA|NA|0|0|0|0|NA|0
"010150021011"|0|1|1|0|0|0|0|1|1|1|0|0|0|1|0|9720|19440|9600|19200|8110|615|224|696|47563628|68338.5459770115|0
"010259579023"|0|1|0|0|0|0|0|1|1|0|0|1|1|0|0|NA|NA|NA|NA|NA|0|0|0|0|NA|0
"010310113002"|0|1|0|0|0|0|0|1|1|1|1|0|0|1|0|3990|7980|NA|NA|NA|60|33|108|6555810|60701.9444444444|0
"010330207041"|0|1|0|0|0|0|0|1|1|1|1|0|0|1|0|3990|7980|NA|NA|NA|141|41|148|8587428|58023.1621621622|0
"010359605001"|0|1|0|0|0|0|0|1|1|1|1|0|1|0|0|3990|7980|NA|NA|NA|31|15|30|1776294|59209.8|0
"010399620001"|0|1|0|0|0|0|0|1|1|1|1|0|0|1|0|3990|7980|NA|NA|5550|60|28|108|6322872|58545.1111111111|0
"010439654013"|0|1|0|0|0|0|0|1|1|1|1|0|0|1|0|3990|7980|NA|NA|4900|149|59|246|16973898|68999.5853658537|0
"010450214003"|0|1|0|0|0|0|0|1|1|1|1|0|0|1|0|3990|7980|NA|NA|NA|131|54|258|14988734|58095.8682170543|0
"010479561011"|0|1|0|0|0|0|0|1|1|1|1|0|0|1|0|3990|7980|NA|NA|NA|88|39|96|5135842|53498.3541666667|0
"010479568001"|0|1|1|1|0|0|0|1|1|0|0|0|0|0|0|NA|NA|NA|NA|NA|0|0|0|0|NA|0
"010510309013"|0|1|0|0|0|0|0|1|1|1|1|0|1|0|0|4788|4788|NA|NA|NA|68|22|68|3834720|56392.9411764706|0
"010550016003"|0|1|0|1|0|0|0|1|1|1|1|0|0|1|0|4096|8352|NA|NA|4800|196|81|258|15604430|60482.2868217054|0
"010690415003"|0|1|0|0|0|0|0|1|1|0|0|1|1|0|0|NA|NA|NA|NA|NA|0|0|0|0|NA|0
"010690416001"|0|0|1|0|0|1|0|1|1|1|0|0|1|0|0|NA|NA|NA|NA|NA|0|0|0|0|NA|0
"010719511013"|0|1|0|0|0|0|0|1|1|1|1|0|0|1|0|3990|7980|NA|NA|NA|73|38|112|7097718|63372.4821428571|0
"010730027012"|0|1|1|0|0|0|0|1|1|1|0|0|0|1|0|13320|13320|14940|14940|NA|0|0|0|0|NA|0
"010730030011"|0|1|0|0|0|0|0|1|1|1|0|0|0|1|0|17650|17650|NA|NA|12900|177|77|204|13491024|66132.4705882353|0
"010730045024"|0|1|1|0|1|1|0|1|1|1|0|0|0|0|1|8568|20400|8100|19188|12307|3268|659|1772|212416674|119873.969525959|0
"010730051043"|0|1|1|0|0|0|0|1|1|1|0|0|1|0|0|13320|13320|10800|10800|NA|15|3|30|2269370|75645.6666666667|0
"010730102002"|0|1|0|0|0|0|0|1|1|0|0|1|1|0|0|NA|NA|NA|NA|NA|0|0|0|0|NA|0
"010730106045"|0|1|0|1|0|0|0|1|1|1|0|0|0|1|0|11164|11164|NA|NA|7348|176|100|166|8510472|51267.9036144578|0
"010730107041"|0|1|1|0|0|0|0|1|1|1|0|0|0|1|0|33248|33248|20587|20587|11260|598|300|724|64903808|89646.1436464088|0
"010730112091"|0|1|0|0|0|0|0|1|1|1|1|0|0|1|0|4920|8910|NA|NA|NA|208|95|262|16456858|62812.4351145038|0
"010730117073"|0|1|0|0|0|0|0|1|1|0|0|1|1|0|0|NA|NA|NA|NA|NA|0|0|0|0|NA|0
"010730131004"|0|1|0|1|0|0|0|1|1|1|1|0|0|1|0|3990|7980|NA|NA|4760|127|65|158|9632928|60967.8987341772|0
"010730132001"|0|1|0|0|0|0|0|1|1|0|0|1|1|0|0|NA|NA|NA|NA|NA|0|0|0|0|NA|0
"010730143044"|0|1|0|0|0|0|0|1|1|1|1|0|1|0|0|13514|13514|NA|NA|NA|20|8|20|1046400|52320|0
"010730144083"|0|1|0|0|0|0|0|1|1|0|0|1|1|0|0|NA|NA|NA|NA|NA|0|0|0|0|NA|0
"010730144091"|0|1|0|0|0|0|0|1|1|0|0|1|1|0|0|NA|NA|NA|NA|NA|0|0|0|0|NA|0
"010770101001"|0|1|1|0|0|0|0|1|1|1|0|0|0|1|0|9600|19200|6660|13320|7966|465|159|544|44527514|81852.0477941177|0
"010770115041"|0|1|1|0|0|0|0|1|1|1|0|0|1|0|0|10152|10152|4482|4482|5745|24|3|12|851644|70970.3333333333|0
"010810407002"|0|1|1|0|0|1|0|1|1|1|0|0|0|0|1|10080|30240|10080|30240|13778|4001|1223|2856|298814032|104626.761904762|0
"010830207001"|0|1|1|0|0|0|0|1|1|1|0|0|0|1|0|6180|12360|6936|12000|NA|146|51|168|13701524|81556.6904761905|0
"010830211011"|0|1|0|0|0|0|0|1|1|1|1|0|0|1|0|3990|7980|NA|NA|NA|228|124|306|18991308|62063.0980392157|0
"010872317001"|0|1|1|1|0|1|0|1|1|1|0|0|0|1|0|19594|19594|20378|20378|9844|484|140|472|35800958|75849.4872881356|0
"010890002032"|0|2|1|2|0|0|0|2|2|2|1|0|1|1|0|12600|25200|NA|NA|NA|560|285|554|36466468|120062.060770751|0
"010890014043"|0|2|0|0|0|0|0|2|2|0|0|2|2|0|0|NA|NA|NA|NA|NA|0|0|0|0|NA|0
"010890015003"|0|1|1|0|0|0|0|1|1|1|0|0|0|1|0|9730|22126|10632|24430|10652|1045|247|706|64114752|90814.0963172804|0
"010890030001"|0|1|1|0|0|0|0|1|1|1|0|0|1|0|0|4200|4200|4230|4230|NA|7|1|0|0|NA|0
"010890106252"|0|1|1|1|0|0|0|1|1|1|0|0|0|1|0|18974|18974|13680|13680|9374|197|62|210|10728298|51087.1333333333|0
"010890110213"|0|1|0|0|0|0|0|1|1|0|0|1|1|0|0|NA|NA|NA|NA|NA|0|0|0|0|NA|0
"010950308013"|0|1|0|0|0|0|0|1|1|0|0|1|1|0|0|NA|NA|NA|NA|NA|0|0|0|0|NA|0
"010950311003"|0|1|0|0|0|0|0|1|1|1|1|0|0|1|0|4256|8512|NA|NA|4675|62|29|72|5936820|82455.8333333333|0
"010970004012"|0|1|0|1|0|0|0|1|1|1|1|0|0|1|0|3990|7980|NA|NA|NA|111|63|118|7294660|61819.1525423729|0
"010970021001"|0|1|0|0|0|0|0|1|1|0|0|1|1|0|0|17980|17980|NA|NA|NA|0|0|0|0|NA|0
"010970029003"|0|1|0|0|0|0|0|1|1|0|0|1|1|0|0|NA|NA|NA|NA|NA|0|0|0|0|NA|0
"010970032061"|0|1|0|0|0|0|0|1|1|1|0|0|1|0|0|17148|17148|NA|NA|NA|20|2|18|821142|45619|0
"010970033021"|0|1|1|0|0|0|0|1|1|1|0|0|0|1|0|39336|39336|7182|7182|14062|131|44|154|8407052|54591.2467532468|0
"010970037032"|0|1|0|0|0|0|0|1|1|0|0|1|1|0|0|NA|NA|NA|NA|NA|0|0|0|0|NA|0
"010970061061"|0|1|1|0|0|0|0|1|1|1|0|0|0|1|0|22700|22700|11260|11260|9886|115|71|136|6865596|50482.3235294118|0
"010979800001"|0|1|1|0|1|1|0|1|1|1|0|0|0|0|1|7896|15792|7956|15912|7900|1106|315|1136|87114280|76685.1056338028|0
"011010010002"|0|1|0|1|0|0|0|1|1|1|1|0|0|1|0|3990|7980|NA|NA|NA|72|35|102|5632822|55223.7450980392|0
"011010014002"|0|1|0|0|0|0|0|1|1|1|0|0|1|0|0|25546|25546|NA|NA|10150|123|51|104|6445610|61977.0192307692|0
"011010015003"|0|1|1|1|0|0|0|1|1|1|0|0|0|1|0|8328|16656|7416|14832|6050|551|180|442|31799640|71944.8868778281|0
"011010017001"|0|1|0|0|0|0|0|1|1|0|0|1|1|0|0|NA|NA|NA|NA|NA|0|0|0|0|NA|0
"011010026004"|0|1|1|0|0|0|0|1|1|1|0|0|0|1|0|21000|21000|10350|10350|8100|167|87|244|15017238|61546.0573770492|0
"011010054023"|0|1|0|0|0|0|0|1|1|1|1|0|1|0|0|13952|13952|NA|NA|NA|0|0|0|0|NA|0
"011010054072"|0|2|2|0|0|0|0|2|2|2|0|0|1|1|0|16992|26952|19278|28746|NA|361|138|520|37534770|128368.291428571|0
"011010054104"|0|1|1|0|0|0|0|1|1|1|0|0|1|0|0|16920|16920|15600|15600|NA|24|2|8|473292|59161.5|0
"011056870022"|0|1|0|0|0|0|0|1|1|1|0|0|1|0|0|17240|17240|NA|NA|11380|50|8|46|2498880|54323.4782608696|0
"011056870024"|0|1|0|0|0|0|0|1|1|1|1|0|1|0|0|6000|12000|NA|NA|4950|84|25|44|2360446|53646.5|0
"011091891012"|0|1|1|0|0|0|0|1|1|1|0|0|0|0|1|7800|15600|7650|15300|6904|855|433|964|69097472|71677.8755186722|0
"011110006002"|0|1|0|0|0|0|0|1|1|1|1|0|0|1|0|3990|8850|NA|NA|4400|120|61|186|9981482|53663.8817204301|0
"011130306013"|0|1|0|0|0|0|0|1|1|1|1|0|0|1|0|3990|7980|NA|NA|NA|52|20|84|4746830|56509.880952381|0
"011170304071"|0|1|1|0|0|0|0|1|1|1|0|0|0|1|0|12090|25110|10512|25128|9810|315|134|284|19483718|68604.6408450704|0
"011190113011"|0|1|1|0|0|0|0|1|1|1|0|0|0|1|0|9100|18200|6678|13356|7510|306|103|228|14190172|62237.5964912281|0
"011210107001"|0|1|1|1|0|0|0|1|1|1|0|0|0|1|0|12130|12130|16000|16000|8934|105|31|82|4672480|56981.4634146341|0
"011239623022"|0|1|0|0|0|0|0|1|1|1|1|0|0|1|0|3990|7920|NA|NA|NA|58|23|86|5212036|60605.0697674419|0
"011250112002"|0|2|2|0|0|0|0|2|2|1|0|0|0|0|1|NA|NA|NA|NA|NA|4555|1426|3034|294442006|NA|0
"011250117012"|0|1|0|1|0|0|0|1|1|1|0|0|1|0|0|9548|9548|NA|NA|10054|93|35|86|4579500|53250|0
"011250125051"|0|1|0|1|0|0|0|1|1|1|1|0|0|1|0|3990|7980|NA|NA|NA|171|74|198|11896364|60082.6464646465|0
"011270203011"|0|1|0|0|0|0|0|1|1|1|1|0|0|1|0|4256|8512|NA|NA|4576|141|55|208|12633242|60736.7403846154|0
"020200015004"|0|1|0|0|0|0|0|1|1|1|1|0|1|0|0|NA|NA|NA|NA|NA|20|11|10|499920|49992|0
"020200016021"|0|2|2|0|0|0|0|2|2|2|0|0|1|0|1|27574|43422|22473|34359|20962|997|356|920|75031672|145297.377426883|0
"020900013002"|0|2|2|0|0|0|0|2|2|1|0|0|0|1|0|NA|NA|NA|NA|NA|1872|355|578|50297316|NA|0
"021100001002"|0|1|1|0|0|0|0|1|1|1|0|0|0|1|0|7250|23154|10978|23091|9800|164|58|174|13302182|76449.3218390805|0
"021220007022"|0|1|0|0|0|0|0|1|1|1|1|0|1|0|0|8300|8300|NA|NA|11350|9|0|4|224992|56248|0
"021220013002"|0|1|0|0|0|0|0|1|1|0|0|1|1|0|0|NA|NA|NA|NA|NA|0|0|0|0|NA|0
"021700012012"|0|1|0|0|0|0|0|1|1|1|0|0|1|0|0|9000|9000|NA|NA|6000|7|1|0|0|NA|0
"021850001001"|0|1|0|0|0|0|1|1|1|1|0|0|1|0|0|4440|4440|NA|NA|13000|59|18|26|2337808|89915.6923076923|0
"040019441004"|0|1|0|0|0|0|1|1|1|1|0|0|0|1|0|1320|1320|NA|NA|4940|221|61|126|7039256|55867.1111111111|0
"040030017023"|0|2|1|0|0|0|0|2|2|2|1|0|1|1|0|10903|39513|NA|NA|NA|276|106|242|14990458|133857.255154639|0
"040050003013"|0|1|0|0|0|0|0|1|1|1|0|0|1|0|0|6480|6480|NA|NA|5600|9|0|4|211240|52810|0
"040050003022"|0|1|0|0|0|0|0|1|1|0|0|1|1|0|0|NA|NA|NA|NA|NA|0|0|0|0|NA|0
"040050009021"|0|1|0|0|0|0|0|1|1|1|1|0|0|1|0|3119|9492|NA|NA|NA|110|40|82|5591380|68187.5609756098|0
"040050010001"|0|1|1|0|0|0|0|1|1|1|0|0|0|0|1|10243|16248|10309|18630|11106|1982|418|1950|161845608|82997.7476923077|0
"040050011033"|0|1|0|0|0|0|0|1|1|1|1|0|1|0|0|16600|16600|NA|NA|NA|8|0|2|190584|95292|0
"040099612012"|0|1|0|0|0|0|0|1|1|1|1|0|0|1|0|2700|9120|NA|NA|7835|162|64|168|11797422|70222.75|0
"040130506123"|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|NA|NA|NA|NA|NA|0|0|0|0|NA|0
"040130610211"|0|1|0|0|0|0|0|1|1|1|1|0|0|1|0|2040|7824|NA|NA|NA|207|23|208|16758866|80571.4711538462|0
"040130610241"|0|1|0|0|0|0|0|1|1|0|0|1|1|0|0|NA|NA|NA|NA|NA|0|0|0|0|NA|0
"040130610281"|0|1|1|0|0|0|0|1|1|1|0|0|1|0|0|28000|28000|10428|10428|14762|80|40|20|1362062|68103.1|0
"040130715095"|0|1|0|0|0|0|0|1|1|0|0|1|1|0|0|NA|NA|NA|NA|NA|0|0|0|0|NA|0
"040130820242"|0|1|0|0|0|0|0|1|1|0|0|1|1|0|0|NA|NA|NA|NA|NA|0|0|0|0|NA|0
"040130820271"|0|1|0|0|0|0|0|1|1|1|1|0|0|1|0|NA|NA|NA|NA|NA|55|1|90|5712636|63473.7333333333|0
"040130923051"|0|1|0|0|0|0|0|1|1|1|1|0|0|0|1|2040|7824|NA|NA|NA|346|54|520|43010854|82713.1807692308|0
"040130923091"|0|1|0|0|0|0|0|1|1|1|1|0|1|0|0|15816|15816|NA|NA|NA|17|3|20|964012|48200.6|0
"040130927203"|0|1|0|0|0|0|0|1|1|0|0|1|1|0|0|NA|NA|NA|NA|NA|0|0|0|0|NA|0
"040130930013"|0|1|0|0|0|0|0|1|1|0|0|1|1|0|0|NA|NA|NA|NA|NA|0|0|0|0|NA|0
"040131032072"|0|1|0|0|0|0|0|1|1|0|0|1|1|0|0|NA|NA|NA|NA|NA|0|0|0|0|NA|0
"040131040002"|0|1|0|0|0|0|0|1|1|1|1|0|1|0|0|NA|NA|NA|NA|NA|20|9|68|3087924|45410.6470588235|0
"040131042054"|0|1|0|0|0|0|0|1|1|1|0|0|1|0|0|16600|16600|NA|NA|NA|21|1|10|721570|72157|0
"040131042072"|0|2|0|0|0|0|0|2|2|1|0|1|2|0|0|NA|NA|NA|NA|NA|7|0|0|0|NA|0
"040131042172"|0|1|0|0|0|0|0|1|1|1|0|0|1|0|0|27500|27500|NA|NA|10871|113|65|50|2805908|56118.16|0
"040131042191"|0|1|1|0|0|0|0|1|0|0|0|0|0|0|0|NA|NA|NA|NA|NA|0|0|0|0|NA|0
"040131044022"|0|2|1|0|0|0|0|2|2|1|0|1|0|2|0|NA|NA|NA|NA|NA|14|1|6|483146|NA|0
"040131050031"|0|0|1|0|0|0|0|1|1|1|0|0|1|0|0|NA|NA|39750|39750|NA|2|0|6|223076|37179.3333333333|0
"040131055011"|0|1|1|0|0|0|0|1|1|1|0|0|0|1|0|NA|NA|NA|NA|NA|38|4|48|3748614|78096.125|0
"040131055022"|0|3|1|0|0|0|0|3|3|3|1|0|3|0|0|NA|NA|NA|NA|NA|61|2|56|4270154|NA|0
"040131065012"|0|1|1|0|0|0|0|1|1|1|0|0|1|0|0|7800|7800|5850|5850|NA|18|1|0|0|NA|0
"040131069001"|0|1|0|0|0|0|0|1|1|0|0|1|1|0|0|NA|NA|NA|NA|NA|0|0|0|0|NA|0
"040131072011"|0|1|1|0|0|0|0|1|1|1|0|0|0|0|1|16424|16424|10528|10528|7800|1190|220|922|68464956|74257.0021691974|0
"040131072021"|0|1|0|0|0|0|0|1|1|0|0|1|1|0|0|NA|NA|NA|NA|NA|0|0|0|0|NA|0
"040131075002"|0|0|1|0|0|0|0|1|1|1|0|0|1|0|0|NA|NA|17346|17346|NA|11|2|2|80000|40000|0
"040131104002"|0|1|0|0|0|0|0|1|1|1|1|0|0|1|0|2040|7824|NA|NA|NA|258|43|302|24183110|80076.5231788079|0
"040131114011"|0|1|0|0|0|0|0|1|1|0|0|1|1|0|0|NA|NA|NA|NA|NA|0|0|0|0|NA|0
"040131118003"|0|1|1|0|0|0|0|1|1|0|0|0|0|0|0|NA|NA|NA|NA|NA|36|16|0|0|NA|0
"040131129002"|0|1|0|0|0|0|0|1|1|0|0|1|1|0|0|NA|NA|NA|NA|NA|0|0|0|0|NA|0
"040131131003"|0|1|1|0|0|0|0|1|0|0|0|0|0|0|0|NA|NA|NA|NA|NA|0|0|0|0|NA|0
"040131138004"|0|1|0|0|0|0|0|1|1|1|1|0|1|0|0|NA|NA|NA|NA|NA|20|5|48|2528844|52684.25|0
"040131138005"|0|1|0|0|0|0|0|1|1|1|1|0|0|1|0|2040|7824|NA|NA|NA|228|31|216|16502292|76399.5|0
"040131152003"|0|1|1|0|0|0|0|1|1|1|0|0|0|0|1|9552|9552|17096|17096|NA|3156|1213|160|10451608|65322.55|0
"040131163003"|0|1|0|0|0|0|0|1|1|1|1|0|0|1|0|2040|7824|NA|NA|NA|151|14|118|9376148|79458.8813559322|0
"040131172003"|0|1|0|0|0|0|0|1|1|0|0|1|1|0|0|NA|NA|NA|NA|NA|0|0|0|0|NA|0
"040132168092"|0|1|0|0|0|0|0|1|1|0|0|1|1|0|0|NA|NA|NA|NA|NA|0|0|0|0|NA|0
"040132168131"|0|0|1|0|0|0|0|1|1|1|0|0|1|0|0|NA|NA|9000|9000|NA|20|3|12|794990|66249.1666666667|0
"040132168572"|0|1|0|0|0|0|0|1|1|0|0|1|1|0|0|NA|NA|NA|NA|NA|0|0|0|0|NA|0
"040132182004"|0|1|1|0|0|0|0|1|1|1|0|0|0|0|1|10710|10820|6516|6516|NA|437|112|2006|182438070|90946.1964107677|0
"040133187002"|0|1|0|0|0|0|0|1|1|1|1|0|1|0|0|10440|10440|NA|NA|NA|22|2|0|0|NA|0
"040133190011"|0|1|1|0|0|0|0|1|1|1|0|0|0|0|1|10710|28800|11720|26160|13510|8032|2007|6352|659265538|103788.6552267|0
"040133192022"|0|0|1|0|0|0|0|1|1|1|0|0|1|0|0|NA|NA|20160|20160|NA|91|22|34|2469756|72639.8823529412|0
"040133193002"|0|1|0|0|0|0|0|1|1|0|0|1|1|0|0|NA|NA|NA|NA|NA|0|0|0|0|NA|0
"040133195004"|0|1|0|0|0|0|0|1|1|1|1|0|1|0|0|NA|NA|NA|NA|NA|76|2|2|120000|60000|0
"040133197083"|0|1|1|0|0|0|0|1|1|1|0|0|1|0|0|16442|16442|17500|17500|9400|55|8|70|4519760|64568|0
"040133197101"|0|5|0|0|0|0|0|5|5|4|2|0|2|1|1|NA|NA|NA|NA|NA|1137|130|194|12131864|NA|0
"040133199102"|0|1|0|0|0|0|0|1|1|0|0|1|1|0|0|NA|NA|NA|NA|NA|0|0|0|0|NA|0
"040133201001"|0|1|1|0|0|0|0|1|1|1|0|0|0|1|0|11734|11734|4000|4000|NA|110|2|26|1602458|61633|0
"040134213031"|0|1|0|0|0|0|0|1|1|1|1|0|1|0|0|15816|15816|NA|NA|NA|11|2|10|479826|47982.6|0
"040134213042"|0|1|0|0|0|0|0|1|1|0|0|1|1|0|0|NA|NA|NA|NA|NA|0|0|0|0|NA|0
"040134221033"|0|1|0|0|0|0|0|1|1|1|1|0|1|0|0|NA|NA|NA|NA|NA|32|18|98|6255934|63836.0612244898|0
"040134222032"|0|1|0|0|0|0|0|1|1|1|1|0|1|0|0|NA|NA|NA|NA|NA|26|2|30|2285788|76192.9333333333|0
"040134222102"|0|1|0|0|0|0|0|1|1|0|0|1|1|0|0|NA|NA|NA|NA|NA|0|0|0|0|NA|0
