"Notes","County","County Code","Year of Death","Year of Death Code",Deaths,Births,Death Rate
,"Douglas County, CO","08035","2023","2023",17,3850,4.42 (Unreliable)
,"El Paso County, CO","08041","2023","2023",41,8866,4.62
,"Jefferson County, CO","08059","2023","2023",19,5260,3.61 (Unreliable)
,"Larimer County, CO","08069","2023","2023",15,2886,5.20 (Unreliable)
,"Weld County, CO","08123","2023","2023",23,4831,4.76
,"Unidentified Counties, CO","08999","2023","2023",57,10912,5.22
,"Fairfield County, CT","09001","2023","2023",38,10147,3.74
,"Hartford County, CT","09003","2023","2023",50,8727,5.73
,"New Haven County, CT","09009","2023","2023",35,8322,4.21
,"New London County, CT","09011","2023","2023",13,2477,5.25 (Unreliable)
,"Unidentified Counties, CT","09999","2023","2023",19,4886,3.89 (Unreliable)
,"New Castle County, DE","10003","2023","2023",35,5930,5.90
,"Unidentified Counties, DE","10999","2023","2023",29,4497,6.45
,"District of Columbia, DC","11001","2023","2023",55,7896,6.97
,"Brevard County, FL","12009","2023","2023",36,5279,6.82
,"Broward County, FL","12011","2023","2023",100,20143,4.96
,"Collier County, FL","12021","2023","2023",17,3465,4.91 (Unreliable)
,"Duval County, FL","12031","2023","2023",98,12657,7.74
,"Escambia County, FL","12033","2023","2023",34,3641,9.34
,"Hillsborough County, FL","12057","2023","2023",123,16868,7.29
,"Lake County, FL","12069","2023","2023",28,3842,7.29
,"Lee County, FL","12071","2023","2023",50,7756,6.45
,"Leon County, FL","12073","2023","2023",23,2695,8.53
,"Manatee County, FL","12081","2023","2023",14,3942,3.55 (Unreliable)
,"Marion County, FL","12083","2023","2023",30,3599,8.34
,"Miami-Dade County, FL","12086","2023","2023",143,29516,4.84
,"Orange County, FL","12095","2023","2023",92,16274,5.65
,"Osceola County, FL","12097","2023","2023",31,4965,6.24
,"Palm Beach County, FL","12099","2023","2023",84,15082,5.57
,"Pasco County, FL","12101","2023","2023",36,5818,6.19
,"Pinellas County, FL","12103","2023","2023",38,7042,5.40
,"Polk County, FL","12105","2023","2023",51,9229,5.53
,"St. Lucie County, FL","12111","2023","2023",14,3730,3.75 (Unreliable)
,"Sarasota County, FL","12115","2023","2023",17,2983,5.70 (Unreliable)
,"Seminole County, FL","12117","2023","2023",19,4349,4.37 (Unreliable)
,"Volusia County, FL","12127","2023","2023",31,5001,6.20
,"Unidentified Counties, FL","12999","2023","2023",242,33534,7.22
,"Chatham County, GA","13051","2023","2023",29,3576,8.11
,"Clayton County, GA","13063","2023","2023",29,3332,8.70
,"Cobb County, GA","13067","2023","2023",48,8703,5.52
,"DeKalb County, GA","13089","2023","2023",59,9483,6.22
,"Fulton County, GA","13121","2023","2023",86,12357,6.96
,"Gwinnett County, GA","13135","2023","2023",65,11135,5.84
,"Unidentified Counties, GA","13999","2023","2023",557,76534,7.28
,"Honolulu County, HI","15003","2023","2023",48,10474,4.58
,"Unidentified Counties, HI","15999","2023","2023",24,4334,5.54
,"Ada County, ID","16001","2023","2023",27,5086,5.31
,"Unidentified Counties, ID","16999","2023","2023",71,17311,4.10
,"Cook County, IL","17031","2023","2023",290,50764,5.71
,"DuPage County, IL","17043","2023","2023",38,9552,3.98
,"Kane County, IL","17089","2023","2023",37,5504,6.72
,"Lake County, IL","17097","2023","2023",28,6436,4.35
,"McHenry County, IL","17111","2023","2023",15,2976,5.04 (Unreliable)
,"Madison County, IL","17119","2023","2023",14,2616,5.35 (Unreliable)
,"St. Clair County, IL","17163","2023","2023",20,2379,8.41
,"Will County, IL","17197","2023","2023",46,6835,6.73
,"Winnebago County, IL","17201","2023","2023",29,3049,9.51
,"Unidentified Counties, IL","17999","2023","2023",220,34709,6.34
,"Allen County, IN","18003","2023","2023",35,5100,6.86
,"Lake County, IN","18089","2023","2023",36,5096,7.06
,"Marion County, IN","18097","2023","2023",121,14368,8.42
,"St. Joseph County, IN","18141","2023","2023",29,3115,9.31
,"Unidentified Counties, IN","18999","2023","2023",284,47416,5.99
,"Polk County, IA","19153","2023","2023",29,6280,4.62
,"Unidentified Counties, IA","19999","2023","2023",155,29772,5.21
,"Johnson County, KS","20091","2023","2023",28,6882,4.07
,"Sedgwick County, KS","20173","2023","2023",36,6474,5.56
,"Unidentified Counties, KS","20999","2023","2023",114,20709,5.50
,"Fayette County, KY","21067","2023","2023",27,3652,7.39
,"Jefferson County, KY","21111","2023","2023",56,9734,5.75
,"Unidentified Counties, KY","21999","2023","2023",259,38598,6.71
,"Caddo Parish, LA","22017","2023","2023",44,2767,15.90
,"East Baton Rouge Parish, LA","22033","2023","2023",42,5384,7.80
,"Jefferson Parish, LA","22051","2023","2023",23,5069,4.54
,"Orleans Parish, LA","22071","2023","2023",35,3822,9.16
,"Unidentified Counties, LA","22999","2023","2023",248,37885,6.55
,"Cumberland County, ME","23005","2023","2023",20,2784,7.18
,"Unidentified Counties, ME","23999","2023","2023",46,8843,5.20
,"Anne Arundel County, MD","24003","2023","2023",29,6504,4.46
,"Baltimore County, MD","24005","2023","2023",57,9119,6.25
,"Howard County, MD","24027","2023","2023",13,2943,4.42 (Unreliable)
,"Montgomery County, MD","24031","2023","2023",40,10975,3.64
,"Prince George's County, MD","24033","2023","2023",76,10527,7.22
,"Baltimore city, MD","24510","2023","2023",60,6696,8.96
,"Unidentified Counties, MD","24999","2023","2023",94,18830,4.99
,"Bristol County, MA","25005","2023","2023",26,5540,4.69
,"Essex County, MA","25009","2023","2023",18,8523,2.11 (Unreliable)
,"Hampden County, MA","25013","2023","2023",24,4586,5.23
,"Middlesex County, MA","25017","2023","2023",48,15478,3.10
,"Norfolk County, MA","25021","2023","2023",14,6819,2.05 (Unreliable)
,"Plymouth County, MA","25023","2023","2023",20,5302,3.77
,"Suffolk County, MA","25025","2023","2023",28,8176,3.42
,"Worcester County, MA","25027","2023","2023",27,8628,3.13
,"Unidentified Counties, MA","25999","2023","2023",15,4041,3.71 (Unreliable)
,"Genesee County, MI","26049","2023","2023",35,4002,8.75
,"Ingham County, MI","26065","2023","2023",16,2683,5.96 (Unreliable)
,"Kent County, MI","26081","2023","2023",36,7889,4.56
,"Macomb County, MI","26099","2023","2023",48,8523,5.63
,"Oakland County, MI","26125","2023","2023",40,12066,3.32
,"Ottawa County, MI","26139","2023","2023",15,3021,4.97 (Unreliable)
,"Washtenaw County, MI","26161","2023","2023",11,3072,3.58 (Unreliable)
,"Wayne County, MI","26163","2023","2023",176,20065,8.77
,"Unidentified Counties, MI","26999","2023","2023",216,35251,6.13
,"Anoka County, MN","27003","2023","2023",24,3923,6.12
,"Dakota County, MN","27037","2023","2023",17,4773,3.56 (Unreliable)
,"Hennepin County, MN","27053","2023","2023",69,13842,4.98
,"Ramsey County, MN","27123","2023","2023",30,6365,4.71
,"Unidentified Counties, MN","27999","2023","2023",152,32812,4.63
,"Unidentified Counties, MS","28999","2023","2023",308,34459,8.94
,"Greene County, MO","29077","2023","2023",21,3155,6.66
,"Jackson County, MO","29095","2023","2023",66,8593,7.68
,"St. Louis County, MO","29189","2023","2023",54,9700,5.57
,"St. Louis city, MO","29510","2023","2023",32,3242,9.87
,"Unidentified Counties, MO","29999","2023","2023",229,38464,5.95
,"Unidentified Counties, MT","30999","2023","2023",61,11078,5.51
,"Douglas County, NE","31055","2023","2023",62,7762,7.99
,"Lancaster County, NE","31109","2023","2023",15,3623,4.14 (Unreliable)
,"Unidentified Counties, NE","31999","2023","2023",76,12726,5.97
,"Clark County, NV","32003","2023","2023",142,23771,5.97
,"Washoe County, NV","32031","2023","2023",27,4844,5.57
,"Unidentified Counties, NV","32999","2023","2023",17,3179,5.35 (Unreliable)
,"Hillsborough County, NH","33011","2023","2023",13,4152,3.13 (Unreliable)
,"Unidentified Counties, NH","33999","2023","2023",18,5027,3.58 (Unreliable)
,"Atlantic County, NJ","34001","2023","2023",15,2750,5.45 (Unreliable)
,"Bergen County, NJ","34003","2023","2023",15,8897,1.69 (Unreliable)
,"Burlington County, NJ","34005","2023","2023",22,4689,4.69
,"Camden County, NJ","34007","2023","2023",39,5907,6.60
,"Essex County, NJ","34013","2023","2023",46,9805,4.69
,"Gloucester County, NJ","34015","2023","2023",14,2977,4.70 (Unreliable)
,"Hudson County, NJ","34017","2023","2023",30,8655,3.47
,"Mercer County, NJ","34021","2023","2023",17,4103,4.14 (Unreliable)
,"Middlesex County, NJ","34023","2023","2023",38,8364,4.54
,"Monmouth County, NJ","34025","2023","2023",17,6401,2.66 (Unreliable)
,"Morris County, NJ","34027","2023","2023",12,4929,2.43 (Unreliable)
,"Ocean County, NJ","34029","2023","2023",27,10523,2.57
,"Passaic County, NJ","34031","2023","2023",26,6272,4.15
,"Union County, NJ","34039","2023","2023",24,6714,3.57
,"Unidentified Counties, NJ","34999","2023","2023",22,6714,3.28
,"Bernalillo County, NM","35001","2023","2023",29,6169,4.70
,"Unidentified Counties, NM","35999","2023","2023",63,14782,4.26
,"Albany County, NY","36001","2023","2023",15,2695,5.57 (Unreliable)
,"Bronx County, NY","36005","2023","2023",73,16347,4.47
,"Erie County, NY","36029","2023","2023",47,8740,5.38
,"Kings County, NY","36047","2023","2023",120,33097,3.63
,"Monroe County, NY","36055","2023","2023",45,7156,6.29
,"Nassau County, NY","36059","2023","2023",37,13463,2.75
,"New York County, NY","36061","2023","2023",37,13533,2.73
,"Onondaga County, NY","36067","2023","2023",20,4476,4.47
,"Orange County, NY","36071","2023","2023",20,5730,3.49
,"Queens County, NY","36081","2023","2023",93,23944,3.88
,"Richmond County, NY","36085","2023","2023",20,4882,4.10
,"Rockland County, NY","36087","2023","2023",22,6612,3.33
,"Suffolk County, NY","36103","2023","2023",61,15490,3.94
,"Westchester County, NY","36119","2023","2023",25,9702,2.58
,"Unidentified Counties, NY","36999","2023","2023",177,35214,5.03
,"Cumberland County, NC","37051","2023","2023",73,5087,14.35
,"Durham County, NC","37063","2023","2023",22,4068,5.41
,"Forsyth County, NC","37067","2023","2023",28,4386,6.38
,"Guilford County, NC","37081","2023","2023",57,5756,9.90
,"Mecklenburg County, NC","37119","2023","2023",77,15106,5.10
,"Wake County, NC","37183","2023","2023",68,12949,5.25
,"Unidentified Counties, NC","37999","2023","2023",508,72730,6.98
,"Unidentified Counties, ND","38999","2023","2023",47,9647,4.87
,"Butler County, OH","39017","2023","2023",35,4197,8.34
,"Cuyahoga County, OH","39035","2023","2023",107,12701,8.42
,"Franklin County, OH","39049","2023","2023",129,17143,7.52
,"Hamilton County, OH","39061","2023","2023",59,10099,5.84
,"Lorain County, OH","39093","2023","2023",22,3071,7.16
,"Lucas County, OH","39095","2023","2023",53,4540,11.67
,"Montgomery County, OH","39113","2023","2023",59,6094,9.68
,"Stark County, OH","39151","2023","2023",25,3968,6.30
,"Summit County, OH","39153","2023","2023",35,5293,6.61
,"Unidentified Counties, OH","39999","2023","2023",384,59790,6.42
,"Cleveland County, OK","40027","2023","2023",14,2749,5.09 (Unreliable)
,"Oklahoma County, OK","40109","2023","2023",81,10937,7.41
,"Tulsa County, OK","40143","2023","2023",56,8593,6.52
,"Unidentified Counties, OK","40999","2023","2023",190,25630,7.41
,"Lane County, OR","41039","2023","2023",12,2865,4.19 (Unreliable)
,"Marion County, OR","41047","2023","2023",17,3862,4.40 (Unreliable)
,"Multnomah County, OR","41051","2023","2023",42,6902,6.09
,"Washington County, OR","41067","2023","2023",21,5895,3.56
,"Unidentified Counties, OR","41999","2023","2023",76,15049,5.05
,"Allegheny County, PA","42003","2023","2023",63,11546,5.46
,"Berks County, PA","42011","2023","2023",31,4450,6.97
,"Bucks County, PA","42017","2023","2023",20,5545,3.61
,"Chester County, PA","42029","2023","2023",17,5458,3.11 (Unreliable)
,"Dauphin County, PA","42043","2023","2023",26,3236,8.03
,"Delaware County, PA","42045","2023","2023",30,6029,4.98
,"Erie County, PA","42049","2023","2023",15,2376,6.31 (Unreliable)
,"Lancaster County, PA","42071","2023","2023",49,6840,7.16
,"Lehigh County, PA","42077","2023","2023",26,3750,6.93
,"Luzerne County, PA","42079","2023","2023",28,3159,8.86
,"Montgomery County, PA","42091","2023","2023",31,8300,3.73
,"Northampton County, PA","42095","2023","2023",10,2747,3.64 (Unreliable)
,"Philadelphia County, PA","42101","2023","2023",121,18371,6.59
,"Westmoreland County, PA","42129","2023","2023",17,2819,6.03 (Unreliable)
,"York County, PA","42133","2023","2023",16,4642,3.45 (Unreliable)
,"Unidentified Counties, PA","42999","2023","2023",204,37683,5.41
,"Providence County, RI","44007","2023","2023",36,6668,5.40
,"Unidentified Counties, RI","44999","2023","2023",11,3137,3.51 (Unreliable)
,"Charleston County, SC","45019","2023","2023",30,4857,6.18
