Table 1. State Tax Collections Detailed Table: US and States: 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Dollar amounts are in thousands of dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, 2024 Annual Survey of State Government Tax Collections.  Data users who create their own estimates using data from this report should cite the U.S. Census Bureau as the source of the original data only.  The data in this table are based on information from public records and contain no confidential data.  For more information, see (https://www.census.gov/programs-surveys/stc.html).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax Type,Item,United States,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,DC,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
ÿÿÿÿ ÿÿÿÿ Other selective sales and gross receipts,T19,65174891,704845,82085,X,328914,4647873,1610221,1423616,179417,86208,1221510,534822,921958,73469,4457547,2130264,118217,65103,1001929,129816,213243,1801599,614170,2165585,2386462,360888,223977,139952,28737,406588,417080,2581285,243995,8061037,1311988,200584,2835131,87875,1513909,2316720,213074,1246195,172398,723212,8634799,31927,648469,3083487,1536944,732000,520670,3097
License taxes,TA3,71254165,612540,106186,633065,432904,15013849,754470,404268,2584139,240053,2450462,620795,330902,505798,3917306,889114,1118379,452958,570494,970899,336434,1052694,1417438,2294219,1622308,631900,739384,527073,207997,783518,569533,2333801,396305,1934656,2613154,251794,2094524,974827,1268999,3163308,165232,750485,347624,2559422,3810705,450048,156828,1205070,2140815,236248,1396395,212846
ÿÿÿÿ Alcoholic beverages,T20,854645,4607,2563,15657,6329,98609,10580,9941,2019,6516,7540,4977,X,2111,17969,17360,15044,3930,8104,0,8127,3600,4413,22279,3485,1492,6325,7430,1380,X,5842,4766,0,80739,30470,413,46344,68,4523,35336,1332,15277,1655,1810,101341,0,470,17179,210550,1745,2398,X
ÿÿÿÿ Amusements,T21,479049,X,633,12,1158,21964,1042,173,437,0,1536,0,X,272,48038,7931,20553,10351,332,X,797,6131,14822,X,9146,21071,28,4664,559,101582,203,66390,556,0,184,4047,24016,2101,2725,33543,291,6027,5693,432,3618,X,20,35604,16660,3522,76,109
ÿÿÿÿ Corporations in general,T22,9323935,219000,X,30081,39370,101686,27931,37371,2344614,51519,391543,57159,2937,6115,353608,12620,116157,24532,122354,695669,14791,145619,28577,37476,17464,224345,0,3291,12538,92206,92721,706775,4663,0,881635,X,237032,57284,54818,3219,7848,188148,8284,1496844,163578,131,3287,81818,62773,1961,30810,29733
ÿÿÿÿ Hunting and fishing,T23,1948760,25415,41962,44470,34348,124364,124018,5096,4103,91,17975,29011,936,58659,43615,26759,36445,32667,30267,32599,22388,19613,7694,65450,114177,2186,43206,84142,16712,13498,12020,14962,29976,57275,41553,19140,46039,30866,55361,91668,2460,25703,38064,51532,112788,34148,7583,27924,44745,48,65979,37060
ÿÿÿÿ Motor vehicles,T24,34423139,229889,30843,310974,193333,8510951,457934,260288,63318,36778,1583195,409070,236327,237012,2330860,366305,787683,251353,221326,82732,125959,499315,464574,1543841,1018705,211991,317284,210674,130438,234528,116971,700490,185465,1420422,1019010,122010,527283,866604,649810,1479440,13002,321505,100827,404537,2368054,314747,80948,509206,1003488,5295,758033,98512
ÿÿÿÿ Motor vehicle operators,T25,3171842,47865,X,35890,19232,399891,44096,56366,6324,4952,181903,34845,296,11914,181175,292969,17221,32070,32689,12819,12326,40894,113149,65952,66362,5107,16184,9377,11599,27168,14924,61447,13834,179004,139135,5138,84995,16082,31102,93898,9488,20714,5237,46821,192341,31861,15342,44446,136100,203988,41721,3589
ÿÿÿÿ Public utilities,T27,1370813,14694,8101,39,9438,605280,20264,593,718,X,40197,X,21135,74811,47369,X,13147,4228,0,15067,X,X,X,36857,9136,8295,23944,13,X,X,19846,19427,1636,45953,23636,4,1462,5,80591,86188,559,14409,X,6485,20996,X,X,782,37857,512,57139,X
ÿÿÿÿ Occupation and businesses,T28,17548716,71069,11994,193476,128020,5132709,68605,29810,152117,90623,212684,85281,56784,109728,853239,66970,109376,90937,149144,126107,133981,335752,470134,284094,288594,89365,231534,191443,33563,305140,262382,757347,51255,149491,425381,101042,986762,800,380527,1318771,86259,142897,157257,541348,676563,61449,37725,424152,438436,13236,389520,43843
