"fips"|"inactive_win12"|"undergrad_school_prog"|"grad_school_prog"|"hbcu"|"hospital"|"medical_school_prog"|"tribal_school_prog"|"public_college_university"|"post_secondary_institution"|"degree_granting"|"grants_associates_certificate_only"|"not_degree_granting"|"size_lt1k"|"size_1k_10k"|"size_gt10k"|"cost_undergrad_instate"|"cost_undergrad_outstate"|"cost_grad_instate"|"cost_grad_outstate"|"cost_oncampus_living"|"ft_noninst_academic_staff"|"ft_community_admin_staff"|"total_instructional_staff"|"total_inst_staff_salary"|"est_avg_inst_staff_salary"|"no_reported_inst_staff"
"010030103005"|0|1|0|0|0|0|0|1|1|1|1|0|0|1|0|3810|7620|NA|NA|10850|209|73|356|25250246|70927.6573033708|0
"010030107103"|0|1|1|0|0|0|0|1|1|1|0|0|1|0|0|18900|18900|19440|19440|NA|43|12|14|1251856|89418.2857142857|0
"010030114112"|0|1|1|0|0|0|0|1|1|1|0|0|0|0|1|5528|5528|3640|3640|NA|376|130|460|23225058|50489.2565217391|0
"010030115032"|0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|NA|NA|NA|NA|NA|0|0|0|0|NA|0
"010150021011"|0|1|1|0|0|0|0|1|1|1|0|0|0|1|0|10290|20580|10128|16464|8894|653|260|690|50048056|72533.4144927536|0
"010259579023"|0|1|0|0|0|0|0|1|1|0|0|1|1|0|0|NA|NA|NA|NA|NA|0|0|0|0|NA|0
"010310113002"|0|1|0|0|0|0|0|1|1|1|1|0|0|1|0|3810|7620|NA|NA|NA|74|42|118|10068398|85325.406779661|0
"010330207041"|0|1|0|0|0|0|0|1|1|1|1|0|0|1|0|3810|7620|NA|NA|NA|131|46|136|8640026|63529.6029411765|0
"010359605001"|0|1|0|0|0|0|0|1|1|1|1|0|1|0|0|4600|9200|NA|NA|NA|34|15|32|2021552|63173.5|0
"010399620001"|0|1|0|0|0|0|0|1|1|1|1|0|0|1|0|3810|7620|NA|NA|5550|57|27|112|6752292|60288.3214285714|0
"010439654013"|0|1|0|0|0|0|0|1|1|1|1|0|0|1|0|3810|7620|NA|NA|4900|170|82|246|15727312|63932.162601626|0
"010450214003"|0|1|0|0|0|0|0|1|1|1|1|0|0|1|0|3810|7620|NA|NA|NA|147|70|248|15736384|63453.1612903226|0
"010479561011"|0|1|0|0|0|0|0|1|1|1|1|0|0|1|0|3810|7620|NA|NA|NA|96|46|86|5246880|61010.2325581395|0
"010479568001"|0|1|1|1|0|0|0|1|1|1|0|0|1|0|0|4800|4800|4800|4800|3600|6|0|0|0|NA|0
"010510309013"|0|1|0|0|0|0|0|1|1|0|0|1|1|0|0|5343|5343|NA|NA|NA|0|0|0|0|NA|0
"010550016003"|0|1|0|1|0|0|0|1|1|1|1|0|0|1|0|3048|6096|NA|NA|5200|209|76|258|16833710|65246.9379844961|0
"010690415003"|0|1|0|0|0|0|0|1|1|0|0|1|1|0|0|NA|NA|NA|NA|NA|0|0|0|0|NA|0
"010690416001"|0|0|1|0|0|1|0|1|1|1|0|0|1|0|0|NA|NA|NA|NA|NA|0|0|0|0|NA|0
"010719511013"|0|1|0|0|0|0|0|1|1|1|1|0|0|1|0|3810|7620|NA|NA|NA|80|38|116|8160360|70347.9310344828|0
"010730027012"|0|1|1|0|0|0|0|1|1|1|0|0|0|1|0|13725|13725|14940|14940|NA|0|0|0|0|NA|0
"010730030011"|0|1|1|0|0|0|0|1|1|1|0|0|1|0|0|21500|21500|8400|8400|14300|154|71|160|9483176|59269.85|0
