"fips"|"inactive_win12"|"undergrad_school_prog"|"grad_school_prog"|"hbcu"|"hospital"|"medical_school_prog"|"tribal_school_prog"|"public_college_university"|"post_secondary_institution"|"degree_granting"|"grants_associates_certificate_only"|"not_degree_granting"|"size_lt1k"|"size_1k_10k"|"size_gt10k"|"ft_noninst_academic_staff"|"ft_community_admin_staff"|"total_instructional_staff"|"total_inst_staff_salary"|"no_reported_inst_staff"|"cost_grad_instate"|"cost_grad_outstate"|"cost_oncampus_living"|"cost_undergrad_instate"|"cost_undergrad_outstate"|"est_avg_inst_staff_salary"
"010030103001"|0|1|0|0|0|0|0|1|1|1|1|0|0|1|0|186|21|322|19333010|0|NA|NA|5900|3870|7740|60040.4037267081
"010030107041"|0|1|1|0|0|0|0|1|1|1|0|0|1|0|0|30|6|8|589052|0|17865|17865|NA|16200|16200|73631.5
"010030107051"|0|1|1|0|0|0|0|1|1|1|0|0|1|0|0|30|6|8|589052|0|17865|17865|NA|16200|16200|73631.5
"010030114033"|0|1|1|0|0|0|0|1|1|1|0|0|0|0|1|534|138|326|18089566|0|3600|3600|NA|5400|5400|55489.4662576687
"010030115021"|0|1|0|0|0|0|0|1|1|0|0|1|1|0|0|0|0|0|0|0|NA|NA|NA|NA|NA|NA
"010030115022"|0|1|0|0|0|0|0|1|1|0|0|1|1|0|0|0|0|0|0|0|NA|NA|NA|NA|NA|NA
"010030116014"|0|1|1|0|0|0|0|1|1|1|0|0|0|0|1|534|138|326|18089566|0|3600|3600|NA|5400|5400|55489.4662576687
"010150021011"|0|1|1|0|0|0|0|1|1|1|0|0|0|1|0|593|225|648|42729348|0|9168|18336|7494|9720|19440|65940.3518518519
"010150021012"|0|1|1|0|0|0|0|1|1|1|0|0|0|1|0|593|225|648|42729348|0|9168|18336|7494|9720|19440|65940.3518518519
"010259579023"|0|1|0|0|0|0|0|1|1|0|0|1|1|0|0|0|0|0|0|0|NA|NA|NA|NA|NA|NA
"010310113002"|0|1|0|0|0|0|0|1|1|1|1|0|0|1|0|69|28|94|5473806|0|NA|NA|NA|3870|7740|58231.9787234043
"010330207041"|0|1|0|0|0|0|0|1|1|1|1|0|0|1|0|105|29|144|6026212|0|NA|NA|NA|3870|7740|41848.6944444444
"010359605001"|0|1|0|0|0|0|0|1|1|1|1|0|1|0|0|28|7|32|1867090|0|NA|NA|NA|3870|7740|58346.5625
"010399620001"|0|1|0|0|0|0|0|1|1|1|1|0|0|1|0|63|33|114|6134784|0|NA|NA|NA|3870|7740|53813.8947368421
"010439654012"|0|1|0|0|0|0|0|1|1|1|1|0|0|1|0|164|70|250|13402330|0|NA|NA|4600|3870|7740|53609.32
"010450214003"|0|1|0|0|0|0|0|1|1|1|1|0|0|1|0|124|52|270|14629582|0|NA|NA|NA|3870|7740|54183.637037037
"010479561004"|0|1|0|0|0|0|0|1|1|1|1|0|0|1|0|92|32|106|5327062|0|NA|NA|NA|3870|7740|50255.3018867925
"010479564002"|0|1|0|1|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|NA|NA|NA|NA|NA|NA
"010479565002"|0|1|0|1|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|NA|NA|NA|NA|NA|NA
"010479568001"|0|1|1|1|0|0|0|1|1|1|0|0|1|0|0|33|11|8|212902|0|2070|2070|6400|7205|7205|26612.75
"010510309011"|0|1|0|0|0|0|0|1|1|1|1|0|1|0|0|67|18|78|4063184|0|NA|NA|NA|4644|4644|52092.1025641026
