"fips"|"regular_pub"|"alt_pub"|"special_pub"|"votech_pub"|"nat_lunch_participant"|"nat_lunch_CEOprov_eligible"|"pub_prek"|"pub_total_students"|"pub_fte_teachers"|"regular_pri"|"alt_pri"|"special_pri"|"votech_pri"|"other_private_edu"|"private_school"|"religious"|"pri_prek"|"pri_total_students"|"pri_fte_teachers"
"010010202001"|1|0|0|0|1|0|0|1018|48.5|0|0|0|0|0|0|0|0|0|0
"010010202002"|2|0|0|0|1|0|1|0|0|0|0|0|0|2|2|2|2|35|4.1
"010010203001"|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|6|1
"010010203002"|0|0|0|0|0|0|0|0|0|1|0|0|0|0|1|1|0|25|1
"010010205011"|1|0|1|0|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"010010207001"|2|1|0|0|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"010010207002"|1|0|0|0|1|0|1|471|28|0|0|0|0|0|1|0|1|59|7
"010010208013"|0|0|0|0|0|0|0|0|0|1|0|0|0|0|1|0|1|255|22.9
"010010208041"|1|0|0|1|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"010010209011"|1|0|0|0|1|0|0|456|24|0|0|0|0|0|0|0|0|0|0
"010010209012"|2|0|0|0|2|0|1|1495|84|0|0|0|0|0|0|0|0|0|0
"010010210003"|1|0|0|0|1|0|0|571|35|0|0|0|0|0|0|0|0|0|0
"010010211004"|1|0|0|0|1|0|1|246|16|0|0|0|0|0|0|0|0|0|0
"01003"|0|0|0|0|0|0|0|0|0|4|0|0|0|2|7|5|4|1456|118.9
"010030101003"|0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"010030102001"|1|0|0|0|1|0|1|547|30.63|0|0|0|0|0|0|0|0|0|0
"010030103002"|1|0|0|0|1|0|1|187|14.25|0|0|0|0|0|0|0|0|0|0
"010030103003"|1|0|0|0|1|0|0|868|61.5|0|0|0|0|0|0|0|0|0|0
"010030103005"|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"010030104003"|2|0|0|0|2|0|2|584|42.48|0|0|0|0|0|0|0|0|0|0
"010030105002"|1|0|0|0|1|0|0|364|27.5|0|0|0|0|0|0|0|0|0|0
"010030105004"|1|0|0|0|1|0|1|649|45.34|0|0|0|0|0|0|0|0|0|0
"010030107072"|1|0|0|0|1|0|1|576|38.4|0|0|0|0|0|0|0|0|0|0
"010030107082"|3|0|0|0|3|0|1|2662|164.8|0|0|0|0|0|0|0|0|0|0
"010030107092"|2|0|0|0|2|0|0|2861|143.5|0|0|0|0|0|0|0|0|0|0
"010030107093"|1|0|0|0|1|0|1|745|54.94|0|0|0|0|0|0|0|0|0|0
"010030107102"|2|0|0|0|2|0|1|1338|84.13|0|0|0|0|0|0|0|0|0|0
"010030108001"|1|0|0|0|1|0|0|342|25.13|0|0|0|0|0|0|0|0|0|0
"010030108002"|1|0|0|0|1|0|1|531|44|0|0|0|0|0|0|0|0|0|0
"010030108003"|1|0|0|0|1|0|0|2366|38|0|0|0|0|0|0|0|0|0|0
"010030109032"|1|0|0|0|1|0|0|639|40|0|0|0|0|0|0|0|0|0|0
"010030109033"|1|0|0|0|1|0|1|430|31.45|0|0|0|0|0|0|0|0|0|0
"010030109041"|1|0|0|0|1|0|1|278|21.19|0|0|0|0|0|0|0|0|0|0
"010030109043"|1|0|0|0|1|0|1|255|19.59|0|0|0|0|0|0|0|0|0|0
"010030109063"|1|1|0|1|3|0|1|0|0|0|0|0|0|0|0|0|0|0|0
"010030109071"|1|0|0|0|1|0|1|386|26.55|0|0|0|0|0|0|0|0|0|0
"010030109082"|1|0|0|0|1|0|0|1140|78.5|0|0|0|0|0|0|0|0|0|0
"010030110002"|1|0|0|0|1|0|1|496|33.7|0|0|0|0|0|0|0|0|0|0
"010030111021"|1|0|0|0|1|0|1|684|40.8|0|0|0|0|0|0|0|0|0|0
"010030111022"|2|0|0|0|2|0|0|2069|142.34|0|0|0|0|0|0|0|0|0|0
"010030112012"|2|0|0|0|2|0|1|0|112.63|0|0|0|0|0|0|0|0|0|0
"010030114093"|1|0|0|0|1|0|1|732|51.5|0|0|0|0|0|0|0|0|0|0
"010030114104"|1|0|0|0|1|0|1|93|10.3|0|0|0|0|0|0|0|0|0|0
"010030114142"|1|0|0|0|1|0|1|530|32.88|0|0|0|0|0|0|0|0|0|0
"010030114171"|1|0|0|0|1|0|0|376|27.5|0|0|0|0|0|0|0|0|0|0
"010030114181"|3|0|0|0|3|0|1|2226|124.1|0|0|0|0|0|0|0|0|0|0
"010030115012"|2|0|0|0|2|0|1|1529|111.15|0|0|0|0|0|0|0|0|0|0
"010030115033"|2|0|0|0|2|0|1|2029|144.25|0|0|0|0|0|0|0|0|0|0
"010030116011"|2|0|0|0|2|0|0|814|48.5|0|0|0|0|0|0|0|0|0|0
"010030116012"|1|0|0|0|1|0|1|706|47.68|1|0|0|0|0|1|1|1|109|13.3
"010059501001"|2|1|0|0|3|2|0|0|0|0|0|0|0|0|0|0|0|0|0
"010059502003"|2|0|0|0|2|2|1|399|23.78|0|0|0|0|0|0|0|0|0|0
"010059503001"|1|0|0|0|1|1|0|288|17.5|0|0|0|0|0|0|0|0|0|0
