Table 2. State Tax Collections Detailed Table: US and States: 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Dollar amounts are in thousands of dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, 2021 Annual Survey of State Government Tax Collections.  Data users who create their own estimates using data from this report should cite the U.S. Census Bureau as the source of the original data only.  The data in this table are based on information from public records and contain no confidential data.  For more information, see (https://www.census.gov/programs-surveys/stc.html).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax Type,Item,United States,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,DC,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Total Taxes,T00,1275750945,14251329,1053400,20757247,11726678,254818453,19250711,22066648,5395710,8996257,49320041,27850996,8046691,6472467,55531962,26645852,11816502,11615757,14626499,12257234,5452250,25220541,36336125,34431625,31793412,9428105,15091423,3880366,6960988,9056648,3317286,43683029,7487814,91821961,34735106,3908672,34909388,11299244,17741902,49634346,4371625,13392479,2149543,19977968,65466119,12347773,4102929,32328105,32717084,6030929,22300850,1874876
Property taxes,T01,23357063,468015,120028,1266990,1308040,3151488,X,X,X,2994580,X,732325,X,X,59589,13876,2024,815701,707461,103750,44636,893215,10368,2396416,809160,29885,37418,334759,123,386450,401407,5166,114185,X,X,5207,X,X,25127,40395,3864,78975,X,X,X,X,1203059,43332,4350245,8122,95757,295925
Sales and gross receipts taxes,TA1,552864863,7014522,267842,11249699,5752828,64367044,6994813,8148270,587923,1644534,38522113,10257930,4147624,3180226,23486335,13847723,5522117,4970129,7088138,6853513,2629517,10587203,10427871,15925763,11204458,5732309,5945293,768499,3040622,6955725,1043942,17871986,3848402,26018886,14586128,1426888,22148518,4975670,3514217,24448865,2131988,6226021,1783982,14492861,56646008,4519388,1247617,11719392,24013256,2968554,9184622,927089
ÿÿÿÿ General sales and gross receipts,T09,372721092,3912037,X,9176685,4187473,45149150,3660590,5252683,X,1201346,29873668,6948296,3296268,2516997,13429355,9282907,4002493,3767434,4558439,4048616,1909696,5458909,7785108,11190298,6698560,4230391,4119671,X,2382381,4742692,X,12803267,2971970,14548170,9717598,919915,14393197,3116195,1148387,13717681,1334931,4154363,1273575,11060457,40413873,3628512,507259,6527477,19056609,1537245,6373483,734785
ÿÿÿÿ Selective sales and gross receipts taxes,TA2,180143771,3102485,267842,2073014,1565355,19217894,3334223,2895587,587923,443188,8648445,3309634,851356,663229,10056980,4564816,1519624,1202695,2529699,2804897,719821,5128294,2642763,4735465,4505898,1501918,1825622,768499,658241,2213033,1043942,5068719,876432,11470716,4868530,506973,7755321,1859475,2365830,10731184,797057,2071658,510407,3432404,16232135,890876,740358,5191915,4956647,1431309,2811139,192304
ÿÿÿÿ ÿÿÿÿ Alcoholic beverages,T10,7623657,272021,41126,89138,68024,411969,53433,79109,32719,6197,338642,227872,45178,10980,312101,58542,29798,148735,174267,79279,18461,38941,93206,235383,101472,45761,46316,46484,35338,44690,13701,174692,24359,333045,533809,9612,118746,146821,18086,445401,22112,208490,20021,210708,1267217,17880,12035,295471,472949,17304,73778,2238
ÿÿÿÿ ÿÿÿÿ Amusements,T11,8695263,0,15480,258,70993,X,115624,222943,X,3,168200,X,X,X,881505,608043,339345,256,22,686865,43368,1034508,224641,157621,132221,189725,354428,116507,6180,764287,17977,308883,68021,76,16,19616,219979,22652,6332,1754340,16586,36213,11045,24503,17514,X,X,5557,281,27584,47,5018
ÿÿÿÿ ÿÿÿÿ Insurance premiums,T12,26216435,468162,61558,680245,310009,3116772,347690,181373,123324,133546,1491831,538106,191516,118439,513239,234753,143752,450742,187041,1004261,101947,757839,537405,349170,650137,397786,447949,138905,69558,489269,123525,639103,235054,2017340,725207,59178,666671,448883,49633,852301,146288,273744,90063,1108673,2699643,165995,63343,551005,683639,118061,226531,36231
ÿÿÿÿ ÿÿÿÿ Motor fuels,T13,51478536,878038,44754,844828,588223,7659320,618724,469851,124842,23638,2873845,1781682,70796,405050,2383666,1545597,673571,445472,699875,639727,231938,1025338,662932,1336795,844730,449814,696002,274353,415141,351627,171513,386173,255868,1369379,2130696,173157,2524431,571408,619333,3031113,130104,838264,189881,1210808,3596892,534738,109548,1421963,1518342,399542,1123970,111244
ÿÿÿÿ ÿÿÿÿ Pari-mutuels,T14,154943,4112,X,109,1670,18974,306,11738,39,X,7184,X,X,1524,7811,1589,3870,X,31596,5535,1141,1119,1117,2656,2463,X,X,104,180,0,525,X,1104,12051,X,1663,3690,1088,2336,10367,393,X,120,X,4972,X,X,X,883,2850,0,8064
