"ST_CASE","geometry"
10093,c(34.12026111, -86.89445556)
10094,c(30.66147778, -87.86930556)
10095,c(33.64202778, -86.27756389)
10096,c(30.44721667, -88.21703611)
10097,c(31.61463056, -85.98586667)
10098,c(30.75671944, -88.225575)
10099,c(33.94356667, -87.85076389)
10100,c(33.54508056, -86.64946667)
10101,c(32.5216, -86.89802222)
10102,c(33.961025, -85.40671944)
10103,c(33.54840556, -86.54384722)
10104,c(33.54371389, -86.64268056)
10105,c(31.1118, -86.95663611)
10106,c(34.73095278, -87.85557778)
10107,c(30.69010556, -88.07088056)
10108,c(31.63543611, -86.57088333)
10109,c(30.60879722, -88.07477222)
10110,c(34.29135278, -87.58554722)
10111,c(30.86085, -88.41430556)
10112,c(33.69643056, -86.67257778)
10113,c(32.42322222, -86.96154722)
10114,c(33.60955833, -86.582325)
10115,c(31.65925278, -85.28007222)
10116,c(33.40629722, -86.79378889)
10117,c(33.61588889, -85.667375)
10118,c(31.73101111, -85.92028611)
10119,c(33.72174167, -85.84368333)
10120,c(32.92718056, -87.83540833)
10121,c(34.75455556, -87.43285278)
10122,c(34.74635, -85.91579722)
10123,c(34.34753056, -86.45670278)
10124,c(32.42660278, -85.03563056)
10125,c(32.36308333, -86.29995556)
10126,c(32.05815556, -87.79236944)
10127,c(31.64095833, -86.73195833)
10128,c(32.79348611, -86.90693889)
10129,c(34.93186111, -87.78362778)
10130,c(34.73284444, -86.78629444)
10131,c(33.43939444, -86.941075)
10132,c(32.52731389, -86.20610278)
10133,c(34.29231944, -87.14398889)
10134,c(33.19837222, -87.53890556)
10136,c(31.46061944, -87.40509722)
10137,c(33.026675, -87.18549167)
10138,c(31.77713056, -85.9359)
10139,c(31.45915, -85.66834444)
10140,c(34.21835833, -87.91235556)
10141,c(31.30485833, -86.39624444)
10142,c(31.75111944, -88.03578056)
10143,c(30.83153889, -88.38606111)
10144,c(34.88470556, -86.73896944)
10145,c(33.76604167, -85.71595)
10146,c(33.66527778, -86.83144167)
10147,c(32.34248611, -86.95635556)
10148,c(31.22368056, -86.28018611)
10149,c(30.87748889, -88.12364722)
10150,c(33.34208889, -86.18749722)
10151,c(34.90190556, -86.67381667)
10152,c(33.53560556, -86.71984444)
10153,c(34.15887222, -86.35254167)
10154,c(30.56745, -87.85224722)
10155,c(32.45683611, -87.5422)
10156,c(34.713825, -86.62693889)
10157,c(33.69071111, -86.28174444)
10158,c(34.94210278, -87.09398333)
10159,c(33.63563889, -86.95567778)
10160,c(33.94232222, -86.41411944)
10161,c(30.66173611, -88.24159722)
10162,c(34.04401111, -87.38936667)
10163,c(32.23155278, -87.23378056)
10164,c(34.63437222, -85.90679722)
10165,c(31.73565, -86.37991944)
10166,c(33.44984167, -86.81782778)
10167,c(32.36533056, -86.285675)
10168,c(34.47348611, -86.63823056)
10169,c(33.68173056, -86.68076667)
10170,c(33.59154722, -86.71340278)
10171,c(33.4863, -86.82565)
10172,c(34.80740556, -87.641425)
10173,c(31.00565833, -87.30811944)
10174,c(33.96003889, -86.04441667)
10175,c(31.87364722, -85.14496389)
10176,c(33.96990556, -86.45189444)
10177,c(33.890475, -86.75497222)
10178,c(33.94855278, -87.60008889)
10179,c(32.32232778, -86.23848333)
10180,c(31.87872778, -85.1487)
10181,c(33.15035278, -85.32857778)
10182,c(34.38587778, -85.74358056)
10183,c(31.61222222, -87.68512778)
10184,c(30.823325, -87.77396667)
10185,c(34.48776944, -86.38196667)
10186,c(30.79285556, -87.77043611)
10187,c(34.79925278, -87.29503056)
10188,c(32.45041111, -87.95627778)
10189,c(33.60452222, -86.22931111)
10190,c(34.23339722, -87.35983056)
10191,c(32.30206389, -86.20641944)
10192,c(33.61437778, -85.79505833)
10193,c(31.01538889, -87.66123333)
10194,c(30.68218056, -88.06702222)
10195,c(34.23763611, -86.94045833)
10196,c(30.70258889, -88.11945556)
10197,c(30.63997778, -88.19743056)
10198,c(33.05518889, -87.57994444)
10199,c(34.95345, -87.46639444)
10200,c(34.88744444, -87.843025)
10201,c(31.64813333, -87.81568333)
10202,c(32.84525556, -87.73315556)
10203,c(34.30816667, -86.09114167)
10204,c(32.74203056, -88.09298056)
10205,c(33.25565833, -87.37888056)
10206,c(33.05521944, -87.71248611)
10207,c(30.56998056, -88.18816389)
10208,c(33.54269722, -86.74965833)
10209,c(32.28925556, -85.46988611)
10210,c(34.2695, -87.21106111)
10211,c(33.17536389, -87.52210833)
10212,c(33.924275, -87.24282778)
10213,c(33.21356389, -87.48693333)
10214,c(32.1923, -86.11734167)
10215,c(33.51481944, -88.194725)
10217,c(34.32513889, -86.06371389)
10218,c(32.59136111, -86.43779167)
10219,c(31.17295278, -86.85440556)
10220,c(33.71103056, -86.85287222)
10221,c(33.52091389, -86.84924722)
10222,c(34.21278889, -86.15603611)
10223,c(30.78888611, -88.20849167)
10224,c(32.36548333, -86.2835)
10225,c(33.97066667, -86.39793611)
10226,c(34.2383, -86.28931667)
10227,c(31.9959, -86.52477778)
10228,c(30.467675, -88.38431389)
10229,c(31.09799444, -87.51480278)
10230,c(34.71798611, -87.790125)
10231,c(31.01310833, -88.02425278)
10232,c(31.414825, -86.79200556)
10233,c(31.71151111, -85.68725833)
10234,c(34.67882778, -86.73914167)
10235,c(33.45606389, -86.94409167)
10236,c(31.51096667, -87.39409722)
10237,c(31.200225, -85.43513333)
10238,c(30.71783056, -88.13570833)
10239,c(33.24051389, -87.66241389)
10240,c(34.21295833, -86.51796111)
10241,c(33.17344722, -87.47534444)
10242,c(34.759875, -86.95723889)
10243,c(32.54864167, -85.16531389)
10244,c(33.90036944, -86.736225)
10245,c(33.09184444, -85.24541389)
10246,c(34.21815556, -85.60258611)
10247,c(33.29, -86.84011944)
10248,c(34.28836389, -86.23980556)
10249,c(33.53256667, -85.93977222)
10250,c(33.42205278, -87.00053333)
10251,c(32.67515556, -87.22371944)
10252,c(34.77585278, -87.01608056)
10253,c(33.17735, -87.38298056)
10254,c(30.658575, -87.88961944)
10255,c(31.09769722, -86.03608333)
10256,c(31.83407778, -87.74944167)
10257,c(30.61974167, -88.07795278)
10258,c(33.98928889, -87.336475)
10259,c(34.44099444, -86.97230556)
10260,c(33.28020556, -86.89651667)
10261,c(34.00498333, -86.07986944)
10262,c(30.63161389, -88.10510556)
10263,c(31.09615278, -85.59116667)
10264,c(31.75370833, -85.87965556)
10265,c(33.93741389, -87.22449167)
10266,c(34.33632222, -87.19812778)
10267,c(34.05202222, -86.16516944)
10268,c(34.71796944, -86.034125)
10269,c(30.6885, -88.064125)
10270,c(30.26020556, -87.68253333)
10271,c(33.50325556, -86.10652778)
10272,c(32.40815278, -86.34554722)
10273,c(32.62038333, -87.30896944)
10274,c(30.72359167, -88.27616111)
10275,c(34.84959444, -85.62011111)
10276,c(33.51029167, -87.25708889)
10277,c(31.46946111, -86.39556667)
10278,c(34.47435833, -87.15837778)
10279,c(34.67017222, -86.75208611)
10280,c(33.87718056, -87.2368)
10281,c(32.30173056, -86.19528889)
10282,c(33.07967778, -87.55817222)
10283,c(32.38181111, -86.22485278)
10284,c(32.362525, -86.24419722)
10285,c(34.14895, -86.86990278)
10286,c(33.57275, -86.16856667)
10287,c(31.32508333, -85.82336944)
