"fips"|"regular_pub"|"alt_pub"|"special_pub"|"votech_pub"|"nat_lunch_participant"|"nat_lunch_CEOprov_eligible"|"pub_prek"|"pub_total_students"|"pub_fte_teachers"|"regular_pri"|"alt_pri"|"special_pri"|"votech_pri"|"other_private_edu"|"private_school"|"religious"|"pri_prek"|"pri_total_students"|"pri_fte_teachers"
"01001"|0|0|0|0|0|0|0|0|0|1|0|0|0|0|1|1|1|236|23
"010010202001"|1|0|0|0|1|0|0|1007|51.5|0|0|0|0|0|0|0|0|0|0
"010010202002"|1|0|0|0|1|0|0|624|33|0|0|0|0|2|2|2|2|24|2.3
"010010203001"|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|13|1
"010010203002"|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|0|67|0
"010010205001"|1|0|1|0|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"010010207001"|1|0|0|0|1|0|0|410|27|0|0|0|0|0|0|0|0|0|0
"010010207002"|2|1|0|0|3|0|0|0|61|0|0|0|0|0|0|0|0|0|0
"010010208012"|0|0|0|0|0|0|0|0|0|1|0|0|0|0|1|1|1|285|21.3
"010010208022"|1|0|0|1|2|0|0|0|100|0|0|0|0|0|0|0|0|0|0
"010010209003"|1|0|0|0|1|0|0|451|23|0|0|0|0|0|0|0|0|0|0
"010010209004"|2|0|0|0|2|0|1|1523|83.5|0|0|0|0|0|0|0|0|0|0
"010010210002"|1|0|0|0|1|0|0|601|38|0|0|0|0|0|0|0|0|0|0
"010010211001"|1|0|0|0|1|0|0|223|20|0|0|0|0|0|0|0|0|0|0
"01003"|0|0|0|0|0|0|0|0|0|6|0|0|0|2|8|6|5|1556|147.9
"010030101003"|0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"010030102001"|1|0|0|0|1|0|1|522|29.63|0|0|0|0|0|0|0|0|0|0
"010030103001"|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"010030103002"|1|0|0|0|1|0|1|215|13.33|0|0|0|0|0|0|0|0|0|0
"010030103003"|1|0|0|0|1|0|0|1082|64.75|0|0|0|0|0|0|0|0|0|0
"010030104003"|2|0|0|0|2|0|2|694|44.67|0|0|0|0|0|0|0|0|0|0
"010030105002"|1|0|0|0|1|0|0|486|27.25|0|0|0|0|0|0|0|0|0|0
"010030105003"|1|0|0|0|1|0|1|522|29.63|0|0|0|0|0|0|0|0|0|0
"010030105004"|1|0|0|0|1|0|1|885|51.14|0|0|0|0|0|0|0|0|0|0
"010030107011"|2|0|0|0|2|0|1|1773|102.95|0|0|0|0|0|0|0|0|0|0
"010030107031"|1|0|0|0|1|0|0|1318|69.74|0|0|0|0|0|0|0|0|0|0
"010030107032"|4|0|0|0|4|0|2|3379|188.83|0|0|0|0|0|0|0|0|0|0
"010030107051"|3|0|0|0|3|0|1|3204|165.14|0|0|0|0|0|0|0|0|0|0
"010030108001"|1|0|0|0|1|0|0|465|26.4|0|0|0|0|0|0|0|0|0|0
"010030108002"|1|0|0|0|1|0|1|712|41.4|0|0|0|0|0|0|0|0|0|0
"010030109032"|1|0|0|0|1|0|0|691|39.6|0|0|0|0|0|0|0|0|0|0
"010030109033"|1|0|0|0|1|0|1|498|26.83|0|0|0|0|0|0|0|0|0|0
"010030109041"|1|0|0|0|1|0|1|357|18.35|0|0|0|0|0|0|0|0|0|0
"010030109043"|1|0|0|0|1|0|1|292|18.2|0|0|0|0|0|0|0|0|0|0
"010030109051"|1|0|0|0|1|0|1|456|23.85|0|0|0|0|0|0|0|0|0|0
"010030109052"|2|0|0|0|2|0|1|1763|96.02|0|0|0|0|0|0|0|0|0|0
"010030109062"|1|0|0|0|1|0|1|357|18.35|0|0|0|0|0|0|0|0|0|0
"010030109063"|1|1|0|1|3|0|1|0|65|0|0|0|0|0|0|0|0|0|0
"010030110002"|1|0|0|0|1|0|1|540|27.91|0|0|0|0|0|0|0|0|0|0
"010030111021"|1|0|0|0|1|0|1|709|38.4|0|0|0|0|0|0|0|0|0|0
"010030111022"|2|0|0|0|2|0|0|2526|137.23|0|0|0|0|0|0|0|0|0|0
