"ST_CASE","geometry"
10001,c(33.49096667, -88.27408333)
10002,c(32.087125, -86.06415278)
10003,c(33.42833056, -86.35199444)
10004,c(32.21690278, -86.40016944)
10005,c(33.54028056, -86.68738889)
10006,c(32.35168889, -86.31268611)
10007,c(33.05224444, -87.96188333)
10008,c(32.04035, -86.04733056)
10009,c(34.61266389, -86.24144444)
10010,c(31.97055556, -87.66008889)
10011,c(33.74586944, -86.15119167)
10012,c(33.23704167, -87.60533056)
10013,c(33.59309722, -86.263825)
10014,c(30.94694722, -88.22001667)
10015,c(31.48611389, -87.28593333)
10016,c(31.456775, -87.95959167)
10017,c(32.13576389, -86.44289722)
10018,c(34.63883056, -86.84959722)
10019,c(30.46496944, -88.11686667)
10020,c(32.57847778, -86.12194722)
10021,c(31.09250833, -88.39952222)
10022,c(33.11705833, -86.86126389)
10023,c(31.30541111, -85.73678333)
10024,c(33.64117778, -86.72513056)
10025,c(33.59028333, -86.74036667)
10026,c(33.665125, -87.04926389)
10027,c(34.86851389, -85.83848333)
10028,c(32.38228056, -86.18490278)
10029,c(34.66798056, -86.75209444)
10030,c(34.702825, -85.67199444)
10031,c(34.01850833, -86.96304444)
10032,c(30.61838611, -87.72523889)
10033,c(33.83731111, -85.67126944)
10034,c(33.58305833, -86.71823889)
10035,c(34.41721944, -87.02085556)
10036,c(30.66251389, -88.09349722)
10037,c(33.78313889, -86.01071667)
10038,c(33.56593056, -86.52177222)
10039,c(34.44036389, -86.96513333)
10040,c(31.57203333, -86.85188889)
10041,c(33.45934722, -86.83968056)
10042,c(31.02589722, -87.32541667)
10043,c(32.44075833, -87.21537222)
10044,c(30.55628056, -88.18583056)
10045,c(34.50578611, -86.98438611)
10046,c(31.47968611, -86.34786944)
10047,c(31.32804722, -85.88695)
10048,c(34.53784167, -87.15909722)
10049,c(33.69978333, -85.80864722)
10050,c(33.55848611, -87.13152222)
10051,c(32.5845, -85.43233889)
10052,c(33.61327778, -86.70787778)
10053,c(33.569425, -86.82058056)
10054,c(33.57163611, -86.49462222)
10055,c(33.04456944, -87.38367222)
10056,c(33.496875, -86.90813611)
10057,c(34.33220556, -86.02265)
10058,c(34.58376111, -86.55563056)
10059,c(33.47926389, -86.901675)
10060,c(34.84658611, -86.57143611)
10061,c(31.73043333, -86.186075)
10062,c(30.43118889, -88.159925)
10063,c(34.629125, -87.69761111)
10064,c(33.08685833, -87.67861111)
10065,c(33.43500833, -85.55818333)
10066,c(33.21195, -87.55968889)
10067,c(33.97541944, -86.49626111)
10068,c(32.14725278, -85.06246111)
10069,c(34.17228611, -85.78459444)
10070,c(34.01848056, -86.06209167)
10071,c(33.46196667, -86.94317222)
10072,c(31.40540833, -86.59879167)
10073,c(34.76810556, -86.44021111)
10074,c(34.59643889, -86.7544)
10075,c(33.73998889, -87.04042222)
10076,c(31.16331389, -85.402075)
10077,c(32.32766389, -86.33686944)
10078,c(32.73781111, -86.89875278)
10079,c(34.56522778, -86.54702222)
10080,c(34.28983889, -86.89776111)
10081,c(32.56503056, -85.49421111)
10082,c(32.19472778, -86.41760278)
10083,c(31.30443056, -85.35571667)
10084,c(34.07614444, -86.12198611)
10085,c(34.89972222, -86.81962222)
10086,c(34.64304444, -86.83889444)
10087,c(34.49550833, -86.84614444)
10088,c(34.56833056, -86.91113333)
10089,c(34.64899167, -87.16828611)
10090,c(33.12255278, -87.65813056)
10091,c(30.49632222, -88.21703611)
10092,c(32.43865278, -85.37714444)
10093,c(34.90004444, -87.53178056)
10094,c(33.60484722, -86.70023333)
10095,c(32.40913056, -87.08306944)
10096,c(33.56252222, -86.54143056)
10097,c(32.39820833, -86.107825)
10098,c(32.58481111, -85.93976389)
10099,c(33.2217, -88.09652778)
10100,c(34.27925833, -85.87705833)
10101,c(33.78220278, -85.89652222)
10102,c(30.89233056, -88.12446111)
10103,c(33.94503056, -86.02791111)
10104,c(30.63296389, -87.78659444)
10105,c(31.272075, -85.43224167)
10106,c(33.61908056, -85.92467778)
10107,c(34.88615556, -87.61361389)
10108,c(34.3388, -86.08115)
10109,c(34.06514722, -86.92141667)
10110,c(32.0065, -86.52220278)
10111,c(34.50842222, -86.89895)
10112,c(32.98411667, -86.06569167)
10113,c(32.53178333, -86.32548889)
10114,c(34.1712, -86.687375)
10115,c(30.46563889, -87.50991389)
10116,c(33.51233611, -86.81026111)
10117,c(34.47198889, -87.69764722)
10118,c(33.93662778, -88.00568333)
10119,c(31.292425, -85.48956944)
10120,c(34.90630833, -86.90676944)
10121,c(31.35221389, -86.12748611)
10122,c(32.399975, -86.28194167)
10123,c(34.72006389, -86.60007222)
10124,c(33.79625556, -86.00821111)
10125,c(34.22226389, -86.28893611)
10126,c(33.98395833, -86.89909167)
10127,c(33.23767778, -87.63383611)
10128,c(34.6565, -86.021325)
10129,c(32.76313333, -85.62614167)
10130,c(33.54556389, -86.59316389)
10131,c(34.46688889, -85.78533889)
10132,c(33.16611667, -87.54011389)
10133,c(33.31866111, -86.19630833)
10134,c(34.58912222, -87.42414444)
10135,c(32.35619167, -86.39014167)
10136,c(32.45285, -84.99863889)
10137,c(31.66864444, -88.03419167)
10138,c(34.68556389, -87.60093611)
10139,c(30.71036944, -88.12134722)
10140,c(32.36776111, -86.06795833)
10141,c(31.81569444, -87.53431944)
10142,c(34.00723333, -86.44706111)
10143,c(32.13953889, -86.44113889)
10144,c(30.7087, -88.276225)
10145,c(34.97529722, -86.56916944)
10146,c(34.49117222, -86.38454444)
10147,c(30.69247778, -88.09287778)
10148,c(32.63299722, -87.31654167)
10149,c(34.17314444, -86.70053333)
10150,c(32.61045833, -86.07268889)
10151,c(30.2694, -87.68303889)
10152,c(30.55073889, -88.21512778)
10153,c(31.11303611, -86.11105833)
10154,c(34.86120833, -86.875725)
10155,c(32.78284722, -86.77712222)
10156,c(30.68181111, -88.19861389)
10157,c(32.10409722, -86.06563056)
10158,c(34.66320833, -85.69665)
10159,c(30.87173333, -88.29831667)
10160,c(33.61950833, -86.25294167)
10161,c(31.03704722, -87.40554444)
10162,c(34.77399444, -86.97470833)
10163,c(31.00977778, -88.15318056)
10164,c(32.4158, -86.23449722)
10165,c(33.53839444, -86.98628889)
10166,c(32.23840556, -88.23789444)
10167,c(31.89932222, -86.01071667)
10168,c(31.43419167, -85.49020278)
10169,c(33.64154444, -85.51521944)
10170,c(31.29150833, -85.84856111)
10171,c(32.36333333, -86.21425)
10172,c(32.43627778, -85.06135278)
10173,c(34.34028611, -86.31011389)
10174,c(34.53621944, -86.90584722)
10175,c(34.34535833, -87.33961111)
10176,c(33.87899722, -86.87383889)
10177,c(33.80549722, -88.11680556)
10178,c(31.42985833, -87.109075)
10179,c(33.97954167, -85.50074444)
10180,c(32.85245833, -85.19954167)
10181,c(34.19550278, -86.14929722)
10182,c(33.50044722, -86.86685)
10183,c(32.42094444, -85.69506667)
10184,c(32.42174444, -86.2355)
10185,c(33.39145, -86.79006667)
10186,c(32.45678611, -86.40383056)
10187,c(34.33244444, -86.05228611)
10188,c(33.13967778, -87.5438)
10189,c(32.9991, -87.77235556)
10190,c(33.17566389, -87.48846389)
10191,c(32.4306, -86.52327222)
10192,c(32.16828611, -87.49320278)
10193,c(30.67598056, -88.15973889)
10194,c(33.928025, -85.62415)
10195,c(33.54531944, -86.65185556)
10196,c(32.509175, -87.59683889)
10197,c(34.19838056, -86.22660833)
10198,c(31.92768333, -86.53899722)
10199,c(32.36778333, -86.13913611)
10200,c(31.51485278, -87.86962222)
10201,c(34.75064167, -85.63794722)
10202,c(34.95076389, -86.57174722)
10203,c(34.64485278, -86.27118333)
10204,c(32.60375556, -85.80516111)
10205,c(33.81638611, -86.59953611)
10206,c(34.829425, -86.59578333)
10207,c(34.15788611, -86.35602222)
10208,c(34.7651, -86.87576389)
10209,c(30.25185833, -87.75602222)
10210,c(33.93090833, -86.89782222)
10211,c(34.75908889, -86.83296667)
10212,c(33.14618056, -86.33589444)
10213,c(33.26788333, -87.10905278)
10214,c(32.42221111, -86.24608611)
10215,c(31.25246667, -85.416875)
10216,c(30.66090556, -88.09615556)
10217,c(30.69067222, -88.12598611)
10218,c(33.43611944, -86.19321389)
10219,c(34.24198889, -86.17122778)
10220,c(32.15262222, -85.71350278)
10221,c(33.61074444, -85.598125)
10222,c(33.63309722, -86.62310278)
10223,c(30.50710556, -88.36861389)
10224,c(34.93451667, -87.50166389)
10225,c(34.83564444, -86.93680833)
10226,c(33.76878611, -87.89378333)
10227,c(30.75175, -88.11614722)
10228,c(33.405025, -88.09441944)
10229,c(31.02618056, -88.23173611)
10230,c(33.98266944, -85.81205)
10231,c(32.69233056, -85.50813333)
10232,c(33.69021389, -85.86706667)
10233,c(32.12212778, -87.09257222)
10234,c(31.56375556, -88.41468333)
10235,c(30.75243333, -88.31011667)
10236,c(34.06698056, -86.01178889)
10237,c(34.76676944, -86.55436667)
10238,c(31.92795, -86.53883333)
10239,c(32.45001111, -86.72546389)
10240,c(34.23095278, -86.40348056)
10241,c(33.60593056, -86.74137778)
10242,c(33.48965278, -86.01405278)
10243,c(34.74638889, -86.98375833)
10244,c(30.68258333, -88.12717778)
10245,c(33.33021667, -87.592575)
10246,c(32.66493333, -86.25184444)
10247,c(33.956175, -87.19469444)
10248,c(30.47263056, -88.23389444)
10249,c(31.50578611, -86.99965556)
10250,c(32.31808889, -86.895125)
10251,c(33.87284722, -87.16316389)
10252,c(34.00035278, -85.83582778)
10253,c(34.6255, -85.84439722)
10254,c(31.52128611, -85.95922778)
10255,c(32.36833889, -86.07109167)
10256,c(33.60226667, -86.30760556)
10257,c(33.59885278, -86.337725)
10258,c(34.35651111, -86.01449722)
10259,c(33.17320833, -85.38208889)
10260,c(33.90985556, -87.5007)
10261,c(31.33737222, -86.19999167)
10262,c(32.04515, -86.03719444)
10263,c(32.29096944, -86.46905556)
10264,c(34.765725, -86.57251389)
10265,c(32.05089444, -86.80752222)
10266,c(33.26769167, -87.08145278)
10267,c(33.19617778, -85.26355556)
10268,c(34.93030556, -87.12146111)
10269,c(33.30359167, -86.90459167)
10270,c(33.23074167, -85.76181944)
10271,c(34.03094722, -87.86646111)
10272,c(34.79034722, -86.98490278)
10273,c(32.96676111, -86.00906667)
10274,c(34.67301944, -85.84769722)
10275,c(31.31753611, -85.49153056)
10276,c(33.23699722, -87.56096667)
10277,c(31.19477222, -85.39961667)
10278,c(34.65659444, -87.885325)
10279,c(34.50291389, -87.20044722)
10280,c(32.38014167, -86.29984444)
10282,c(31.49305556, -85.91019722)
10283,c(32.36238889, -86.10202222)
10284,c(31.32938333, -85.12580278)
10285,c(31.00570278, -87.30746667)
10286,c(31.34283611, -86.33076667)
10287,c(32.81112222, -88.24420833)
10288,c(34.74702222, -87.00159722)
